Run Date,Strategy,company,ticker,maxProfit,breakeven,nextEPSDate,releaseTime,confirmDate,expDate,lastTrade,avgEPSMove,maxReturn,maxRisk,epsImpact,longStrike,shortBid,shortStrike,longAsk,maxLoss,ewRating,totRatings,netRatings,Strike_Hit,Hit_Date,Max_Favorable,Min_Unfavorable,Day0_Check,Day1_Check,Day2_Check,Day3_Check,Day4_Check,Day5_Check,Exp_Result,Risk_Reward,Peak_Profit_Date,Hit_RSI,Hit_SMA20,Hit_SMA50,Hit_EMA9,Hit_EMA21,Hit_VWAP,Hit_RVOL,Hit_ATR,Hit_PriceVsSMA20,Hit_PriceVsVWAP,GF_Name,GF_Price,GF_ChangePct,GF_High,GF_Low,GF_High52,GF_Low52,GF_Volume,GF_AvgVol10,GF_MktCap,GF_PE,GF_Beta,HV_30D,RVOL_10,Ret_5D,Ret_20D,GapPct,Days_To_Exp,Success_Score,Historical_High,Historical_Low,Ever_Hit_Strike,First_Hit_Date,Last_Update,Total_Hit_Days
2025-08-15 16:44:03,Bull Spreads,"Workday, Inc.",WDAY,16.1,228.9,2025-08-21 0:00:00,3,2025-08-04 8:35:44,2025-08-22 0:00:00,221.92,0.0946,0.0725,0.0401,0.0888,220,2,245,10.9,8.9,2.75,7,1,"[""0.027591"",""0.054182"",""0.044591"",""0.034005"",""0.034455"",""0.005773""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",226.07,231.92,229.81,227.48,227.58,221.27,221.27,,,"[""63.61"",""82.85"",""52.93"",""61.21"",""69.72"",""10.66""]","[""225.51"",""231.25"",""234.44"",""230.56"",""227.66"",""227.32""]","[""225.48"",""231.10"",""228.86"",""230.09"",""227.25"",""227.23""]","[""225.78"",""231.57"",""234.57"",""230.73"",""227.73"",""226.29""]","[""225.59"",""231.34"",""233.90"",""230.47"",""227.60"",""226.99""]","[""225.07"",""227.83"",""228.40"",""228.90"",""228.26"",""228.25""]","[""3.60"",""2.39"",""0.88"",""3.66"",""0.95"",""0.00""]","[""0.2425"",""0.1620"",""0.2332"",""0.4322"",""0.2196"",""0.7287""]","[""0.25"",""0.34"",""0.15"",""0.43"",""0.17"",""-2.66""]","[""0.44"",""1.85"",""2.80"",""1.16"",""-0.10"",""-3.06""]",Workday Inc,221.27,-2.77,222.02,211.31,294,205.33,8226649,5092711,59079090000,102.59,1.24,31.10577985,1.615377154,-2.131894378,-8.467775296,3.455208528,-1,66.15377154,221.27,221.27,TRUE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,"Estée Lauder Companies, Inc.",EL,6.48,93.52,2025-08-20 0:00:00,1,2025-08-13 16:42:36,2025-08-22 0:00:00,89.5,0.1104,0.0724,0.0505,0.1162,89,1.38,100,5.9,4.52,1.84,9,1,"[""0.022135"",""0.019551"",""0.011011"",""-0.026180"",""-0.014382"",""0.025056""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",90.97,90.74,89.98,86.67,87.72,91.23,91.23,,,"[""52.17"",""60.23"",""52.18"",""54.04"",""44.73"",""92.89""]","[""91.63"",""92.03"",""86.33"",""88.96"",""87.76"",""87.92""]","[""89.70"",""91.90"",""89.06"",""89.69"",""87.86"",""87.92""]","[""91.65"",""92.07"",""89.88"",""88.68"",""87.70"",""88.41""]","[""91.00"",""92.02"",""88.33"",""88.91"",""87.75"",""88.07""]","[""90.48"",""90.86"",""90.97"",""90.14"",""88.32"",""88.32""]","[""0.41"",""2.62"",""0.36"",""0.41"",""3.79"",""0.00""]","[""0.0506"",""0.1159"",""13.1831"",""1.1265"",""0.1079"",""0.3350""]","[""0.17"",""0.17"",""5.96"",""0.69"",""-0.04"",""3.76""]","[""1.44"",""1.46"",""0.54"",""-0.63"",""-0.68"",""3.30""]",Estee Lauder Companies Inc,91.23,3.99,91.94,87.77,103.44,48.37,4051423,2821480,32832711170,,1.18,40.31496219,1.435921219,0.2858085083,0.9181415929,3.423648112,-1,64.35921219,91.23,91.23,TRUE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,Target Corp.,TGT,7.21,107.79,2025-08-20 0:00:00,1,2025-07-18 11:38:24,2025-08-22 0:00:00,104.25,0.1009,0.0691,0.0363,0.0921,104,1.21,115,5,3.79,1.9,6,0,"[""-0.009423"",""0.009231"",""0.013365"",""-0.051058"",""-0.066827"",""-0.045769""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",103.02,104.96,105.39,98.69,97.05,99.24,99.24,,,"[""50.36"",""75.26"",""52.48"",""44.46"",""41.66"",""87.44""]","[null,""105.90"",""101.06"",""98.75"",""97.15"",""97.25""]","[null,""105.48"",""103.50"",""99.07"",""97.17"",""97.21""]","[""102.40"",""106.06"",""106.27"",""98.71"",""97.14"",""97.56""]","[null,""105.87"",""104.27"",""98.80"",""97.15"",""97.34""]","[""103.35"",""103.60"",""104.26"",""99.69"",""99.20"",""99.20""]","[""0.38"",""0.76"",""0.78"",""2.71"",""3.33"",""0.00""]","[""0.3564"",""0.1019"",""0.2076"",""0.1775"",""0.0878"",""0.2403""]","[null,""0.29"",""6.00"",""-0.07"",""-0.11"",""2.04""]","[""0.62"",""2.52"",""2.75"",""-1.01"",""-2.17"",""0.04""]",Target Corp,99.24,2.25,101.34,97.36,161.84,87.35,13663612,5020050,45094258069,11.57,1.22,33.75922782,2.72180795,-3.669190448,-6.421499293,1.701168272,-1,50,99.24,99.24,FALSE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,"Palo Alto Networks, Inc.",PANW,11.63,178.37,2025-08-18 0:00:00,3,2025-07-30 8:10:50,2025-08-22 0:00:00,173.55,0.0805,0.067,0.0338,0.0799,172.5,1.73,190,7.6,5.87,6.21,10,6,"[""0.026667"",""0.022435"",""0.053043"",""0.069159"",""0.062841"",""0.077565""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",177.1,176.37,181.65,184.43,183.34,185.88,185.88,,,"[""66.50"",""72.77"",""96.61"",""65.96"",""24.13"",""85.17""]","[""176.88"",""177.04"",""177.90"",""187.18"",""184.81"",""183.43""]","[""176.70"",""176.78"",""176.99"",""186.74"",""184.84"",""183.32""]","[""177.06"",""177.32"",""181.85"",""187.36"",""184.55"",""183.83""]","[""176.91"",""177.09"",""179.06"",""187.18"",""184.71"",""183.54""]","[""175.46"",""175.67"",""177.44"",""181.33"",""181.63"",""181.65""]","[""2.69"",""1.60"",""2.08"",""1.37"",""5.36"",""0.00""]","[""0.1713"",""0.3149"",""1.2864"",""0.2047"",""0.2527"",""0.3437""]","[""0.22"",""0.40"",""5.91"",""0.17"",""-0.46"",""1.34""]","[""1.03"",""1.18"",""6.18"",""3.40"",""1.28"",""2.33""]",Palo Alto Networks Inc,185.88,1.4,187.11,182.94,210.39,144.15,6861721,10219730,124155909765,116.28,1.43,37.77572015,0.6714190101,4.963577842,-8.555123727,1.214266267,-1,60,185.88,185.88,TRUE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,Bilibili Inc.,BILI,1.58,24.42,2025-08-21 0:00:00,1,2025-08-05 7:00:24,2025-08-22 0:00:00,23.82,0.0735,0.0663,0.0386,0.1167,23.5,0.62,26,1.54,0.92,6.75,11,9,"[""0.057447"",""0.078936"",""0.066808"",""0.077021"",""0.011489"",""0.020426""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",24.85,25.35,25.07,25.31,23.77,23.98,23.98,,,"[""54.29"",""53.29"",""51.87"",""57.75"",""45.97"",""54.69""]","[""24.90"",""25.48"",""25.51"",""25.09"",""24.82"",""23.72""]","[""24.85"",""24.89"",""24.94"",""25.06"",""24.53"",""23.23""]","[""24.91"",""25.50"",""25.49"",""25.09"",""24.33"",""23.80""]","[""24.89"",""25.44"",""25.23"",""25.08"",""24.61"",""23.67""]","[""24.72"",""24.95"",""25.10"",""25.11"",""24.97"",""24.57""]","[""1.10"",""0.94"",""1.54"",""5.34"",""0.65"",""0.00""]","[""0.0107"",""0.0415"",""0.0202"",""0.0345"",""0.2784"",""0.0475""]","[""0.08"",""0.24"",""-0.06"",""0.39"",""-2.21"",""1.09""]","[""0.79"",""2.40"",""1.60"",""0.29"",""-2.77"",""-2.41""]",Bilibili Inc - ADR,23.98,0.93,24.25,23.58,31.77,13.6,5691474,1976890,9898471405,341.11,0.94,48.08370321,2.87900389,-3.501006036,2.610183997,0.7139857203,-1,70,23.98,23.98,TRUE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,XPeng Inc.,XPEV,1.27,19.73,2025-08-19 0:00:00,1,2025-08-05 7:00:46,2025-08-22 0:00:00,19.38,0.062,0.0655,0.0376,0.0957,19,0.39,21,1.12,0.73,3.52,6,2,"[""0.037632"",""0.047212"",""0.092105"",""0.072368"",""0.196842"",""0.250000""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",19.72,19.9,20.75,20.38,22.74,23.75,23.75,,,"[null,""89.29"",""60.30"",""45.14"",""34.77"",""85.04""]","[null,""19.78"",""20.90"",""20.50"",""22.84"",""22.88""]","[null,""19.77"",""20.92"",""20.70"",""22.86"",""22.88""]","[""19.03"",""19.85"",""20.96"",""20.45"",""22.80"",""22.99""]","[null,""19.80"",""20.93"",""20.51"",""22.82"",""22.91""]","[""19.86"",""19.85"",""20.19"",""20.28"",""21.28"",""21.28""]","[""1.07"",""8.64"",""0.33"",""0.32"",""3.88"",""0.00""]","[null,""0.0624"",""0.0347"",""0.0991"",""0.0457"",""0.1161""]","[null,""2.45"",""0.44"",""-0.07"",""-0.43"",""3.79""]","[""1.20"",""2.11"",""3.98"",""1.04"",""6.85"",""11.59""]",Xpeng Inc - ADR,23.75,4.4,24.1,22.95,27.16,6.94,16052829,11449160,20610530250,,2.5,50.42499019,1.40209666,20.55837563,25.19768055,1.80025718,-1,44.0209666,23.75,23.75,FALSE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,Bitdeer Technologies Group,BTDR,0.85,14.15,2025-08-18 0:00:00,1,2025-08-04 7:10:04,2025-08-22 0:00:00,13.78,0.0734,0.0616,0.0471,0.1506,13.5,0.5,15,1.15,0.65,1.94,7,-1,"[""-0.007407"",""0.062963"",""-0.041111"",""-0.042222"",""-0.065926"",""-0.011111""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",13.4,14.35,12.94,12.93,12.61,13.35,13.35,,,"[null,""52.62"",""16.70"",""53.05"",""48.12"",""87.05""]","[null,""14.56"",""14.44"",""12.88"",""12.62"",""12.66""]","[null,""13.93"",""14.40"",""12.60"",""12.63"",""12.64""]","[null,""14.59"",""14.35"",""12.89"",""12.62"",""12.76""]","[null,""14.36"",""14.40"",""12.85"",""12.62"",""12.69""]","[""13.70"",""13.62"",""13.81"",""13.41"",""13.30"",""13.30""]","[""1.00"",""6.08"",""2.25"",""3.95"",""2.95"",""0.00""]","[null,""0.0555"",""0.0739"",""0.0212"",""0.0215"",""0.0726""]","[null,""0.91"",""-3.22"",""0.38"",""-0.07"",""5.48""]","[""-0.51"",""7.88"",""1.24"",""-3.58"",""-5.17"",""0.39""]",Bitdeer Technologies Group,13.35,5.87,13.66,12.34,26.99,5.4,3781315,3825894,2626560510,,2.23,70.93759789,0.9883480828,-0.2987303958,-8.81147541,6.544293695,-1,40,13.35,13.35,FALSE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,Intuit Inc.,INTU,35.9,729.1,2025-08-21 0:00:00,3,2025-07-31 19:10:48,2025-08-22 0:00:00,710.64,0.0697,0.0505,0.0268,0.0689,710,5.9,765,25,19.1,5.39,10,8,"[""0.009697"",""0.010056"",""-0.012732"",""-0.015704"",""-0.016958"",""-0.066676""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",716.89,717.14,700.96,698.85,697.96,662.66,662.66,,,"[""51.88"",""52.42"",""52.04"",""52.02"",""51.21"",""24.24""]","[""647.15"",""575.08"",""681.08"",""698.92"",""698.38"",""696.63""]","[""675.29"",""603.30"",""702.57"",""685.39"",""697.90"",""697.21""]","[""621.44"",""616.04"",""712.35"",""698.80"",""698.26"",""691.14""]","[""636.38"",""586.13"",""700.82"",""696.95"",""697.95"",""694.74""]","[""714.55"",""715.92"",""716.95"",""708.95"",""706.37"",""706.37""]","[""0.60"",""1.76"",""0.74"",""4.47"",""4.06"",""0.00""]","[""205.7283"",""308.5371"",""0.7907"",""0.4539"",""0.6145"",""3.0938""]","[""11.26"",""25.21"",""5.58"",""-0.01"",""-0.06"",""-4.88""]","[""0.76"",""0.58"",""0.30"",""-1.42"",""-1.19"",""-6.19""]",Intuit Inc,662.66,-5.03,670.39,642.52,813.48,532.65,6368783,3195318,184847011528,48.47,1.28,29.22827645,1.993160931,-7.545274437,-15.68674852,1.169465649,-1,49.93160931,662.66,662.66,FALSE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,"Baidu, Inc.",BIDU,3.78,90.22,2025-08-20 0:00:00,1,2025-07-22 10:08:49,2025-08-22 0:00:00,88.73,0.0531,0.0426,0.025,0.0656,88,1.13,94,3.35,2.22,3.24,9,-1,"[""0.021023"",""0.024091"",""0.012045"",""-0.014091"",""-0.004330"",""0.022841""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",89.85,90.12,89.06,86.76,87.62,90.01,90.01,,,"[""51.92"",""53.96"",""52.61"",""55.52"",""63.10"",""93.84""]","[""85.54"",""90.91"",""90.42"",""86.58"",""87.99"",""87.73""]","[""84.54"",""87.01"",""88.65"",""86.41"",""87.96"",""87.89""]","[""89.56"",""90.67"",""90.58"",""86.71"",""88.08"",""88.09""]","[""87.74"",""88.58"",""89.91"",""86.59"",""88.01"",""87.87""]","[""89.56"",""89.82"",""90.06"",""88.19"",""88.12"",""88.10""]","[""1.82"",""1.01"",""1.23"",""2.75"",""0.43"",""0.00""]","[""0.0357"",""0.1110"",""0.2110"",""0.1040"",""0.0778"",""0.2117""]","[""5.37"",""0.24"",""0.57"",""0.21"",""0.21"",""2.60""]","[""0.64"",""1.45"",""0.97"",""-1.62"",""0.07"",""2.17""]",Baidu Inc,90.01,2.74,90.54,88.14,116.25,74.71,4256864,6991064,30942819443,8.19,0.34,44.77317255,0.6089007339,0.1780745687,-0.8700440529,1.476888388,-1,60,90.01,90.01,TRUE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Bull Spreads,Walmart Inc.,WMT,3.82,102.18,2025-08-21 0:00:00,1,2025-08-14 7:01:15,2025-08-22 0:00:00,100.85,0.0447,0.0378,0.0216,0.0487,100,0.66,106,2.84,2.18,2.25,8,4,"[""0.000300"",""0.006800"",""0.013100"",""0.025700"",""-0.020450"",""-0.031700""]",2025-08-15,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",100.03,100.68,101.31,102.57,97.96,96.83,96.83,,,"[null,""51.92"",""60.12"",""55.32"",""61.31"",""21.93""]","[null,""95.74"",""102.12"",""102.54"",""97.77"",""97.74""]","[null,""98.68"",""102.08"",""102.51"",""97.74"",""97.72""]","[""89.42"",""99.70"",""102.26"",""102.57"",""97.94"",""97.72""]","[null,""98.12"",""102.15"",""102.53"",""97.84"",""97.75""]","[""100.51"",""100.22"",""100.49"",""101.14"",""99.59"",""99.59""]","[""0.08"",""2.03"",""1.13"",""0.67"",""3.83"",""0.00""]","[null,""14.4187"",""0.0847"",""0.0451"",""0.1423"",""0.2191""]","[null,""5.34"",""0.28"",""0.09"",""0.19"",""-0.93""]","[""0.14"",""0.63"",""1.92"",""1.47"",""-1.64"",""-2.77""]",Walmart Inc,96.83,-1.15,99.05,96.76,105.3,75.01,32695177,12856706,772743889552,36.53,0.66,22.05115473,2.543044618,-3.17,-0.656612291,-1.264402977,-1,50,7140,96.83,FALSE,,2025-08-23 15:10:46,0
