Run Date,Strategy,company,ticker,strike,breakeven,nextEPSDate,releaseTime,expDate,cushion,lastTrade,avgEPSMove,epsImpact,upTarget,bid,callAway,downTarget,callAwayReturn,ewRating,exDivDate,payout,Strike_Hit,Hit_Date,Max_Favorable,Min_Unfavorable,Day0_Check,Day1_Check,Day2_Check,Day3_Check,Day4_Check,Day5_Check,Exp_Result,Risk_Reward,Peak_Profit_Date,Hit_RSI,Hit_SMA20,Hit_SMA50,Hit_EMA9,Hit_EMA21,Hit_VWAP,Hit_RVOL,Hit_ATR,Hit_PriceVsSMA20,Hit_PriceVsVWAP,GF_Name,GF_Price,GF_ChangePct,GF_High,GF_Low,GF_High52,GF_Low52,GF_Volume,GF_AvgVol10,GF_MktCap,GF_PE,GF_Beta,HV_30D,RVOL_10,Ret_5D,Ret_20D,GapPct,Days_To_Exp,Success_Score,#REF!,#REF!,Ever_Hit_Strike,First_Hit_Date,Last_Update,Total_Hit_Days
2025-08-15 16:44:03,Covered Calls,Bitdeer Technologies Group,BTDR,14,12.93,2025-08-18 0:00:00,1,2025-08-22 0:00:00,0.0616,13.78,0.0734,0.1506,14.7915,0.85,14.85,12.7685,0.0776,1.94,,,"[""-0.042857"",""0.025000"",""-0.075357"",""-0.076429"",""-0.099286"",""-0.046429""]",,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",13.4,14.35,12.94,12.93,12.61,13.35,13.35,,,"[""50.36"",""35.93"",""62.09"",""53.05"",""48.12"",""87.05""]","[""13.44"",""14.47"",""12.94"",""12.88"",""12.62"",""12.66""]","[""13.22"",""14.41"",""12.88"",""12.60"",""12.63"",""12.64""]","[""13.40"",""14.44"",""12.94"",""12.89"",""12.62"",""12.76""]","[""13.40"",""14.45"",""12.93"",""12.85"",""12.62"",""12.69""]","[""13.40"",""13.81"",""13.57"",""13.41"",""13.30"",""13.30""]","[""3.79"",""4.56"",""4.28"",""3.95"",""2.95"",""0.00""]","[""0.0286"",""0.0466"",""0.0177"",""0.0212"",""0.0215"",""0.0726""]","[""-0.29"",""-0.80"",""0.01"",""0.38"",""-0.07"",""5.48""]","[""0.04"",""3.94"",""-4.63"",""-3.58"",""-5.17"",""0.39""]",Bitdeer Technologies Group,13.35,5.87,13.66,12.34,26.99,5.4,3781315,3825894,2626560510,,2.23,70.93759789,0.9883480828,-0.2987303958,-8.81147541,6.544293695,-1,20,14.77000046,12.14500046,UNFAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,"Amer Sports, Inc. ",AS,40,35.87,2025-08-19 0:00:00,1,2025-09-19 0:00:00,0.054,37.92,0.0818,0.1523,41.0219,2.05,42.05,34.8181,0.1089,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,Amer Sports Inc,41.48,11.54,41.56,37.81,41.56,13.16,9374490,4057265,22964617774,100.42,,52.21501688,2.310544172,7.155773702,10.14338821,9.157894737,27,100,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,"Home Depot, Inc.",HD,402.5,393.17,2025-08-19 0:00:00,1,2025-08-22 0:00:00,0.0178,400.32,0.0103,0.0433,404.4433,7.15,409.65,396.1967,0.0233,1.47,,,"[""-0.007553"",""-0.019826"",""0.011130"",""-0.001913"",""-0.011801"",""0.025565""]",,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",399.46,394.52,406.98,401.73,397.75,412.79,412.79,,,"[""65.17"",""49.27"",""51.89"",""51.71"",""48.16"",""94.44""]","[""398.92"",""394.42"",""386.39"",""382.84"",""397.79"",""398.55""]","[""398.83"",""394.81"",""398.68"",""395.61"",""397.85"",""398.14""]","[""399.16"",""394.49"",""403.68"",""381.30"",""397.82"",""400.82""]","[""398.98"",""394.50"",""397.78"",""382.21"",""397.82"",""399.18""]","[""398.49"",""396.91"",""403.09"",""403.43"",""402.85"",""402.85""]","[""7.04"",""2.99"",""5.85"",""7.74"",""4.31"",""0.00""]","[""0.2826"",""0.3158"",""0.3793"",""57.8643"",""0.2677"",""1.3320""]","[""0.14"",""0.03"",""5.33"",""4.93"",""-0.01"",""3.57""]","[""0.24"",""-0.60"",""0.97"",""-0.42"",""-1.27"",""2.47""]",Home Depot Inc,412.79,3.78,414.5,398.31,439.37,326.31,5284691,2605831,410696337621,28.05,1,24.62111758,2.028025225,3.357704442,9.977620291,2.973532567,-1,30,414.3599854,392.5100098,UNFAVORABLE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,"Toll Brothers, Inc.",TOL,135,126.61,2025-08-19 0:00:00,3,2025-09-19 0:00:00,0.0335,131.01,0.0522,0.074,137.8487,4.4,139.4,124.1713,0.064,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,Toll Brothers Inc,139.17,5.8,140.86,131.1,169.52,86.67,2904444,1163098,13437424178,10.23,1.33,41.04767377,2.49716189,6.643678161,13.10955787,5.264352167,27,100,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,Flex LNG Ltd.,FLNG,26,24.88,2025-08-20 0:00:00,1,2025-09-19 0:00:00,0.0138,25.23,0.0348,0.0426,26.108,0.35,26.35,24.352,0.0443,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,FLEX LNG Ltd,26.79,0.71,26.95,26.51,27.77,19.46,471659,239617,,,0.37,29.74776839,1.968387051,6.946107784,15.77355229,0.1495327103,27,99.68387051,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,"Lowe's Companies, Inc.",LOW,255,248.15,2025-08-20 0:00:00,1,2025-08-22 0:00:00,0.0193,253.05,0.0217,0.0498,258.5412,4.9,259.9,247.5588,0.027,1.86,,,"[""-0.011294"",""-0.016118"",""0.005373"",""0.008216"",""0.003020"",""0.034235""]",,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",252.12,250.89,256.37,257.1,255.77,263.73,263.73,,,"[""61.13"",""51.98"",""51.89"",""51.76"",""30.26"",""90.67""]","[""251.92"",""250.71"",""243.45"",""244.80"",""256.22"",""256.59""]","[""251.62"",""245.77"",""251.00"",""252.81"",""256.43"",""256.58""]","[""251.94"",""250.83"",""254.45"",""240.49"",""256.09"",""257.62""]","[""251.86"",""250.04"",""250.64"",""243.05"",""256.22"",""256.90""]","[""251.40"",""251.41"",""253.66"",""255.44"",""255.54"",""255.54""]","[""4.76"",""4.20"",""4.18"",""5.44"",""4.55"",""0.00""]","[""0.2316"",""0.1503"",""0.2198"",""37.0591"",""0.2127"",""0.7548""]","[""0.08"",""0.07"",""5.31"",""5.02"",""-0.18"",""2.78""]","[""0.29"",""-0.21"",""1.07"",""0.65"",""0.09"",""3.21""]",Lowe's Companies Inc,263.73,3.11,265.5,254.64,287.01,206.39,3796690,2689705,147952562536,21.68,0.89,26.21949658,1.411563722,4.629850036,16.28306878,2.479114047,-1,24.11563722,267.519989,249.4299927,UNFAVORABLE,,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,Coty Inc.,COTY,5,4.69,2025-08-20 0:00:00,3,2025-09-19 0:00:00,0.0601,4.99,0.0593,0.1303,5.2859,0.3,5.3,4.6941,0.0621,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,Coty Inc,3.93,3.01,4.03,3.82,10.09,3.75,20608832,4714427,3428099758,,2,78.70642866,4.371439414,-20.12195122,-23.2421875,2.34375,27,100,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,Canadian Solar Inc,CSIQ,12,11.28,2025-08-21 0:00:00,1,2025-08-22 0:00:00,0.0342,11.68,0.0496,0.0728,12.2593,0.4,12.4,11.1007,0.0616,1.32,,,"[""0.044167"",""0.057083"",""0.042500"",""0.062500"",""-0.134583"",""-0.077500""]",,"[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",12.53,12.69,12.51,12.75,10.39,11.07,11.07,,,"[""50.11"",""51.83"",""52.01"",""51.14"",""37.97"",""80.92""]","[""12.66"",""12.67"",""11.88"",""12.84"",""10.47"",""10.50""]","[""12.28"",""11.67"",""11.26"",""12.06"",""10.47"",""10.48""]","[""12.58"",""12.67"",""12.46"",""12.80"",""10.44"",""10.56""]","[""12.56"",""12.41"",""12.00"",""12.72"",""10.46"",""10.51""]","[""12.75"",""12.78"",""12.75"",""12.74"",""11.44"",""11.44""]","[""2.74"",""3.68"",""2.76"",""2.36"",""2.09"",""0.00""]","[""0.0372"",""0.0227"",""0.0213"",""0.0270"",""0.0397"",""0.0865""]","[""-0.99"",""0.08"",""5.30"",""-0.67"",""-0.84"",""5.41""]","[""-1.69"",""-0.70"",""-1.92"",""0.04"",""-9.20"",""-3.22""]",Canadian Solar Inc,11.07,6.6,11.26,10.25,19.55,6.57,2268739,550516,741025890,,1.35,77.78866325,4.121113646,-11.79282869,-13.17647059,6.238003839,-1,30,13.35000038,10.01000023,UNFAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,MINISO Group Holding Limited,MNSO,20,18.37,2025-08-21 0:00:00,1,2025-09-19 0:00:00,0.0589,19.52,0.0696,0.1191,20.8786,1.15,21.15,18.1614,0.0835,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,MINISO Group Holding Ltd - ADR,26.63,20.17,26.74,24.3,27.71,12.51,6841104,387077,7462820257,24.09,0.12,66.69822862,17.67375483,34.97212367,38.91497131,9.273697169,27,100,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
2025-08-15 16:44:03,Covered Calls,Semtech Corp.,SMTC,55,47.52,2025-08-25 0:00:00,3,2025-09-19 0:00:00,0.0593,50.52,0.1059,0.1712,55.8701,3,58,45.1699,0.148,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,Semtech Corp,51.09,3.44,52.45,49.04,79.52,24.06,2428230,1636946,4426212000,,1.94,48.59785457,1.483390411,2.528597231,-3.730921425,3.421052632,27,94.83390411,,,FAVORABLE,2025-08-23,2025-08-23 15:10:46,0
