Run Date,Strategy,,company,ticker,price,strike,nextEPSDate,releaseTime,lastEPSTime,confirmDate,lastTrade,optionDate,score,openInterest,volume,bid,ask,expDate,epsImpact,avgEPSMove,avgVolume,Strike_Hit,Hit_Date,Max_Favorable,Min_Unfavorable,Day0_Check,Day1_Check,Day2_Check,Day3_Check,Day4_Check,Day5_Check,Exp_Result,Risk_Reward,OHLC_Volume,Hit_RSI,Hit_SMA20,Hit_SMA50,Hit_EMA9,Hit_EMA21,Hit_VWAP,Hit_RVOL,Hit_ATR,Hit_PriceVsSMA20,Hit_PriceVsVWAP,GF_Name,GF_Price,GF_ChangePct,GF_High,GF_Low,GF_High52,GF_Low52,GF_Volume,GF_AvgVol10,GF_MktCap,GF_PE,GF_Beta,HV_30D,RVOL_10,Ret_5D,Ret_20D,GapPct,Days_To_Exp,Success_Score,#REF!,#REF!,Ever_Hit_Strike,#REF!,Last_Update,Total_Hit_Days
2025-08-22 19:44:55,Long Calls,,"MongoDB, Inc.",MDB,18.65,210,2025-08-26 0:00:00,3,4:05:00 PM,2025-08-05 16:11:16,211.96,2025-08-21 0:00:00,5,182,138,18.5,19.1,2025-08-29 0:00:00,0.1693,0.1764,2382691.037,"[""0.045762"",""0.049905"",""0.415524"",""0.531286"",""0.532952"",""0.533571""]",2025-08-29,"[""0.045762"",""0.049905"",""0.415524"",""0.531286"",""0.532952"",""0.533571""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]",219.07,220.48,297.26,321.55,321.92,322.05,315.61,,"[{""o"":""219.00"",""h"":""219.61"",""l"":""214.30"",""c"":""218.44"",""v"":0,""src"":""BACKFILL""},{""o"":""217.91"",""h"":""220.48"",""l"":""212.31"",""c"":""214.34"",""v"":0,""src"":""BACKFILL""},{""o"":""282.05"",""h"":""297.26"",""l"":""275.66"",""c"":""295.70"",""v"":0,""src"":""BACKFILL""},{""o"":""299.49"",""h"":""321.57"",""l"":""297.00"",""c"":""318.10"",""v"":0,""src"":""BACKFILL""},{""o"":""314.42"",""h"":""321.92"",""l"":""308.39"",""c"":""315.61"",""v"":0,""src"":""BACKFILL""},{""o"":""322.05"",""h"":""322.05"",""l"":""322.05"",""c"":""322.05"",""v"":0,""src"":""BACKFILL""}]","[null,""69.78"",""72.26"",""65.73"",""92.22"",""92.59""]","[null,""218.24"",""294.94"",""320.65"",""318.59"",""313.75""]","[null,""217.43"",""293.61"",""319.05"",""318.29"",""311.55""]","[null,""219.12"",""295.62"",""320.73"",""314.04"",""315.98""]","[null,""218.46"",""295.00"",""320.36"",""318.82"",""314.12""]","[""217.45"",""216.10"",""265.40"",""277.46"",""278.05"",""281.54""]","[""1.00"",""1.56"",""2.01"",""1.03"",""0.02"",""0.00""]","[null,""0.6234"",""0.7757"",""0.5111"",""9.3020"",""0.9812""]","[null,""0.76"",""0.66"",""0.25"",""0.95"",""2.65""]","[""0.46"",""-0.81"",""11.42"",""14.65"",""15.67"",""14.39""]",Mongodb Inc,322.05,0,,,370,140.94,17747,1541140,26200988651,,1.5,109.1896594,0.01151550151,8.911058505,36.56602493,,-7,60,297.2600098,,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Abercrombie & Fitch Co.,ANF,6.93,92,2025-08-27 0:00:00,1,7:30:00 AM,2025-08-01 8:03:35,92.89,2025-08-21 0:00:00,5,19,17,7,8,2025-08-29 0:00:00,0.1491,0.1231,2408594.484,"[""0.093587"",""0.092283"",""0.086304"",""0.070761"",""0.054348"",""0.016087""]",2025-08-29,"[""0.093587"",""0.092283"",""0.086304"",""0.070761"",""0.054348"",""0.016087""]","[""0.000000"",""0.000000"",""0.056956"",""0.000000"",""0.000000"",""0.000000""]",100.61,100.49,99.94,98.51,97,93.48,93.53,1.64,"[{""o"":""98.77"",""h"":""100.61"",""l"":""97.75"",""c"":""99.76"",""v"":1747400,""src"":""BACKFILL""},{""o"":""99.39"",""h"":""100.49"",""l"":""96.02"",""c"":""96.74"",""v"":3318100,""src"":""BACKFILL""},{""o"":""89.01"",""h"":""99.94"",""l"":""86.76"",""c"":""95.36"",""v"":6827500,""src"":""BACKFILL""},{""o"":""95.95"",""h"":""98.51"",""l"":""95.51"",""c"":""96.52"",""v"":2146300,""src"":""BACKFILL""},{""o"":""96.80"",""h"":""97.00"",""l"":""92.13"",""c"":""93.59"",""v"":1611121,""src"":""BACKFILL""},{""o"":""93.48"",""h"":""93.48"",""l"":""93.48"",""c"":""93.48"",""v"":0,""src"":""BACKFILL""}]","[""51.88"",""62.32"",""61.57"",""75.53"",""50.24"",""57.29""]","[""95.30"",""99.71"",""98.90"",""98.03"",""96.80"",""93.39""]","[""94.23"",""99.65"",""98.07"",""97.86"",""96.97"",""93.04""]","[""95.03"",""99.94"",""99.32"",""98.27"",""96.82"",""93.53""]","[""94.03"",""99.79"",""98.93"",""98.09"",""96.85"",""93.39""]","[""99.37"",""98.31"",""95.85"",""96.00"",""96.00"",""95.74""]","[""1.00"",""1.31"",""1.72"",""0.61"",""0.00"",""0.00""]","[""14.4130"",""0.2604"",""0.5295"",""0.0986"",""0.1772"",""0.1502""]","[""5.38"",""0.54"",""0.64"",""0.49"",""0.08"",""0.09""]","[""0.39"",""-1.60"",""-0.51"",""0.54"",""0.92"",""-2.36""]",Abercrombie & Fitch Co,93.48,0,,,167.71,65.4,13722,1433917,4453697713,8.85,1.44,50.0772303,0.009569591545,-1.97147651,-9.392265193,,-7,60,99.94000244,86.76000214,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,NetApp,NTAP,5.1,107,2025-08-27 0:00:00,3,4:01:00 PM,2025-07-31 16:05:51,107.775,2025-08-21 0:00:00,4,46,17,4.9,5.1,2025-08-29 0:00:00,0.0812,0.0837,1909089.392,"[""0.042430"",""0.039813"",""0.051028"",""0.097383"",""0.104486"",""0.110561""]",2025-08-29,"[""0.042430"",""0.039813"",""0.051028"",""0.097383"",""0.104486"",""0.110561""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]",111.54,111.25,112.46,117.42,118.18,118.83,112.79,,"[{""o"":""110.37"",""h"":""111.54"",""l"":""109.94"",""c"":""111.01"",""v"":2293700,""src"":""BACKFILL""},{""o"":""110.80"",""h"":""111.26"",""l"":""109.39"",""c"":""109.41"",""v"":3099400,""src"":""BACKFILL""},{""o"":""109.42"",""h"":""112.46"",""l"":""109.30"",""c"":""112.13"",""v"":3377500,""src"":""BACKFILL""},{""o"":""108.61"",""h"":""117.42"",""l"":""108.61"",""c"":""117.22"",""v"":4683700,""src"":""BACKFILL""},{""o"":""115.96"",""h"":""118.18"",""l"":""112.19"",""c"":""112.77"",""v"":1927584,""src"":""BACKFILL""},{""o"":""118.83"",""h"":""118.83"",""l"":""118.83"",""c"":""118.83"",""v"":0,""src"":""BACKFILL""}]","[""57.44"",""58.50"",""71.78"",""58.38"",""74.34"",""89.15""]","[""111.33"",""110.86"",""112.11"",""117.16"",""117.48"",""113.24""]","[""111.07"",""111.12"",""111.97"",""117.00"",""117.25"",""113.45""]","[""111.39"",""110.96"",""112.26"",""117.19"",""117.66"",""113.97""]","[""111.30"",""110.93"",""112.14"",""117.14"",""116.97"",""113.47""]","[""110.83"",""110.36"",""110.72"",""112.01"",""112.08"",""112.32""]","[""1.00"",""1.15"",""1.16"",""1.39"",""4.06"",""0.00""]","[""0.0618"",""0.1843"",""0.1117"",""0.1261"",""0.6817"",""0.5755""]","[""0.06"",""0.36"",""0.28"",""0.07"",""0.53"",""4.93""]","[""0.16"",""-0.86"",""1.27"",""4.65"",""5.38"",""5.79""]",NetApp Inc,118.83,0,,,135.45,71.84,424,1509514,23720642954,21,1.46,28.0602401,0.0002808851061,5.975207349,15.00048389,,-7,60,112.4599991,109.3000031,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,NVIDIA Corp.,NVDA,7.9,172.5,2025-08-27 0:00:00,3,4:20:00 PM,2025-07-30 17:05:27,174.98,2025-08-21 0:00:00,5,5868,4802,7.95,8,2025-08-29 0:00:00,0.0754,0.0739,195312181.3,"[""0.054551"",""0.057333"",""0.057913"",""0.069391"",""0.032522"",""0.032522""]",2025-08-29,"[""0.054551"",""0.057333"",""0.057913"",""0.069391"",""0.032522"",""0.000000""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.004870""]",181.91,182.39,182.49,184.47,178.11,171.66,174.11,14.25,,"[""59.78"",""67.38"",""85.94"",""72.86"",""14.98"",""21.68""]","[""181.64"",""182.04"",""182.10"",""181.72"",""180.52"",""173.98""]","[""181.44"",""182.01"",""181.96"",""181.58"",""180.43"",""174.02""]","[""181.73"",""182.13"",""182.26"",""182.31"",""179.93"",""173.53""]","[""181.63"",""182.06"",""182.13"",""181.91"",""180.30"",""173.82""]","[""179.43"",""180.22"",""180.57"",""180.50"",""180.47"",""179.30""]","[""1.00"",""1.02"",""1.25"",""1.33"",""0.05"",""0.00""]","[""0.1647"",""0.1333"",""0.0795"",""0.3671"",""0.4238"",""0.3794""]","[""0.09"",""0.13"",""0.20"",""0.91"",""-1.58"",""-1.33""]","[""0.21"",""0.86"",""0.57"",""-0.18"",""-1.55"",""-4.26""]",NVIDIA Corp,171.66,0,,,184.48,86.62,7501652,140040850,4171338088989,48.86,2.11,24.70565555,0.05356759831,-5.473568282,-4.325047375,,-7,60,182.4900055,,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Snowflake,SNOW,13.3,192.5,2025-08-27 0:00:00,3,4:05:00 PM,2025-08-04 9:21:57,194.68,2025-08-21 0:00:00,5,178,26,13.05,13.25,2025-08-29 0:00:00,0.1233,0.1481,4335448.12,"[""0.041403"",""0.020779"",""0.052156"",""0.298649"",""0.253247"",""0.152727""]",2025-08-29,"[""0.041403"",""0.020779"",""0.052156"",""0.298649"",""0.253247"",""0.152727""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]",200.47,196.5,202.54,249.99,241.25,221.9,238.66,,,"[null,""67.31"",""81.71"",""78.00"",""29.87"",""8.99""]","[null,""195.37"",""201.74"",""247.77"",""241.32"",""236.88""]","[null,""195.36"",""201.21"",""245.51"",""242.35"",""237.01""]","[null,""195.83"",""202.09"",""248.27"",""240.81"",""234.81""]","[null,""195.55"",""201.78"",""247.46"",""241.26"",""236.27""]","[""196.61"",""195.58"",""198.49"",""221.82"",""222.04"",""223.92""]","[""1.00"",""1.11"",""2.04"",""2.46"",""0.06"",""0.00""]","[null,""0.3067"",""0.1833"",""0.6845"",""0.5601"",""1.4900""]","[null,""0.43"",""0.36"",""0.88"",""-0.44"",""-6.32""]","[""-0.98"",""-0.63"",""0.96"",""8.65"",""8.20"",""-0.90""]",Snowflake Inc,221.9,0,,,249.99,107.13,52425,2848425,74038708163,,1.22,68.61413933,0.01840490798,10.73406857,5.395649283,,-7,60,202.5399933,,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,"Urban Outfitters, Inc",URBN,5.2,72,2025-08-27 0:00:00,3,4:05:00 PM,2025-08-10 20:42:05,73.89,2025-08-21 0:00:00,5,2,10,5.2,5.4,2025-08-29 0:00:00,0.1211,0.1271,2042942.368,"[""0.081944"",""0.080556"",""0.087639"",""0.097222"",null,null]",2025-08-25,"[""0.081944"",""0.080556"",""0.087639"",""0.097222"",""0.000000"",""0.000000""]","[""0.000000"",""0.000000"",""0.000000"",""0.042500"",""0.070708"",""0.009028""]",77.9,77.8,78.31,79,69.54,71.35,67.07,2.29,,"[""71.87"",""68.62"",""65.79"",""30.00"",""15.48"",""94.23""]","[""77.45"",""77.55"",""78.10"",""78.06"",""69.78"",""67.29""]","[null,""77.45"",""77.85"",""77.93"",""70.56"",""67.18""]","[""77.71"",""77.60"",""78.14"",""77.91"",""69.46"",""67.88""]","[""77.48"",""77.54"",""78.07"",""77.99"",""69.80"",""67.44""]","[""76.67"",""76.65"",""77.14"",""74.60"",""74.56"",""73.58""]","[""1.00"",""1.05"",""1.57"",""2.22"",""0.03"",""0.00""]","[""0.1196"",""0.0918"",""0.0891"",""0.3298"",""0.1906"",""0.3642""]","[""0.57"",""0.33"",""0.17"",""-1.00"",""-1.70"",""6.03""]","[""-0.23"",""-0.51"",""1.13"",""-6.56"",""-8.01"",""-3.03""]",Urban Outfitters Inc,71.35,0,,,80.69,33.86,2886,1630515,6399829441,13.96,1.29,53.15480045,0.001769992916,-8.537367004,-10.57776664,,-7,60,78.30999756,,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Li Auto Inc.,LI,1.27,23,2025-08-28 0:00:00,1,4:30:00 AM,2025-08-15 6:54:38,23.46,2025-08-21 0:00:00,4,14,11,1.29,1.34,2025-08-29 0:00:00,0.0944,0.1129,4472458.106,"[""0.066087"",""0.077391"",""0.020000"",""0.055652"",""0.026522"",""0.042609""]",2025-08-29,"[""0.066087"",""0.077391"",""0.020000"",""0.055652"",""0.026522"",""0.042609""]","[""0.000000"",""0.000000"",""0.025217"",""0.015217"",""0.000000"",""0.000000""]",24.51,24.78,23.46,24.28,23.61,23.98,23.35,3.07,,"[""63.50"",""73.96"",""5.51"",""75.89"",""56.43"",""95.87""]","[""24.29"",""24.62"",""24.53"",""23.91"",""23.50"",""23.31""]","[null,""24.49"",""24.54"",""23.36"",""23.38"",""23.27""]","[""24.39"",""24.68"",""24.31"",""24.01"",""23.54"",""23.45""]","[null,""24.62"",""24.47"",""23.86"",""23.50"",""23.35""]","[""24.17"",""24.32"",""23.50"",""23.46"",""23.46"",""23.45""]","[""1.00"",""1.09"",""1.64"",""1.56"",""1.48"",""0.00""]","[""0.0608"",""0.0457"",""0.1394"",""0.1069"",""0.0580"",""0.0631""]","[""0.82"",""0.56"",""-6.23"",""1.10"",""0.23"",""2.87""]","[""-0.70"",""1.35"",""-3.85"",""-0.86"",""0.42"",""2.27""]",Li Auto Inc,23.98,0,,,33.11,18.11,102976,6115387,199423068416,22.51,0.97,48.00736467,0.0168388362,6.10619469,-0.9090909091,,-7,40,,22.42000008,FALSE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Dollar General Corporation,DG,5.25,112,2025-08-28 0:00:00,1,6:50:00 AM,2025-07-31 7:27:38,112.49,2025-08-21 0:00:00,5,25,21,5.05,5.35,2025-08-29 0:00:00,0.0885,0.1137,3304676.962,"[""0.007143"",""0.004286"",null,""0.026786"",""0.016250"",""0.016250""]",2025-08-29,"[""0.007143"",""0.004286"",""0.000000"",""0.026786"",""0.016250"",""0.000000""]","[""0.008750"",""0.017143"",""0.017768"",""0.056339"",""0.040917"",""0.031786""]",112.8,112.48,111.33,114.98,113.82,108.44,108.76,0.47,,"[""61.11"",""58.78"",""78.02"",""92.95"",""64.26"",""44.64""]","[""112.71"",""112.25"",""110.84"",""111.30"",""111.90"",""108.63""]","[""112.65"",""112.34"",""110.88"",""111.03"",""112.11"",""108.38""]","[""112.72"",""112.35"",""111.03"",""112.38"",""112.31"",""108.68""]","[""112.70"",""112.30"",""110.91"",""111.62"",""112.09"",""108.62""]","[""112.06"",""111.55"",""111.27"",""111.06"",""111.07"",""110.74""]","[""1.00"",""0.98"",""1.19"",""1.79"",""0.02"",""0.00""]","[""0.0585"",""0.1193"",""0.0934"",""0.3909"",""0.3456"",""0.1519""]","[""0.08"",""0.18"",""0.45"",""2.91"",""0.84"",""-0.18""]","[""0.26"",""-0.94"",""-0.06"",""0.59"",""1.60"",""-2.08""]",Dollar General Corp,108.44,0,,,117.95,66.43,1204,2545165,23868295177,20.06,0.29,23.30619581,0.0004730538099,-2.482014388,-4.306388987,,-7,40,,110.0100021,FALSE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Burlington Stores Inc,BURL,16.2,270,2025-08-28 0:00:00,1,6:45:00 AM,2025-08-14 16:15:51,275.59,2025-08-21 0:00:00,5,1,1,16.8,17.3,2025-09-05 0:00:00,0.0798,0.07,1096857.668,"[""0.046556"",""0.044518"",""0.047259"",""0.144444"",""0.098685"",""0.074778""]",2025-08-29,"[""0.046556"",""0.044518"",""0.047259"",""0.144444"",""0.098685"",""0.074778""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.000000""]",282.57,282.02,282.76,309,296.64,290.19,,,,"[""51.91"",""67.44"",""58.67"",""95.76"",""64.88"",""78.57""]","[""253.84"",""280.93"",""282.15"",""289.05"",""295.02"",""289.46""]","[""242.62"",""280.74"",""281.21"",""284.36"",""296.12"",""288.87""]","[""275.65"",""281.44"",""282.35"",""300.49"",""295.37"",""289.76""]","[""261.35"",""281.10"",""282.07"",""292.63"",""295.32"",""289.48""]","[""280.00"",""279.94"",""280.16"",""289.56"",""289.57"",""288.97""]","[""1.00"",""1.02"",""1.33"",""1.96"",""0.01"",""0.55""]","[""60.5305"",""0.2364"",""0.2797"",""2.2431"",""0.4694"",""0.1798""]","[""11.32"",""0.34"",""0.07"",""6.53"",""0.55"",""0.25""]","[""0.14"",""-0.32"",""0.05"",""1.98"",""2.44"",""0.42""]",Burlington Stores Inc,301.35,0,,,309,212.92,776,847651,18995603661,35.66,1.72,30.96036826,0.0009154711078,7.509810917,6.49162485,,0,60,282.7600098,278.2600098,TRUE,,2025-09-05 06:19:59,0
2025-08-22 19:44:55,Long Calls,,Dell Technologies,DELL,6.9,127,2025-08-28 0:00:00,3,4:05:00 PM,2025-08-18 19:50:29,127.83,2025-08-21 0:00:00,4,70,8,6.75,6.95,2025-08-29 0:00:00,0.1019,0.1214,5661345.216,"[""0.040551"",""0.043307"",""0.044646"",""0.064409"",null,null]",2025-08-25,"[""0.040551"",""0.043307"",""0.044646"",""0.064409"",""0.000000"",""0.000000""]","[""0.000000"",""0.000000"",""0.000000"",""0.000000"",""0.058032"",""0.002598""]",132.15,132.5,132.67,135.18,124.31,126.67,122.15,1.11,,"[""59.80"",""67.91"",""61.08"",""68.40"",""76.61"",""87.60""]","[""131.94"",""131.72"",""132.43"",""134.10"",""123.18"",""122.34""]","[""131.76"",""131.83"",""132.28"",""133.87"",""123.01"",""122.15""]","[""132.02"",""132.11"",""132.45"",""134.54"",""123.68"",""123.14""]","[""131.95"",""131.90"",""132.41"",""134.27"",""123.31"",""122.57""]","[""130.98"",""131.13"",""131.41"",""132.73"",""128.03"",""127.06""]","[""1.00"",""1.08"",""1.06"",""2.04"",""2.23"",""0.00""]","[""0.0954"",""0.1878"",""0.0837"",""0.3287"",""0.2400"",""0.5376""]","[""0.08"",""0.51"",""0.05"",""0.79"",""0.79"",""3.54""]","[""0.03"",""-0.10"",""0.83"",""1.00"",""-3.03"",""-0.31""]",Dell Technologies Inc,126.67,0,,,147.66,66.25,32831,4057774,85677256033,0,,42.59587892,0.008090889241,-4.4,-1.147182769,,-7,60,132.6678925,130.6540985,TRUE,,2025-09-05 06:19:59,0
