Run Date,Strategy,,company,ticker,price,strike,nextEPSDate,releaseTime,lastEPSTime,confirmDate,lastTrade,optionDate,score,openInterest,volume,bid,ask,expDate,epsImpact,avgEPSMove,avgVolume,Strike_Hit,Hit_Date,Max_Favorable,Min_Unfavorable,Day0_Check,Day1_Check,Day2_Check,Day3_Check,Day4_Check,Day5_Check,Exp_Result,Risk_Reward,Peak_Profit_Date,Hit_RSI,Hit_SMA20,Hit_SMA50,Hit_EMA9,Hit_EMA21,Hit_VWAP,Hit_RVOL,Hit_ATR,Hit_PriceVsSMA20,Hit_PriceVsVWAP,GF_Name,GF_Price,GF_ChangePct,GF_High,GF_Low,GF_High52,GF_Low52,GF_Volume,GF_AvgVol10,GF_MktCap,GF_PE,GF_Beta,HV_30D,RVOL_10,Ret_5D,Ret_20D,GapPct,Days_To_Exp,Success_Score,Historical_High,Historical_Low,Ever_Hit_Strike,First_Hit_Date,Last_Update,Total_Hit_Days
2025-08-15 16:44:03,Long Calls,,"Palo Alto Networks, Inc.",PANW,7.59,172.5,2025-08-18 0:00:00,3,2025-05-20 16:05:00,2025-07-30 8:10:50,173.55,2025-08-14 0:00:00,5,3908,307,7.35,7.6,2025-08-22 0:00:00,0.0799,0.0805,6537703.274,"[""0.026667"",""0.022435"",""0.053043"",""0.069159"",""0.062841"",""0.077565""]",2025-08-18,"[""4.85"",""5.63"",""16.42"",""15.15"",""11.80"",""13.38""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.00"",""0.00""]",178.13,188.92,187.65,184.3,185.88,185.88,185.88,,,"[""66.50"",""72.77"",""96.61"",""65.96"",""24.13"",""85.17""]","[""176.88"",""177.04"",""177.90"",""187.18"",""184.81"",""183.43""]","[""176.70"",""176.78"",""176.99"",""186.74"",""184.84"",""183.32""]","[""177.06"",""177.32"",""181.85"",""187.36"",""184.55"",""183.83""]","[""176.91"",""177.09"",""179.06"",""187.18"",""184.71"",""183.54""]","[""175.46"",""175.67"",""177.44"",""181.33"",""181.63"",""181.65""]","[""2.69"",""1.60"",""2.08"",""1.37"",""5.36"",""0.00""]","[""0.1713"",""0.3149"",""1.2864"",""0.2047"",""0.2527"",""0.3437""]","[""0.22"",""0.40"",""5.91"",""0.17"",""-0.46"",""1.34""]","[""1.03"",""1.18"",""6.18"",""3.40"",""1.28"",""2.33""]",Palo Alto Networks Inc,185.88,1.4,187.11,182.94,210.39,144.15,6861721,10219730,124155909765,116.28,1.43,37.77572015,0.6714190101,4.963577842,-8.555123727,1.214266267,-1,80,185.88,185.88,TRUE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,XP Inc.,XP,0.93,17,2025-08-18 0:00:00,3,2025-05-20 16:20:00,2025-08-04 14:42:59,17.39,2025-08-14 0:00:00,5,206,17,0.85,0.95,2025-08-22 0:00:00,0.0848,0.0562,6455244.203,"[""0.032353"",""0.030588"",""-0.059118"",""-0.056471"",""-0.048235"",""-0.031765""]",2025-08-18,"[""0.76"",""0.75"",""0.00"",""0.00"",""0.00"",""0.00""]","[""0.00"",""0.00"",""1.27"",""1.02"",""1.12"",""0.54""]",17.75,16.66,16.38,16.21,16.46,16.46,16.46,0.59,,"[""52.14"",""81.47"",""46.87"",""21.41"",""59.17"",""89.18""]","[""16.79"",""17.57"",""16.00"",""16.13"",""16.16"",""16.17""]","[null,""17.55"",""16.07"",""16.14"",""16.17"",""16.17""]","[""17.22"",""17.59"",""15.96"",""16.10"",""16.16"",""16.22""]","[""17.19"",""17.57"",""16.00"",""16.12"",""16.16"",""16.19""]","[""17.64"",""17.54"",""16.67"",""16.56"",""16.50"",""16.50""]","[""2.10"",""2.17"",""2.78"",""4.42"",""4.84"",""0.00""]","[""2.5539"",""0.0257"",""0.0335"",""0.0157"",""0.0143"",""0.0332""]","[""5.64"",""0.85"",""-0.06"",""-0.57"",""0.13"",""1.77""]","[""0.57"",""1.05"",""-4.02"",""-3.11"",""-1.92"",""-0.22""]",XP Inc,16.46,1.79,16.8,16.14,20.64,10.82,8968292,5551856,8690853180,9.88,1.09,39.08314221,1.615368266,-6.264236902,-0.6038647343,1.667696109,-1,66.15368266,16.46,16.46,FALSE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,"Analog Devices, Inc.",ADI,7.41,235,2025-08-20 0:00:00,1,2025-05-22 7:01:00,2025-07-24 16:05:11,236.21,2025-08-14 0:00:00,5,126,4,6.7,7.7,2025-08-22 0:00:00,0.0641,0.0522,4175731.314,"[""-0.014638"",""-0.014851"",""-0.018766"",""0.042000"",""0.050766"",""0.073191""]",2025-08-20,"[""2.21"",""0.00"",""0.00"",""10.40"",""15.18"",""17.20""]","[""3.96"",""4.32"",""5.19"",""6.89"",""0.00"",""0.00""]",234.04,234.22,245.4,250.18,252.2,252.2,252.2,2.5,,"[""51.73"",""51.73"",""36.68"",""57.95"",""78.49"",""80.45""]","[""231.82"",""231.82"",""231.29"",""244.96"",""249.46"",""247.82""]","[""222.79"",""222.79"",""231.55"",""244.78"",""249.18"",""248.78""]","[""231.07"",""231.07"",""230.58"",""244.91"",""249.84"",""248.19""]","[""227.02"",""227.02"",""231.06"",""244.89"",""249.55"",""248.08""]","[""236.46"",""232.62"",""232.14"",""235.28"",""238.11"",""238.68""]","[""1.00"",""4.72"",""3.92"",""3.73"",""1.90"",""0.00""]","[""0.1874"",""0.1874"",""0.3100"",""0.3547"",""0.1877"",""0.6413""]","[""-0.14"",""-0.14"",""-0.30"",""0.09"",""0.29"",""1.77""]","[""-0.10"",""-0.48"",""-0.67"",""4.20"",""5.07"",""5.66""]",Analog Devices Inc,252.2,2.13,257.21,248.22,257.21,158.65,4990768,3479224,124071200000,64.16,1.05,28.80233399,1.434448601,8.880542244,10.70143095,1.211975279,-1,84.34448601,252.2,252.2,TRUE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,Bilibili Inc.,BILI,1.57,23.5,2025-08-21 0:00:00,1,2025-05-20 6:00:00,2025-08-05 7:00:24,23.82,2025-08-14 0:00:00,5,108,38,1.47,1.54,2025-08-22 0:00:00,0.1167,0.0735,3748398.448,"[""0.057447"",""0.078936"",""0.066808"",""0.077021"",""0.011489"",""0.020426""]",2025-08-18,"[""1.43"",""2.09"",""2.05"",""1.83"",""0.87"",""0.48""]","[""0.00"",""0.00"",""0.00"",""0.00"",""0.09"",""0.00""]",25.59,25.55,25.33,24.37,23.98,23.98,23.98,23.22,,"[""54.29"",""53.29"",""51.87"",""57.75"",""45.97"",""54.69""]","[""24.90"",""25.48"",""25.51"",""25.09"",""24.82"",""23.72""]","[""24.85"",""24.89"",""24.94"",""25.06"",""24.53"",""23.23""]","[""24.91"",""25.50"",""25.49"",""25.09"",""24.33"",""23.80""]","[""24.89"",""25.44"",""25.23"",""25.08"",""24.61"",""23.67""]","[""24.72"",""24.95"",""25.10"",""25.11"",""24.97"",""24.57""]","[""1.10"",""0.94"",""1.54"",""5.34"",""0.65"",""0.00""]","[""0.0107"",""0.0415"",""0.0202"",""0.0345"",""0.2784"",""0.0475""]","[""0.08"",""0.24"",""-0.06"",""0.39"",""-2.21"",""1.09""]","[""0.79"",""2.40"",""1.60"",""0.29"",""-2.77"",""-2.41""]",Bilibili Inc - ADR,23.98,0.93,24.25,23.58,31.77,13.6,5691474,1976890,9898471405,341.11,0.94,48.08370321,2.87900389,-3.501006036,2.610183997,0.7139857203,-1,90,23.98,23.98,TRUE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,Walmart Inc.,WMT,2.8,100,2025-08-21 0:00:00,1,2025-05-15 7:02:00,2025-08-14 7:01:15,100.85,2025-08-14 0:00:00,4,2959,1127,2.77,2.84,2025-08-22 0:00:00,0.0487,0.0447,17663881.95,"[""0.000300"",""0.006800"",""0.013100"",""0.025700"",""-0.020450"",""-0.031700""]",2025-08-18,"[""0.75"",""0.88"",""2.43"",""2.65"",""0.00"",""0.00""]","[""0.46"",""0.08"",""0.00"",""0.00"",""3.05"",""3.17""]",100.88,102.43,102.65,99.45,96.83,96.83,96.83,0.84,,"[""51.92"",""51.92"",""60.12"",""55.32"",""61.31"",""21.93""]","[""95.74"",""95.74"",""102.12"",""102.54"",""97.77"",""97.74""]","[""98.68"",""98.68"",""102.08"",""102.51"",""97.74"",""97.72""]","[""89.42"",""99.70"",""102.26"",""102.57"",""97.94"",""97.72""]","[""98.12"",""98.12"",""102.15"",""102.53"",""97.84"",""97.75""]","[""100.51"",""100.22"",""100.49"",""101.14"",""99.59"",""99.59""]","[""0.08"",""2.03"",""1.13"",""0.67"",""3.83"",""0.00""]","[""14.4187"",""14.4187"",""0.0847"",""0.0451"",""0.1423"",""0.2191""]","[""5.34"",""5.34"",""0.28"",""0.09"",""0.19"",""-0.93""]","[""0.14"",""0.63"",""1.92"",""1.47"",""-1.64"",""-2.77""]",Walmart Inc,96.83,-1.15,99.05,96.76,105.3,75.01,32695177,12856706,772743889552,36.53,0.66,22.05115473,2.543044618,-3.17,-0.656612291,-1.264402977,-1,70,96.83,96.83,FALSE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,"Zoom Communications, Inc.",ZM,3.47,71,2025-08-21 0:00:00,3,2025-05-21 16:05:00,2025-07-31 16:16:52,71.86,2025-08-14 0:00:00,4,112,4,3.75,3.9,2025-08-29 0:00:00,0.0901,0.0606,2671698.908,,,,,,,,,,,,,,,,,,,,,,,,Zoom Communications Inc,82.47,12.71,83.01,75.72,92.8,64.41,15999992,2187790,24951100000,21.72,0.68,42.35138672,7.313312521,12.75635767,10.22453889,8.813827682,6,82,82.47,82.47,TRUE,2025-08-23,2025-08-23 16:06:46,0
2025-08-15 16:44:03,Long Calls,,Intuit Inc.,INTU,24.2,710,2025-08-21 0:00:00,3,2025-05-22 16:00:00,2025-07-31 19:10:48,710.64,2025-08-14 0:00:00,5,51,53,23.8,25,2025-08-22 0:00:00,0.0689,0.0697,1707873.74,"[""0.009697"",""0.010056"",""-0.012732"",""-0.015704"",""-0.016958"",""-0.066676""]",2025-08-15,"[""10.09"",""11.54"",""9.10"",""0.00"",""0.00"",""0.00""]","[""2.50"",""0.00"",""11.15"",""14.31"",""17.15"",""47.34""]",720.09,721.54,719.1,705.1,700.96,662.66,662.66,0.24,,"[""51.88"",""52.42"",""52.04"",""52.02"",""51.21"",""24.24""]","[""647.15"",""575.08"",""681.08"",""698.92"",""698.38"",""696.63""]","[""675.29"",""603.30"",""702.57"",""685.39"",""697.90"",""697.21""]","[""621.44"",""616.04"",""712.35"",""698.80"",""698.26"",""691.14""]","[""636.38"",""586.13"",""700.82"",""696.95"",""697.95"",""694.74""]","[""714.55"",""715.92"",""716.95"",""708.95"",""706.37"",""706.37""]","[""0.60"",""1.76"",""0.74"",""4.47"",""4.06"",""0.00""]","[""205.7283"",""308.5371"",""0.7907"",""0.4539"",""0.6145"",""3.0938""]","[""11.26"",""25.21"",""5.58"",""-0.01"",""-0.06"",""-4.88""]","[""0.76"",""0.58"",""0.30"",""-1.42"",""-1.19"",""-6.19""]",Intuit Inc,662.66,-5.03,670.39,642.52,813.48,532.65,6368783,3195318,184847011528,48.47,1.28,29.22827645,1.993160931,-7.545274437,-15.68674852,1.169465649,-1,69.93160931,662.66,662.66,FALSE,2025-08-23,2025-08-23 16:06:46,53
2025-08-15 16:44:03,Long Calls,,"MongoDB, Inc.",MDB,18.1,202.5,2025-08-26 0:00:00,3,2025-06-04 16:05:00,2025-08-05 16:11:16,204.37,2025-08-14 0:00:00,5,17,1,16.9,18.05,2025-08-29 0:00:00,0.0875,0.1764,2443208.57,,,,,,,,,,,,,,,,,,,,,,,,Mongodb Inc,219.06,3.35,220,208.65,370,140.94,1804476,3128059,17900340930,,1.44,54.34068834,0.5768676358,0.3665353248,-9.243070804,3.805146188,6,72,219.06,219.06,TRUE,2025-08-23,2025-08-23 16:06:46,0
2025-08-15 16:44:03,Long Calls,,Abercrombie & Fitch Co.,ANF,7.5,97,2025-08-27 0:00:00,1,2025-05-28 7:30:00,2025-08-01 8:03:35,97.32,2025-08-14 0:00:00,4,42,2,7.4,7.7,2025-08-29 0:00:00,0.0786,0.1231,2507965.606,,,,,,,,,,,,,,,,,,,,,,,,Abercrombie & Fitch Co,98.46,6.03,98.73,91.86,171.47,65.4,2743869,1504415,4690959274,9.7,1.54,50.90292524,1.82387772,4.945640588,6.627680312,5.814078452,6,80.2387772,98.46,98.46,TRUE,2025-08-23,2025-08-23 16:06:46,0
2025-08-15 16:44:03,Long Calls,,NVIDIA Corp.,NVDA,8.8,180,2025-08-27 0:00:00,3,2025-05-28 16:20:00,2025-07-30 17:05:27,182.02,2025-08-14 0:00:00,5,19403,4085,8.75,8.85,2025-08-29 0:00:00,0.0516,0.0739,213327004.6,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA Corp,177.99,1.72,178.59,171.2,184.48,86.63,172789427,138323191,4342956000000,57.33,2.14,26.16687354,1.249171782,-1.36325852,2.587896254,3.116853021,6,54.49171782,177.99,177.99,FALSE,,2025-08-23 16:06:46,0
