entry_time,exit_time,direction,entry_price,exit_price,exit_reason,base_score,strat_bonus,total_score,position_size,return_pct,mae,mfe,conditions
2024-01-02 09:30:00,2024-01-02 09:34:00,CALL,402.1085,401.2072,stop_loss,3,0,3,0.25,-0.0022414348366174603,-0.001280748852610642,0.0,"rsi_oversold_zone, near_below_emas, stoch_rsi_oversold"
2024-01-02 09:35:00,2024-01-02 09:38:00,CALL,401.4251,400.5338,stop_loss,3,0,3,0.25,-0.0022203394854980445,-0.0011596185689434048,0.0,"below_vwap, near_below_emas, stoch_rsi_oversold"
2024-01-02 09:39:00,2024-01-02 09:42:00,CALL,400.4847,399.7513,stop_loss,4,0,4,0.25,-0.0018312809453144166,-0.0010644601404247635,0.0,"consecutive_down, below_vwap, near_below_emas, stoch_rsi_oversold"
2024-01-02 09:43:00,2024-01-02 09:49:00,CALL,399.8009,399.0234,stop_loss,3,0,3,0.25,-0.001944717983376305,-0.0013874405985579955,0.00042095953260732504,"below_vwap, near_below_emas, stoch_rsi_oversold"
2024-01-02 09:52:00,2024-01-02 10:01:00,PUT,399.3354,400.1771,stop_loss,3,0,3,0.25,-0.002107752029997849,-0.001884881730996061,0.001575117056990237,"rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2024-01-03 09:30:00,2024-01-03 09:32:00,CALL,396.3146,395.6708,stop_loss,3,0,3,0.25,-0.001624467026952827,-9.992061861967029e-05,0.0,"rsi_oversold_zone, below_vwap, near_below_emas"
2024-01-03 09:34:00,2024-01-03 10:04:00,CALL,396.1561,396.7999,time_stop,3,0,3,0.25,0.001625116967781132,-0.00039984238536266867,0.0019000086077180292,"rsi_oversold_zone, below_vwap, near_below_emas"
2024-01-03 10:05:00,2024-01-03 10:12:00,PUT,396.8989,395.2648,target,3,0,3,0.25,0.004117169384949281,0.0,0.0032937858986255637,"above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-03 10:24:00,2024-01-03 10:59:00,PUT,395.2548,395.7898,time_stop,3,0,3,0.25,-0.0013535572496526924,-0.0011276270395703936,0.0014405897157984502,"consecutive_up, rsi_overbought_zone, near_above_emas"
2024-01-03 11:00:00,2024-01-03 11:35:00,PUT,396.2055,395.6609,time_stop,4,0,4,0.25,0.001374539222701214,-0.0001254399547710212,0.0015994225218982983,"consecutive_up, above_vwap, near_above_emas, stoch_rsi_overbought"
