Criterion,Trades_Met,Win_Rate,Avg_Return,Total_Return
Exit_RSI_GT_80,506,1.0,0.9755731225296442,493.64
Return_GT_0.5pct,5864,1.0,0.8579723738062756,5031.15
Exit_RSI_LT_20,691,1.0,0.6932706222865412,479.05
Return_GT_0.3pct,14098,1.0,0.5837508866505888,8229.720000000001
Entry_OBV_Bottom_20pct,3489,1.0,0.5581169389509888,1947.2699999999998
Exit_RSI_LT_30,6451,1.0,0.5054100139513253,3260.4
Entry_ATR_GTE_0.2,10788,1.0,0.5009705228031145,5404.469999999999
Time_0930_1000,3911,1.0,0.4799207363845564,1876.97
Entry_RVOL_GTE_5.0,301,1.0,0.45800664451827244,137.86
Return_GT_0.2pct,22718,1.0,0.45753807553481823,10394.35
Entry_RSI_GT_70,194,1.0,0.45113402061855673,87.52000000000001
Exit_RVOL_GTE_3.0,1493,1.0,0.4406831882116544,657.94
Exit_RSI_GT_70,5859,1.0,0.42687489332650624,2501.06
Entry_ATR_GTE_0.15,19256,1.0,0.4232405484004986,8149.92
Return_GT_0.15pct,28652,1.0,0.3998907580622645,11457.670000000002
Exit_RSI_LT_40,16576,1.0,0.3891101592664093,6449.89
Entry_RVOL_GTE_3.0,1025,1.0,0.38817560975609755,397.88
Entry_OBV_Bottom_60pct,17515,1.0,0.3855723665429631,6753.299999999999
PUT_Full_Setup,4025,1.0,0.3773962732919255,1519.02
Exit_RVOL_GTE_5.0,267,1.0,0.3772659176029963,100.73000000000002
Exit_RSI_LT_45,17693,1.0,0.37680099474368395,6666.74
Exit_Price_LT_EMA9,17817,1.0,0.37530672952797883,6686.839999999999
Exit_Price_LT_EMA20,17919,1.0,0.3741241140688655,6703.93
Entry_OBV_Bottom_40pct,13142,1.0,0.3736113224775529,4910.0
Exit_RSI_LT_50,17968,1.0,0.3735218165627783,6711.44
Exit_Price_LT_EMA50,18208,1.0,0.37101329086116,6755.410000000001
Exit_EMA9_LT_EMA20,18357,1.0,0.3701683281581957,6795.179999999999
Exit_Price_LT_VWAP,18649,1.0,0.3693812000643466,6888.59
Exit_RSI_LT_55,18381,1.0,0.36928676350579404,6787.86
Entry_RSI_LT_40,6678,1.0,0.36793351302785265,2457.06
PUT_Bias_Met,11092,1.0,0.3677542372881356,4079.13
Exit_RVOL_GTE_2.0,5238,1.0,0.3673272241313479,1924.0600000000002
Exit_EMA20_LT_EMA50,19384,1.0,0.3649943252166736,7075.05
Entry_ATR_GTE_0.1,30668,1.0,0.36310095213251603,11135.580000000002
Exit_RVOL_GTE_1.5,10192,1.0,0.36308967817896387,3700.6099999999997
Entry_RSI_LT_45,12111,1.0,0.3608380810833127,4370.110000000001
Entry_Price_LT_EMA9,18171,1.0,0.3608260414946894,6556.570000000001
Entry_Price_LT_EMA20,18135,1.0,0.3575103391232423,6483.45
Entry_RSI_LT_30,222,1.0,0.3566666666666667,79.18
Exit_RSI_LT_60,19835,1.0,0.35642349382404837,7069.66
Entry_StochRSI_LT_20,6304,1.0,0.3556852791878172,2242.24
Entry_RSI_LT_50,18234,1.0,0.3552769551387518,6478.12
Entry_OBV_Bottom_80pct,28312,1.0,0.3550752331166996,10052.89
Entry_RVOL_GTE_2.0,3067,1.0,0.35464949462015,1087.71
Entry_Price_LT_EMA50,18316,1.0,0.3538348984494431,6480.84
