Time,Open,High,Low,Last,Change,%Chg,Volume
2024-08-08 04:00:00,200.96,200.96,200.87,200.87,-0.11,-0.05%,200.0
2024-08-08 04:01:00,200.9,201.06,200.9,200.94,0.07,+0.03%,2630.0
2024-08-08 04:02:00,201.17,201.22,201.17,201.22,0.28,+0.14%,424.0
2024-08-08 04:03:00,201.17,201.17,201.17,201.17,-0.05,-0.02%,123.0
2024-08-08 04:04:00,201.33,201.33,201.33,201.33,0.16,+0.08%,596.0
2024-08-08 04:05:00,201.14,201.18,200.97,201.18,-0.15,-0.07%,400.0
2024-08-08 04:06:00,201.18,201.18,201.18,201.18,0.0,0.00%,100.0
2024-08-08 04:07:00,201.2,201.28,201.2,201.28,0.1,+0.05%,471.0
2024-08-08 04:08:00,201.2,201.22,201.2,201.22,-0.06,-0.03%,5792.0
2024-08-08 04:09:00,201.02,201.09,201.02,201.08,-0.14,-0.07%,1500.0
2024-08-08 04:10:00,201.12,201.12,201.12,201.12,0.04,+0.02%,100.0
2024-08-08 04:13:00,201.33,201.33,201.33,201.33,0.21,+0.10%,200.0
2024-08-08 04:14:00,201.35,201.42,201.35,201.42,0.09,+0.04%,1800.0
2024-08-08 04:15:00,201.43,201.43,201.41,201.41,-0.01,0.00%,250.0
2024-08-08 04:16:00,201.38,201.38,201.37,201.37,-0.04,-0.02%,1200.0
2024-08-08 04:19:00,201.54,201.54,201.54,201.54,0.17,+0.08%,110.0
2024-08-08 04:21:00,201.32,201.32,201.25,201.25,-0.29,-0.14%,700.0
2024-08-08 04:22:00,201.11,201.13,201.11,201.13,-0.12,-0.06%,936.0
2024-08-08 04:24:00,201.03,201.03,201.01,201.01,-0.12,-0.06%,424.0
2024-08-08 04:26:00,201.26,201.26,201.26,201.26,0.25,+0.12%,100.0
2024-08-08 04:28:00,201.12,201.12,201.12,201.12,-0.14,-0.07%,400.0
2024-08-08 04:29:00,201.0,201.01,201.0,201.0,-0.12,-0.06%,900.0
2024-08-08 04:31:00,201.24,201.26,201.2,201.2,0.2,+0.10%,1905.0
2024-08-08 04:33:00,201.32,201.32,201.32,201.32,0.12,+0.06%,100.0
2024-08-08 04:35:00,201.46,201.46,201.46,201.46,0.14,+0.07%,228.0
2024-08-08 04:36:00,201.45,201.48,201.42,201.42,-0.04,-0.02%,500.0
