trade_type,duration_minutes,price_change,return_pct,entry_timestamp,entry_price,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_EMA9,entry_EMA20,entry_EMA50,entry_VWAP,entry_RVOL20,entry_RVOL_MOD,entry_RVOL_MOD_EXCL,entry_ATR14_W,entry_RSI14_W,entry_StochRSI_K,entry_StochRSI_D,entry_OBV,exit_timestamp,exit_price,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_EMA9,exit_EMA20,exit_EMA50,exit_VWAP,exit_RVOL20,exit_RVOL_MOD,exit_RVOL_MOD_EXCL,exit_ATR14_W,exit_RSI14_W,exit_StochRSI_K,exit_StochRSI_D,exit_OBV
put,1,-0.009999999999990905,0.00469593801361395,2025-06-09 04:00:00,212.95,213.0,213.05,212.95,212.95,1200.0,,,,212.98333333333335,,0.22256568778979907,0.21842397336293007,,,,,0.0,2025-06-09 04:01:00,212.94,212.94,212.94,212.94,212.94,586.0,,,,212.96911534154538,,0.2883820920263672,0.2829403244117916,,,,,-586.0
call,6,0.28000000000000114,0.1314924391847474,2025-06-09 04:01:00,212.94,212.94,212.94,212.94,212.94,586.0,,,,212.96911534154538,,0.2883820920263672,0.2829403244117916,,,,,-586.0,2025-06-09 04:07:00,213.22,213.21,213.22,213.21,213.22,200.0,,,,213.07543892296735,,0.3020894520432995,0.2961834645002962,,,,,12137.0
put,1,-0.030000000000001137,0.01406997467404612,2025-06-09 04:07:00,213.22,213.21,213.22,213.21,213.22,200.0,,,,213.07543892296735,,0.3020894520432995,0.2961834645002962,,,,,12137.0,2025-06-09 04:08:00,213.19,213.19,213.19,213.19,213.19,140.0,213.06555555555553,,,213.0765337793251,,0.13826835347787236,0.13542207332609824,,,,,11997.0
call,1,0.020000000000010232,0.00938130306300025,2025-06-09 04:08:00,213.19,213.19,213.19,213.19,213.19,140.0,213.06555555555553,,,213.0765337793251,,0.13826835347787236,0.13542207332609824,,,,,11997.0,2025-06-09 04:09:00,213.21,213.2,213.21,213.2,213.21,277.0,213.09444444444443,,,213.0789488141498,,0.37986528455612467,0.37285854136074403,,,,,12274.0
put,1,-0.010000000000019327,0.004690211528549002,2025-06-09 04:09:00,213.21,213.2,213.21,213.2,213.21,277.0,213.09444444444443,,,213.0789488141498,,0.37986528455612467,0.37285854136074403,,,,,12274.0,2025-06-09 04:10:00,213.2,213.22,213.22,213.2,213.2,251.0,213.11555555555555,,,213.0810610353386,,0.37586785860144306,0.36867713210318553,,,,,12023.0
call,1,0.10000000000002274,0.04690431519700879,2025-06-09 04:10:00,213.2,213.22,213.22,213.2,213.2,251.0,213.11555555555555,,,213.0810610353386,,0.37586785860144306,0.36867713210318553,,,,,12023.0,2025-06-09 04:12:00,213.3,213.28,213.3,213.25,213.3,1493.0,213.15244444444446,,,213.0991769646071,,1.5890903043405953,1.619872602547949,,,,,13516.0
put,1,-0.14000000000001478,0.06563525550868016,2025-06-09 04:12:00,213.3,213.28,213.3,213.25,213.3,1493.0,213.15244444444446,,,213.0991769646071,,1.5890903043405953,1.619872602547949,,,,,13516.0,2025-06-09 04:13:00,213.16,213.31,213.31,213.16,213.16,917.0,213.15395555555557,,,213.10495536475807,,1.0370956797104727,1.0382284382284381,,,,,12599.0
call,5,0.18999999999999773,0.08913492212422486,2025-06-09 04:13:00,213.16,213.31,213.31,213.16,213.16,917.0,213.15395555555557,,,213.10495536475807,,1.0370956797104727,1.0382284382284381,,,,,12599.0,2025-06-09 04:19:00,213.35,213.28,213.35,213.28,213.35,1460.0,213.22867215644447,,,213.13255468066492,,2.4212271973466004,2.541635234724076,0.06008512078300955,76.92068869751155,,,16048.0
put,1,-0.04999999999998295,0.02343566908834448,2025-06-09 04:21:00,213.35,213.37,213.37,213.35,213.35,220.0,213.25293772515562,,,213.1348419620214,,0.2547307132459971,0.24926686217008798,0.05722189786993818,76.92068869751155,,,16048.0,2025-06-09 04:22:00,213.3,213.3,213.3,213.3,213.3,600.0,213.2623501801245,213.16750000000002,,213.139314557381,0.5416140097490522,0.49968769519050593,0.49059689288634506,0.05670604802208423,70.2636923744166,,,15448.0
call,1,0.030000000000001137,0.014064697609001938,2025-06-09 04:22:00,213.3,213.3,213.3,213.3,213.3,600.0,213.2623501801245,213.16750000000002,,213.139314557381,0.5416140097490522,0.49968769519050593,0.49059689288634506,0.05670604802208423,70.2636923744166,,,15448.0,2025-06-09 04:23:00,213.33,213.4,213.4,213.33,213.33,200.0,213.27588014409963,213.1829761904762,,213.14122920021472,0.18907165815844207,0.2718622564567286,0.2652034750800183,0.05979847316336352,71.83849780636417,,,15648.0
