Time,Open,High,Low,Last,Change,%Chg,Volume
"2024-11-13 19:59",235.24,235.28,235.24,235.28,0.08,+0.03%,2861
"2024-11-13 19:57",235.2,235.2,235.2,235.2,-0.01,0.00%,100
"2024-11-13 19:53",235.21,235.21,235.21,235.21,-0.02,-0.01%,4234
"2024-11-13 19:50",235.23,235.23,235.23,235.23,-0.04,-0.02%,120
"2024-11-13 19:49",235.27,235.27,235.27,235.27,0,0.00%,200
"2024-11-13 19:46",235.2899,235.29,235.27,235.27,0.07,+0.03%,5468
"2024-11-13 19:44",235.19,235.2,235.19,235.2,0,0.00%,6135
"2024-11-13 19:41",235.21,235.21,235.2,235.2,0.01,0.00%,8182
"2024-11-13 19:40",235.19,235.19,235.19,235.19,-0.01,0.00%,491
"2024-11-13 19:37",235.2,235.2,235.2,235.2,0,0.00%,100
"2024-11-13 19:36",235.2,235.2,235.2,235.2,-0.08,-0.03%,2875
"2024-11-13 19:35",235.28,235.28,235.28,235.28,0.08,+0.03%,336
"2024-11-13 19:33",235.2,235.23,235.2,235.2,0,0.00%,10500
"2024-11-13 19:32",235.22,235.22,235.2,235.2,-0.02,-0.01%,4997
"2024-11-13 19:30",235.24,235.24,235.22,235.22,-0.07,-0.03%,9950
"2024-11-13 19:29",235.29,235.29,235.29,235.29,0.04,+0.02%,165
"2024-11-13 19:28",235.25,235.25,235.25,235.25,-0.02,-0.01%,300
"2024-11-13 19:26",235.27,235.27,235.27,235.27,0.04,+0.02%,3300
"2024-11-13 19:25",235.23,235.23,235.23,235.23,-0.05,-0.02%,112
"2024-11-13 19:23",235.28,235.28,235.28,235.28,0.0601,+0.03%,525
"2024-11-13 19:21",235.2199,235.2199,235.2199,235.2199,0.0099,0.00%,125
"2024-11-13 19:20",235.21,235.21,235.21,235.21,-0.01,0.00%,500
"2024-11-13 19:19",235.24,235.24,235.22,235.22,0.01,0.00%,300
"2024-11-13 19:18",235.21,235.21,235.21,235.21,-0.1331,-0.06%,100
"2024-11-13 19:17",235.3431,235.3431,235.3431,235.3431,-0.0068,0.00%,100
"2024-11-13 19:09",235.3,235.3499,235.3,235.3499,-0.0201,-0.01%,1314
"2024-11-13 19:08",235.4,235.4,235.31,235.37,-0.04,-0.02%,727
"2024-11-13 19:07",235.4391,235.4391,235.4,235.41,-0.08,-0.03%,1129
"2024-11-13 19:03",235.56,235.56,235.49,235.49,0.02,+0.01%,1855
"2024-11-13 19:00",235.51,235.51,235.47,235.47,0.01,0.00%,338
"2024-11-13 18:59",235.46,235.46,235.46,235.46,0,0.00%,260
"2024-11-13 18:57",235.46,235.46,235.46,235.46,0.05,+0.02%,339
"2024-11-13 18:53",235.41,235.41,235.41,235.41,0.01,0.00%,300
"2024-11-13 18:52",235.436,235.436,235.4,235.4,-0.21,-0.09%,318
"2024-11-13 18:45",235.56,235.61,235.56,235.61,0.0796,+0.03%,200
"2024-11-13 18:44",235.5304,235.5304,235.5304,235.5304,-0.0996,-0.04%,206
"2024-11-13 18:40",235.54,235.63,235.54,235.63,0.04,+0.02%,500
"2024-11-13 18:39",235.55,235.59,235.54,235.59,0.05,+0.02%,1400
"2024-11-13 18:37",235.54,235.54,235.54,235.54,0.1,+0.04%,450
"2024-11-13 18:33",235.44,235.44,235.44,235.44,0.06,+0.03%,100
"2024-11-13 18:29",235.38,235.38,235.38,235.38,-0.03,-0.01%,186
"2024-11-13 18:26",235.4,235.41,235.4,235.41,-0.05,-0.02%,1400
"2024-11-13 18:23",235.46,235.46,235.46,235.46,0.03,+0.01%,424
"2024-11-13 18:21",235.49,235.49,235.43,235.43,0.04,+0.02%,443
"2024-11-13 18:17",235.38,235.41,235.38,235.39,0.04,+0.02%,2780
"2024-11-13 18:16",235.35,235.35,235.35,235.35,0.05,+0.02%,100
"2024-11-13 18:14",235.3,235.3,235.3,235.3,0.06,+0.03%,100
"2024-11-13 18:12",235.28,235.28,235.24,235.24,-0.1,-0.04%,458
"2024-11-13 18:07",235.34,235.34,235.34,235.34,0.02,+0.01%,195
"2024-11-13 18:05",235.32,235.32,235.32,235.32,0.06,+0.03%,200
"2024-11-13 18:03",235.26,235.26,235.26,235.26,-0.07,-0.03%,150
"2024-11-13 18:01",235.34,235.34,235.33,235.33,-0.05,-0.02%,697
"2024-11-13 18:00",235.46,235.46,235.38,235.38,-0.08,-0.03%,627
"2024-11-13 17:59",235.37,235.46,235.37,235.46,0.07,+0.03%,301
"2024-11-13 17:56",235.47,235.47,235.39,235.39,-0.07,-0.03%,204
"2024-11-13 17:49",235.46,235.46,235.46,235.46,-0.01,0.00%,100
"2024-11-13 17:48",235.47,235.47,235.47,235.47,-0.0191,-0.01%,185
"2024-11-13 17:47",235.4891,235.4891,235.4891,235.4891,0.0891,+0.04%,100
"2024-11-13 17:41",235.4,235.4,235.4,235.4,-0.07,-0.03%,651
"2024-11-13 17:40",235.47,235.47,235.47,235.47,0,0.00%,187
"2024-11-13 17:35",235.47,235.47,235.47,235.47,0.36,+0.15%,100
"2024-11-13 17:33",235.11,235.11,235.11,235.11,-0.3443,-0.15%,197271
"2024-11-13 17:27",235.37,235.4543,235.37,235.4543,0.1043,+0.04%,253
"2024-11-13 17:20",235.35,235.35,235.35,235.35,-0.04,-0.02%,150
"2024-11-13 17:15",235.39,235.39,235.39,235.39,0,0.00%,100
"2024-11-13 17:12",235.35,235.39,235.35,235.39,0,0.00%,891
