Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-08-08 19:58",221.04,221.04,221.04,221.04,0.06,+0.03%,382
"2025-08-08 19:57",220.98,220.98,220.98,220.98,-0.1591,-0.07%,202
"2025-08-08 19:56",220.97,221.1391,220.97,221.1391,0.2191,+0.10%,2610
"2025-08-08 19:55",220.92,220.92,220.92,220.92,-0.06,-0.03%,235
"2025-08-08 19:47",220.98,220.98,220.98,220.98,0.0301,+0.01%,140
"2025-08-08 19:46",220.95,220.95,220.9499,220.9499,0.0099,0.00%,1000
"2025-08-08 19:44",220.91,220.94,220.91,220.94,0.0887,+0.04%,566
"2025-08-08 19:38",220.8513,220.8513,220.8513,220.8513,0.0013,0.00%,150
"2025-08-08 19:37",220.86,220.86,220.85,220.85,0.02,+0.01%,677
"2025-08-08 19:36",220.83,220.83,220.83,220.83,0.02,+0.01%,153
"2025-08-08 19:32",220.82,220.82,220.8,220.81,-0.01,0.00%,999
"2025-08-08 19:31",220.82,220.82,220.82,220.82,-0.06,-0.03%,977
"2025-08-08 19:29",220.88,220.88,220.88,220.88,0.01,0.00%,370
"2025-08-08 19:27",220.82,220.87,220.82,220.87,-0.04,-0.02%,1176
"2025-08-08 19:26",220.91,220.91,220.91,220.91,-0.04,-0.02%,100
"2025-08-08 19:20",220.95,220.95,220.95,220.95,-0.01,0.00%,100
"2025-08-08 19:19",220.96,220.96,220.96,220.96,-0.0099,0.00%,101
"2025-08-08 19:18",220.9699,220.9699,220.9699,220.9699,-0.0201,-0.01%,139
"2025-08-08 19:09",220.94,220.99,220.94,220.99,0,0.00%,649
"2025-08-08 19:00",220.99,220.99,220.99,220.99,0.0686,+0.03%,112
"2025-08-08 18:57",220.9222,220.9222,220.9214,220.9214,-0.0286,-0.01%,485
"2025-08-08 18:54",220.95,220.95,220.95,220.95,-0.09,-0.04%,547
"2025-08-08 18:48",221.04,221.04,221.04,221.04,0.09,+0.04%,162
"2025-08-08 18:46",220.95,220.95,220.95,220.95,0.01,0.00%,114
"2025-08-08 18:41",220.94,220.94,220.94,220.94,0,0.00%,198
"2025-08-08 18:39",220.94,220.94,220.94,220.94,0.01,0.00%,131
"2025-08-08 18:38",220.93,220.93,220.93,220.93,-0.02,-0.01%,228
