ID,Entry_Time,Trade_Type,Exit_Type,Exit_Time,Duration,Price_Change,Return_Pct,Entry_Last,Entry_Volume,Entry_ATR14_W,Entry_RSI14_W,Entry_EMA9,Entry_EMA20,Entry_EMA50,Entry_VWAP,Entry_RVOL20,Entry_RVOL_MOD,Entry_RVOL_MOD_EXCL,Entry_OBV,Entry_StochRSI_K,Entry_StochRSI_D,Exit_Last,Exit_Volume,Exit_ATR14_W,Exit_RSI14_W,Exit_EMA9,Exit_EMA20,Exit_EMA50,Exit_VWAP,Exit_RVOL20,Exit_RVOL_MOD,Exit_RVOL_MOD_EXCL,Exit_OBV,Exit_StochRSI_K,Exit_StochRSI_D,Entry_Hour,Entry_Minute,Entry_TimeValue,Time_0935_1430,Time_0930_1000,Time_1000_1400,Time_1400_1555,Entry_RVOL_GTE_0.5,Exit_RVOL_GTE_0.5,Entry_RVOL_GTE_0.8,Exit_RVOL_GTE_0.8,Entry_RVOL_GTE_1.0,Exit_RVOL_GTE_1.0,Entry_RVOL_GTE_1.2,Exit_RVOL_GTE_1.2,Entry_RVOL_GTE_1.5,Exit_RVOL_GTE_1.5,Entry_RVOL_GTE_2.0,Exit_RVOL_GTE_2.0,Entry_RVOL_GTE_3.0,Exit_RVOL_GTE_3.0,Entry_RVOL_GTE_5.0,Exit_RVOL_GTE_5.0,Entry_RSI_GT_20,Entry_RSI_LT_20,Exit_RSI_GT_20,Exit_RSI_LT_20,Entry_RSI_GT_30,Entry_RSI_LT_30,Exit_RSI_GT_30,Exit_RSI_LT_30,Entry_RSI_GT_40,Entry_RSI_LT_40,Exit_RSI_GT_40,Exit_RSI_LT_40,Entry_RSI_GT_45,Entry_RSI_LT_45,Exit_RSI_GT_45,Exit_RSI_LT_45,Entry_RSI_GT_50,Entry_RSI_LT_50,Exit_RSI_GT_50,Exit_RSI_LT_50,Entry_RSI_GT_55,Entry_RSI_LT_55,Exit_RSI_GT_55,Exit_RSI_LT_55,Entry_RSI_GT_60,Entry_RSI_LT_60,Exit_RSI_GT_60,Exit_RSI_LT_60,Entry_RSI_GT_70,Entry_RSI_LT_70,Exit_RSI_GT_70,Exit_RSI_LT_70,Entry_RSI_GT_80,Entry_RSI_LT_80,Exit_RSI_GT_80,Exit_RSI_LT_80,Entry_EMA9_GT_EMA20,Entry_EMA9_LT_EMA20,Entry_EMA20_GT_EMA50,Entry_EMA20_LT_EMA50,Exit_EMA9_GT_EMA20,Exit_EMA9_LT_EMA20,Exit_EMA20_GT_EMA50,Exit_EMA20_LT_EMA50,Entry_Price_GT_VWAP,Entry_Price_LT_VWAP,Exit_Price_GT_VWAP,Exit_Price_LT_VWAP,Entry_Price_GT_EMA9,Entry_Price_LT_EMA9,Exit_Price_GT_EMA9,Exit_Price_LT_EMA9,Entry_Price_GT_EMA20,Entry_Price_LT_EMA20,Exit_Price_GT_EMA20,Exit_Price_LT_EMA20,Entry_Price_GT_EMA50,Entry_Price_LT_EMA50,Exit_Price_GT_EMA50,Exit_Price_LT_EMA50,Entry_OBV_Percentile,Entry_OBV_Top_80pct,Entry_OBV_Bottom_20pct,Entry_OBV_Top_60pct,Entry_OBV_Bottom_40pct,Entry_OBV_Top_40pct,Entry_OBV_Bottom_60pct,Entry_OBV_Top_20pct,Entry_OBV_Bottom_80pct,CALL_Bias_Met,CALL_Momentum_Met,CALL_Full_Setup,PUT_Bias_Met,PUT_Momentum_Met,PUT_Full_Setup,Entry_ATR_GTE_0.05,Entry_ATR_GTE_0.08,Entry_ATR_GTE_0.1,Entry_ATR_GTE_0.15,Entry_ATR_GTE_0.2,Entry_StochRSI_GT_20,Entry_StochRSI_LT_20,Entry_StochRSI_GT_30,Entry_StochRSI_LT_30,Entry_StochRSI_GT_50,Entry_StochRSI_LT_50,Entry_StochRSI_GT_70,Entry_StochRSI_LT_70,Entry_StochRSI_GT_80,Entry_StochRSI_LT_80,Trade_Profitable,Return_GT_0.05pct,Return_GT_0.1pct,Return_GT_0.15pct,Return_GT_0.2pct,Return_GT_0.3pct,Return_GT_0.5pct,Duration_LTE_5min,Duration_LTE_10min,Duration_LTE_15min,Duration_LTE_20min,Duration_LTE_30min,Duration_LTE_45min,Duration_LTE_60min
1,2025-08-08 15:21:00,PUT,EXIT,2025-08-08 15:35:00,14.0,-0.32,0.14,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.6663160785906573,0.6654171352745789,-44660605.0,84.46806789115402,90.51630564951796,220.37,67455.0,0.0642674557693395,29.58378089851425,220.50047456447223,220.55733031835496,220.5834995395407,220.6744569642162,1.433247387359249,1.146162658130714,1.146841303366966,-45080079.0,3.5439222367597067,6.647534548667415,15,21,1521,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,26.15,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,2025-08-08 15:21:00,PUT,STOP_LOSS,2025-08-08 15:29:00,8.0,-0.11,0.05,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.6663160785906573,0.6654171352745789,-44660605.0,84.46806789115402,90.51630564951796,220.58,33834.0,0.0636084648146701,43.96132827305219,220.62983033932568,220.6340112330132,220.61463737723707,220.67885475026884,0.9362288522521626,0.7655133133650571,0.7647872711254345,-44792334.0,8.4821887665161,20.933928149175973,15,21,1521,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,26.15,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,2025-08-08 15:21:00,PUT,RUNNER,2025-08-08 15:50:00,29.0,-0.62,0.28,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.6663160785906573,0.6654171352745789,-44660605.0,84.46806789115402,90.51630564951796,220.07,238063.0,0.0827789304050815,21.990058521825475,220.1728663558736,220.2892812741733,220.43006853977388,220.6411421968056,2.5269129931748946,1.5139792927138105,1.5171362831338733,-46137430.0,11.611381163374586,10.951295628113591,15,21,1521,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,26.15,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1
2,2025-08-08 15:07:00,CALL,EXIT,2025-08-08 15:11:00,4.0,0.13,0.06,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.530217183826014,1.5335090577286887,-44901553.0,15.507233726715782,12.312072496218102,220.6201,38675.0,0.062902089734162,55.4153134995615,220.5451825516749,220.5634177407053,220.5730085175015,220.679252699137,1.0677728618659452,0.8716117857063991,0.8711589656903228,-44873641.0,68.57472431161125,45.70246751151061,15,7,1507,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,13.46,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
2,2025-08-08 15:07:00,CALL,STOP_LOSS,2025-08-08 15:12:00,5.0,0.11,0.05,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.530217183826014,1.5335090577286887,-44901553.0,15.507233726715782,12.312072496218102,220.6,24365.0,0.063051940467436,53.10246952790245,220.55614604134,220.56690176540005,220.57406700701125,220.67917458127,0.6831541449778428,0.5413093111343351,0.540305937439427,-44898006.0,75.22949910132573,55.54481137478232,15,7,1507,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,13.46,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
2,2025-08-08 15:07:00,CALL,RUNNER,2025-08-08 15:20:00,13.0,0.29,0.13,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.530217183826014,1.5335090577286887,-44901553.0,15.507233726715782,12.312072496218102,220.785,31672.0,0.061744399441562,69.0514199282073,220.6837824306311,220.6370653371501,220.60476539431468,220.6792814439163,0.7578919156919425,0.7044296981554703,0.7035877562708748,-44630574.0,98.18384155888708,93.54042452869992,15,7,1507,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,13.46,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
3,2025-08-08 14:50:00,PUT,EXIT,2025-08-08 15:02:00,12.0,-0.14,0.06,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.8812630323681178,0.880839598267436,-44826102.0,73.93478216305105,90.15569311542367,220.5401,23538.0,0.0632844773666443,40.98749868412631,220.61213603492715,220.62298492252216,220.59730305646585,220.6833520025267,0.8444867800039825,0.5677179367456244,0.5667260925165831,-44922030.0,7.612078811115196,11.799874321303337,14,50,1450,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,17.44,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
3,2025-08-08 14:50:00,PUT,STOP_LOSS,2025-08-08 15:47:00,57.0,-0.59,0.27,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.8812630323681178,0.880839598267436,-44826102.0,73.93478216305105,90.15569311542367,220.1,88638.0,0.0738235707926918,20.27109382365333,220.24653585131549,220.35626678526305,220.47225919361443,220.6519473357252,1.1116552737406276,1.251390251825063,1.2526651822526702,-45874255.0,3.5215952269759456,9.093134399021192,14,50,1450,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,17.44,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
3,2025-08-08 14:50:00,PUT,RUNNER,2025-08-08 15:03:00,13.0,-0.22,0.1,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.8812630323681178,0.880839598267436,-44826102.0,73.93478216305105,90.15569311542367,220.47,47212.0,0.0644855861261688,35.23510413268892,220.5837088279417,220.608414929901,220.5923107797417,220.68281905418047,1.6361270379245874,1.2059783424855322,1.2069848718106362,-44969242.0,5.074719207410131,9.5581559500056,14,50,1450,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,17.44,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
4,2025-08-08 14:27:00,CALL,EXIT,2025-08-08 14:37:00,10.0,0.17,0.08,220.42,37353.0,0.0708974126638384,42.40121277079388,220.4449134310722,220.4935134235636,220.529978312925,220.6875729560643,1.1834576365698644,1.0901529301891195,1.090550972155356,-44981991.0,23.24835651667082,24.9183310259112,220.585,36266.0,0.0689835177484778,57.20745716478698,220.50846457148415,220.49946283587707,220.51856970397844,220.68473215335237,1.214471452419583,0.9419773803132522,0.941756152948474,-44924261.0,88.4734864241932,78.65948890331993,14,27,1427,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,9.23,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
