ID,Time,Trade_Type,Exit_Time,Stop_Loss_Time,Runner_Time,Duration_Exit,Duration_StopLoss,Duration_Runner
1,2025-08-08 15:21:00,PUT,2025-08-08 15:35:00,2025-08-08 15:29:00,2025-08-08 15:50:00,14.0,8.0,29.0
2,2025-08-08 15:07:00,CALL,2025-08-08 15:11:00,2025-08-08 15:12:00,2025-08-08 15:20:00,4.0,5.0,13.0
3,2025-08-08 14:50:00,PUT,2025-08-08 15:02:00,2025-08-08 15:47:00,2025-08-08 15:03:00,12.0,57.0,13.0
4,2025-08-08 14:27:00,CALL,2025-08-08 14:37:00,2025-08-08 14:32:00,2025-08-08 14:49:00,10.0,5.0,22.0
5,2025-08-08 13:49:00,PUT,2025-08-08 14:14:00,2025-08-08 14:05:00,2025-08-08 14:26:00,25.0,16.0,37.0
6,2025-08-08 13:03:00,PUT,2025-08-08 13:23:00,2025-08-08 13:32:00,2025-08-08 13:48:00,20.0,29.0,45.0
7,2025-08-08 12:20:00,PUT,2025-08-08 12:33:00,2025-08-08 12:50:00,2025-08-08 13:02:00,13.0,30.0,42.0
8,2025-08-08 11:45:00,CALL,2025-08-08 11:56:00,2025-08-08 12:05:00,2025-08-08 12:16:00,11.0,20.0,31.0
9,2025-08-08 10:15:00,PUT,2025-08-08 11:01:00,2025-08-08 11:19:00,2025-08-08 11:40:00,46.0,64.0,85.0
10,2025-08-08 10:38:00,PUT,2025-08-08 11:01:00,2025-08-08 11:19:00,2025-08-08 11:40:00,23.0,41.0,62.0
11,2025-08-08 09:41:00,CALL,2025-08-08 09:53:00,2025-08-08 10:01:00,2025-08-08 10:09:00,12.0,20.0,28.0
12,2025-08-08 09:30:00,CALL,2025-08-08 09:36:00,2025-08-08 09:38:00,2025-08-08 09:40:00,6.0,8.0,10.0
