ID,Entry_Time,Trade_Type,Exit_Type,Exit_Time,Duration
1,2025-08-08 15:21:00,PUT,EXIT,2025-08-08 15:35:00,14.0
1,2025-08-08 15:21:00,PUT,STOP_LOSS,2025-08-08 15:29:00,8.0
1,2025-08-08 15:21:00,PUT,RUNNER,2025-08-08 15:50:00,29.0
2,2025-08-08 15:07:00,CALL,EXIT,2025-08-08 15:11:00,4.0
2,2025-08-08 15:07:00,CALL,STOP_LOSS,2025-08-08 15:12:00,5.0
2,2025-08-08 15:07:00,CALL,RUNNER,2025-08-08 15:20:00,13.0
3,2025-08-08 14:50:00,PUT,EXIT,2025-08-08 15:02:00,12.0
3,2025-08-08 14:50:00,PUT,STOP_LOSS,2025-08-08 15:47:00,57.0
3,2025-08-08 14:50:00,PUT,RUNNER,2025-08-08 15:03:00,13.0
4,2025-08-08 14:27:00,CALL,EXIT,2025-08-08 14:37:00,10.0
4,2025-08-08 14:27:00,CALL,STOP_LOSS,2025-08-08 14:32:00,5.0
4,2025-08-08 14:27:00,CALL,RUNNER,2025-08-08 14:49:00,22.0
5,2025-08-08 13:49:00,PUT,EXIT,2025-08-08 14:14:00,25.0
5,2025-08-08 13:49:00,PUT,STOP_LOSS,2025-08-08 14:05:00,16.0
5,2025-08-08 13:49:00,PUT,RUNNER,2025-08-08 14:26:00,37.0
6,2025-08-08 13:03:00,PUT,EXIT,2025-08-08 13:23:00,20.0
6,2025-08-08 13:03:00,PUT,STOP_LOSS,2025-08-08 13:32:00,29.0
6,2025-08-08 13:03:00,PUT,RUNNER,2025-08-08 13:48:00,45.0
7,2025-08-08 12:20:00,PUT,EXIT,2025-08-08 12:33:00,13.0
7,2025-08-08 12:20:00,PUT,STOP_LOSS,2025-08-08 12:50:00,30.0
7,2025-08-08 12:20:00,PUT,RUNNER,2025-08-08 13:02:00,42.0
8,2025-08-08 11:45:00,CALL,EXIT,2025-08-08 11:56:00,11.0
8,2025-08-08 11:45:00,CALL,STOP_LOSS,2025-08-08 12:05:00,20.0
8,2025-08-08 11:45:00,CALL,RUNNER,2025-08-08 12:16:00,31.0
9,2025-08-08 10:15:00,PUT,EXIT,2025-08-08 11:01:00,46.0
9,2025-08-08 10:15:00,PUT,STOP_LOSS,2025-08-08 11:19:00,64.0
9,2025-08-08 10:15:00,PUT,RUNNER,2025-08-08 11:40:00,85.0
10,2025-08-08 10:38:00,PUT,EXIT,2025-08-08 11:01:00,23.0
10,2025-08-08 10:38:00,PUT,STOP_LOSS,2025-08-08 11:19:00,41.0
10,2025-08-08 10:38:00,PUT,RUNNER,2025-08-08 11:40:00,62.0
11,2025-08-08 09:41:00,CALL,EXIT,2025-08-08 09:53:00,12.0
11,2025-08-08 09:41:00,CALL,STOP_LOSS,2025-08-08 10:01:00,20.0
11,2025-08-08 09:41:00,CALL,RUNNER,2025-08-08 10:09:00,28.0
12,2025-08-08 09:30:00,CALL,EXIT,2025-08-08 09:36:00,6.0
12,2025-08-08 09:30:00,CALL,STOP_LOSS,2025-08-08 09:38:00,8.0
12,2025-08-08 09:30:00,CALL,RUNNER,2025-08-08 09:40:00,10.0
