session_date,ticker,bar_count,first_bar_et,last_bar_et,session_high,session_low,range_pct
2026-05-04,IWM,391,09:30:00,16:00:00,280.79,276.1,1.699
2026-05-04,QQQ,391,09:30:00,16:00:00,676.73,668.9,1.171
2026-05-04,SPY,391,09:30:00,16:00:00,722.12,714.99,0.997
2026-05-05,IWM,391,09:30:00,16:00:00,282.945,280.0,1.052
2026-05-05,QQQ,391,09:30:00,16:00:00,682.7734,677.51,0.777
2026-05-05,SPY,391,09:30:00,16:00:00,725.04,721.4898,0.492
2026-05-06,IWM,391,09:30:00,16:00:00,287.045,283.36,1.300
2026-05-06,QQQ,391,09:30:00,16:00:00,695.93,686.48,1.377
2026-05-06,SPY,391,09:30:00,16:00:00,734.59,723.6195,1.516
2026-05-07,IWM,391,09:30:00,16:00:00,287.58,281.15,2.287
2026-05-07,QQQ,391,09:30:00,16:00:00,701.24,691.77,1.369
2026-05-07,SPY,391,09:30:00,16:00:00,736.13,729.75,0.874
