session_date,ticker,open,high,low,close
2026-05-04,IWM,278.7,278.98,278.235,278.35
2026-05-04,QQQ,674.66,675.1146,674.25,674.33
2026-05-04,SPY,720.07,720.24,719.66,719.72
2026-05-05,IWM,280.13,280.53,280.0,280.05
2026-05-05,QQQ,677.96,678.78,677.89,678.31
2026-05-05,SPY,721.77,722.13,721.64,721.81
2026-05-06,IWM,285.36,285.5,284.69,285.305
2026-05-06,QQQ,687.78,687.82,686.48,686.76
2026-05-06,SPY,728.16,728.4,727.82,728.08
2026-05-07,IWM,287.53,287.58,286.83,286.83
2026-05-07,QQQ,696.58,696.9,696.0507,696.23
2026-05-07,SPY,735.05,735.13,734.83,734.9
