as_of_et_date,ticker,level_name,price,timeframe,level_type,strat_class,is_current
2026-05-04,IWM,PYL,171.7300,year,low,3,False
2026-05-04,IWM,PML,238.6900,month,low,2D,False
2026-05-04,IWM,PQL,238.6900,quarter,low,2U,False
2026-05-04,IWM,CMO,249.9200,month,open,2U,True
2026-05-04,IWM,GAP_L_2026-04-08,253.4800,day,gap_low,gap_up,False
2026-05-04,IWM,PYH,258.2000,year,high,3,False
2026-05-04,IWM,GAP_H_2026-04-08,258.4100,day,gap_high,gap_up,False
2026-05-04,IWM,PMH,264.2800,month,high,2D,False
2026-05-04,IWM,GAP_L_2026-04-24,265.3600,day,gap_low,gap_up,False
2026-05-04,IWM,PQH,271.6000,quarter,high,2U,False
2026-05-04,IWM,GAP_H_2026-04-24,274.2300,day,gap_high,gap_up,False
2026-05-04,IWM,PDL,274.2300,day,low,Failed_2U,False
2026-05-04,IWM,PWL,274.2300,week,low,Failed_2U,False
2026-05-04,IWM,CDO,276.8200,day,open,2U,True
2026-05-04,IWM,CWO,276.8200,week,open,2U,True
2026-05-04,IWM,PDH,278.1300,day,high,Failed_2U,False
2026-05-04,IWM,PWH,278.1300,week,high,Failed_2U,False
2026-05-04,QQQ,PYL,402.3900,year,low,2U,False
2026-05-04,QQQ,PQL,555.6000,quarter,low,2D,False
2026-05-04,QQQ,PML,555.6000,month,low,2D,False
2026-05-04,QQQ,CMO,581.4800,month,open,2U,True
2026-05-04,QQQ,GAP_L_2026-04-08,588.9800,day,gap_low,gap_up,False
2026-05-04,QQQ,GAP_H_2026-04-08,602.1200,day,gap_high,gap_up,False
2026-05-04,QQQ,PMH,613.2900,month,high,2D,False
2026-05-04,QQQ,GAP_L_2026-04-24,626.7400,day,gap_low,gap_up,False
2026-05-04,QQQ,PQH,636.6000,quarter,high,2D,False
2026-05-04,QQQ,PYH,637.0100,year,high,2U,False
2026-05-04,QQQ,GAP_H_2026-04-24,656.5301,day,gap_high,gap_up,False
2026-05-04,QQQ,PDL,656.5301,day,low,2U,False
2026-05-04,QQQ,PWL,656.5301,week,low,2U,False
2026-05-04,QQQ,CWO,663.4000,week,open,1,True
2026-05-04,QQQ,CDO,663.4000,day,open,1,True
2026-05-04,QQQ,PDH,664.5100,day,high,2U,False
2026-05-04,QQQ,PWH,664.5100,week,high,2U,False
2026-05-04,SPY,PYL,481.8000,year,low,2U,False
2026-05-04,SPY,PML,629.2800,month,low,2D,False
2026-05-04,SPY,PQL,629.2800,quarter,low,3,False
2026-05-04,SPY,CMO,653.9000,month,open,2U,True
2026-05-04,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up,False
2026-05-04,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up,False
2026-05-04,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up,False
2026-05-04,SPY,PMH,688.6200,month,high,2D,False
2026-05-04,SPY,PYH,691.6600,year,high,2U,False
2026-05-04,SPY,PQH,697.8400,quarter,high,3,False
2026-05-04,SPY,PDL,709.0100,day,low,2U,False
2026-05-04,SPY,PWL,709.0100,week,low,2U,False
2026-05-04,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up,False
2026-05-04,SPY,CDO,713.1700,day,open,2U,True
2026-05-04,SPY,CWO,713.1700,week,open,2U,True
2026-05-04,SPY,PDH,714.4700,day,high,2U,False
2026-05-04,SPY,PWH,714.4700,week,high,2U,False
2026-05-05,IWM,PYL,171.7300,year,low,3,False
2026-05-05,IWM,PML,238.6900,month,low,2D,False
2026-05-05,IWM,PQL,238.6900,quarter,low,2U,False
2026-05-05,IWM,CMO,249.9200,month,open,2U,True
2026-05-05,IWM,GAP_L_2026-04-08,253.4800,day,gap_low,gap_up,False
2026-05-05,IWM,PYH,258.2000,year,high,3,False
2026-05-05,IWM,GAP_H_2026-04-08,258.4100,day,gap_high,gap_up,False
2026-05-05,IWM,PMH,264.2800,month,high,2D,False
2026-05-05,IWM,GAP_L_2026-04-24,265.3600,day,gap_low,gap_up,False
2026-05-05,IWM,PQH,271.6000,quarter,high,2U,False
2026-05-05,IWM,PDL,274.2300,day,low,Failed_2U,False
2026-05-05,IWM,PWL,274.2300,week,low,Failed_2U,False
2026-05-05,IWM,GAP_H_2026-04-24,274.2300,day,gap_high,gap_up,False
2026-05-05,IWM,CDO,276.8200,day,open,2U,True
2026-05-05,IWM,CWO,276.8200,week,open,2U,True
2026-05-05,IWM,PWH,278.1300,week,high,Failed_2U,False
2026-05-05,IWM,PDH,278.1300,day,high,Failed_2U,False
2026-05-05,QQQ,PYL,402.3900,year,low,2U,False
2026-05-05,QQQ,PQL,555.6000,quarter,low,2D,False
2026-05-05,QQQ,PML,555.6000,month,low,2D,False
2026-05-05,QQQ,CMO,581.4800,month,open,2U,True
2026-05-05,QQQ,GAP_L_2026-04-08,588.9800,day,gap_low,gap_up,False
2026-05-05,QQQ,GAP_H_2026-04-08,602.1200,day,gap_high,gap_up,False
2026-05-05,QQQ,PMH,613.2900,month,high,2D,False
2026-05-05,QQQ,GAP_L_2026-04-24,626.7400,day,gap_low,gap_up,False
2026-05-05,QQQ,PQH,636.6000,quarter,high,2D,False
2026-05-05,QQQ,PYH,637.0100,year,high,2U,False
2026-05-05,QQQ,PDL,656.5301,day,low,2U,False
2026-05-05,QQQ,GAP_H_2026-04-24,656.5301,day,gap_high,gap_up,False
2026-05-05,QQQ,PWL,656.5301,week,low,2U,False
2026-05-05,QQQ,CDO,663.4000,day,open,1,True
2026-05-05,QQQ,CWO,663.4000,week,open,1,True
2026-05-05,QQQ,PDH,664.5100,day,high,2U,False
2026-05-05,QQQ,PWH,664.5100,week,high,2U,False
2026-05-05,SPY,PYL,481.8000,year,low,2U,False
2026-05-05,SPY,PQL,629.2800,quarter,low,3,False
2026-05-05,SPY,PML,629.2800,month,low,2D,False
2026-05-05,SPY,CMO,653.9000,month,open,2U,True
2026-05-05,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up,False
2026-05-05,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up,False
2026-05-05,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up,False
2026-05-05,SPY,PMH,688.6200,month,high,2D,False
2026-05-05,SPY,PYH,691.6600,year,high,2U,False
2026-05-05,SPY,PQH,697.8400,quarter,high,3,False
2026-05-05,SPY,PWL,709.0100,week,low,2U,False
2026-05-05,SPY,PDL,709.0100,day,low,2U,False
2026-05-05,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up,False
2026-05-05,SPY,CDO,713.1700,day,open,2U,True
2026-05-05,SPY,CWO,713.1700,week,open,2U,True
2026-05-05,SPY,PWH,714.4700,week,high,2U,False
2026-05-05,SPY,PDH,714.4700,day,high,2U,False
2026-05-06,IWM,PYL,171.7300,year,low,3,False
2026-05-06,IWM,PML,238.6900,month,low,2D,False
2026-05-06,IWM,PQL,238.6900,quarter,low,2U,False
2026-05-06,IWM,CMO,249.9200,month,open,2U,True
2026-05-06,IWM,GAP_L_2026-04-08,253.4800,day,gap_low,gap_up,False
2026-05-06,IWM,PYH,258.2000,year,high,3,False
2026-05-06,IWM,GAP_H_2026-04-08,258.4100,day,gap_high,gap_up,False
2026-05-06,IWM,PMH,264.2800,month,high,2D,False
2026-05-06,IWM,GAP_L_2026-04-24,265.3600,day,gap_low,gap_up,False
2026-05-06,IWM,PQH,271.6000,quarter,high,2U,False
2026-05-06,IWM,PWL,274.2300,week,low,Failed_2U,False
2026-05-06,IWM,GAP_H_2026-04-24,274.2300,day,gap_high,gap_up,False
2026-05-06,IWM,PDL,274.2300,day,low,Failed_2U,False
2026-05-06,IWM,CWO,276.8200,week,open,2U,True
2026-05-06,IWM,CDO,276.8200,day,open,2U,True
2026-05-06,IWM,PWH,278.1300,week,high,Failed_2U,False
2026-05-06,IWM,PDH,278.1300,day,high,Failed_2U,False
2026-05-06,QQQ,PYL,402.3900,year,low,2U,False
2026-05-06,QQQ,PML,555.6000,month,low,2D,False
2026-05-06,QQQ,PQL,555.6000,quarter,low,2D,False
2026-05-06,QQQ,CMO,581.4800,month,open,2U,True
2026-05-06,QQQ,GAP_L_2026-04-08,588.9800,day,gap_low,gap_up,False
2026-05-06,QQQ,GAP_H_2026-04-08,602.1200,day,gap_high,gap_up,False
2026-05-06,QQQ,PMH,613.2900,month,high,2D,False
2026-05-06,QQQ,GAP_L_2026-04-24,626.7400,day,gap_low,gap_up,False
2026-05-06,QQQ,PQH,636.6000,quarter,high,2D,False
2026-05-06,QQQ,PYH,637.0100,year,high,2U,False
2026-05-06,QQQ,GAP_H_2026-04-24,656.5301,day,gap_high,gap_up,False
2026-05-06,QQQ,PDL,656.5301,day,low,2U,False
2026-05-06,QQQ,PWL,656.5301,week,low,2U,False
2026-05-06,QQQ,CWO,663.4000,week,open,1,True
2026-05-06,QQQ,CDO,663.4000,day,open,1,True
2026-05-06,QQQ,PWH,664.5100,week,high,2U,False
2026-05-06,QQQ,PDH,664.5100,day,high,2U,False
2026-05-06,SPY,PYL,481.8000,year,low,2U,False
2026-05-06,SPY,PQL,629.2800,quarter,low,3,False
2026-05-06,SPY,PML,629.2800,month,low,2D,False
2026-05-06,SPY,CMO,653.9000,month,open,2U,True
2026-05-06,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up,False
2026-05-06,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up,False
2026-05-06,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up,False
2026-05-06,SPY,PMH,688.6200,month,high,2D,False
2026-05-06,SPY,PYH,691.6600,year,high,2U,False
2026-05-06,SPY,PQH,697.8400,quarter,high,3,False
2026-05-06,SPY,PDL,709.0100,day,low,2U,False
2026-05-06,SPY,PWL,709.0100,week,low,2U,False
2026-05-06,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up,False
2026-05-06,SPY,CWO,713.1700,week,open,2U,True
2026-05-06,SPY,CDO,713.1700,day,open,2U,True
2026-05-06,SPY,PWH,714.4700,week,high,2U,False
2026-05-06,SPY,PDH,714.4700,day,high,2U,False
2026-05-07,IWM,PYL,171.7300,year,low,3,False
2026-05-07,IWM,PQL,238.6900,quarter,low,2U,False
2026-05-07,IWM,PML,238.6900,month,low,2D,False
2026-05-07,IWM,CMO,249.9200,month,open,2U,True
2026-05-07,IWM,GAP_L_2026-04-08,253.4800,day,gap_low,gap_up,False
2026-05-07,IWM,PYH,258.2000,year,high,3,False
2026-05-07,IWM,GAP_H_2026-04-08,258.4100,day,gap_high,gap_up,False
2026-05-07,IWM,PMH,264.2800,month,high,2D,False
2026-05-07,IWM,GAP_L_2026-04-24,265.3600,day,gap_low,gap_up,False
2026-05-07,IWM,PQH,271.6000,quarter,high,2U,False
2026-05-07,IWM,GAP_H_2026-04-24,274.2300,day,gap_high,gap_up,False
2026-05-07,IWM,PWL,274.2300,week,low,Failed_2U,False
2026-05-07,IWM,PDL,274.2300,day,low,Failed_2U,False
2026-05-07,IWM,CDO,276.8200,day,open,2U,True
2026-05-07,IWM,CWO,276.8200,week,open,2U,True
2026-05-07,IWM,PDH,278.1300,day,high,Failed_2U,False
2026-05-07,IWM,PWH,278.1300,week,high,Failed_2U,False
2026-05-07,QQQ,PYL,402.3900,year,low,2U,False
2026-05-07,QQQ,PML,555.6000,month,low,2D,False
2026-05-07,QQQ,PQL,555.6000,quarter,low,2D,False
2026-05-07,QQQ,CMO,581.4800,month,open,2U,True
2026-05-07,QQQ,GAP_L_2026-04-08,588.9800,day,gap_low,gap_up,False
2026-05-07,QQQ,GAP_H_2026-04-08,602.1200,day,gap_high,gap_up,False
2026-05-07,QQQ,PMH,613.2900,month,high,2D,False
2026-05-07,QQQ,GAP_L_2026-04-24,626.7400,day,gap_low,gap_up,False
2026-05-07,QQQ,PQH,636.6000,quarter,high,2D,False
2026-05-07,QQQ,PYH,637.0100,year,high,2U,False
2026-05-07,QQQ,PDL,656.5301,day,low,2U,False
2026-05-07,QQQ,GAP_H_2026-04-24,656.5301,day,gap_high,gap_up,False
2026-05-07,QQQ,PWL,656.5301,week,low,2U,False
2026-05-07,QQQ,CWO,663.4000,week,open,1,True
2026-05-07,QQQ,CDO,663.4000,day,open,1,True
2026-05-07,QQQ,PWH,664.5100,week,high,2U,False
2026-05-07,QQQ,PDH,664.5100,day,high,2U,False
2026-05-07,SPY,PYL,481.8000,year,low,2U,False
2026-05-07,SPY,PML,629.2800,month,low,2D,False
2026-05-07,SPY,PQL,629.2800,quarter,low,3,False
2026-05-07,SPY,CMO,653.9000,month,open,2U,True
2026-05-07,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up,False
2026-05-07,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up,False
2026-05-07,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up,False
2026-05-07,SPY,PMH,688.6200,month,high,2D,False
2026-05-07,SPY,PYH,691.6600,year,high,2U,False
2026-05-07,SPY,PQH,697.8400,quarter,high,3,False
2026-05-07,SPY,PDL,709.0100,day,low,2U,False
2026-05-07,SPY,PWL,709.0100,week,low,2U,False
2026-05-07,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up,False
2026-05-07,SPY,CDO,713.1700,day,open,2U,True
2026-05-07,SPY,CWO,713.1700,week,open,2U,True
2026-05-07,SPY,PDH,714.4700,day,high,2U,False
2026-05-07,SPY,PWH,714.4700,week,high,2U,False
