alert_date,ticker,direction,brief_bias,brief_alignment,n
2026-05-04,IWM,CALL,,,11
2026-05-04,IWM,PUT,,,20
2026-05-04,QQQ,CALL,,,9
2026-05-04,QQQ,PUT,,,11
2026-05-04,SPY,CALL,,,11
2026-05-04,SPY,PUT,,,17
2026-05-05,IWM,CALL,,,7
2026-05-05,IWM,PUT,,,39
2026-05-05,QQQ,CALL,,,8
2026-05-05,QQQ,PUT,,,42
2026-05-05,SPY,CALL,,,15
2026-05-05,SPY,PUT,,,44
2026-05-06,IWM,CALL,,,11
2026-05-06,IWM,PUT,,,23
2026-05-06,QQQ,CALL,,,17
2026-05-06,QQQ,PUT,,,57
2026-05-06,SPY,CALL,,,8
2026-05-06,SPY,PUT,,,46
2026-05-07,IWM,CALL,CONFLICTED,,86
2026-05-07,IWM,PUT,CONFLICTED,,25
2026-05-07,QQQ,CALL,PUT,opposed,79
2026-05-07,QQQ,PUT,PUT,aligned,59
2026-05-07,SPY,CALL,CONFLICTED,,82
2026-05-07,SPY,PUT,CONFLICTED,,55
