session_date,ticker,last_bar_et,open,high,low,close
2026-05-04,IWM,2026-05-04 16:00:00,277.88,277.9,277.7352,277.74
2026-05-04,QQQ,2026-05-04 16:00:00,672.83,672.88,672.4397,672.44
2026-05-04,SPY,2026-05-04 16:00:00,718.07,720.7023,717.7,717.73
2026-05-05,IWM,2026-05-05 16:00:00,282.56,282.66,282.5335,282.61
2026-05-05,QQQ,2026-05-05 16:00:00,681.51,681.63,681.375,681.49
2026-05-05,SPY,2026-05-05 16:00:00,723.71,723.85,723.61,723.75
2026-05-06,IWM,2026-05-06 16:00:00,286.8,286.91,286.58,286.59
2026-05-06,QQQ,2026-05-06 16:00:00,695.54,695.89,694.63,695.44
2026-05-06,SPY,2026-05-06 16:00:00,733.76,734.36,723.6195,733.65
2026-05-07,IWM,2026-05-07 16:00:00,282.28,282.31,282.04,282.09
2026-05-07,QQQ,2026-05-07 16:00:00,694.89,694.94,693.93,694.38
2026-05-07,SPY,2026-05-07 16:00:00,731.56,731.6,730.4,730.9008
