session_date,ticker,first_bar_et,open
2026-05-04,IWM,2026-05-04 09:30:00,278.7
2026-05-04,QQQ,2026-05-04 09:30:00,674.66
2026-05-04,SPY,2026-05-04 09:30:00,720.07
2026-05-05,IWM,2026-05-05 09:30:00,280.13
2026-05-05,QQQ,2026-05-05 09:30:00,677.96
2026-05-05,SPY,2026-05-05 09:30:00,721.77
2026-05-06,IWM,2026-05-06 09:30:00,285.36
2026-05-06,QQQ,2026-05-06 09:30:00,687.78
2026-05-06,SPY,2026-05-06 09:30:00,728.16
2026-05-07,IWM,2026-05-07 09:30:00,287.53
2026-05-07,QQQ,2026-05-07 09:30:00,696.58
2026-05-07,SPY,2026-05-07 09:30:00,735.05
