as_of_et_date,ticker,levels_count,as_of_et,level_names
2026-05-04,IWM,17,2026-05-04 08:30:26.904369,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-04,QQQ,17,2026-05-04 08:30:27.384181,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-04,SPY,17,2026-05-04 08:30:27.777659,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-05,IWM,17,2026-05-05 08:30:25.383884,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-05,QQQ,17,2026-05-05 08:30:25.798811,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-05,SPY,17,2026-05-05 08:30:26.186994,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-06,IWM,17,2026-05-06 08:30:24.305512,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-06,QQQ,17,2026-05-06 08:30:24.789494,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-06,SPY,17,2026-05-06 08:30:25.190492,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-07,IWM,17,2026-05-07 08:30:28.675471,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-07,QQQ,17,2026-05-07 08:30:29.088192,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
2026-05-07,SPY,17,2026-05-07 08:30:29.465693,"['CDO', 'CMO', 'CWO', 'GAP_H_2026-04-08', 'GAP_H_2026-04-24', 'GAP_L_2026-04-08', 'GAP_L_2026-04-24', 'PDH', 'PDL', 'PMH', 'PML', 'PQH', 'PQL', 'PWH', 'PWL', 'PYH', 'PYL']"
