as_of_et_date,ticker,level_name,price,timeframe,level_type,strat_class
2026-05-04,SPY,CDO,713.1700,day,open,2U
2026-05-04,SPY,CMO,653.9000,month,open,2U
2026-05-04,SPY,CWO,713.1700,week,open,2U
2026-05-04,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up
2026-05-04,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up
2026-05-04,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up
2026-05-04,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up
2026-05-04,SPY,PDH,714.4700,day,high,2U
2026-05-04,SPY,PDL,709.0100,day,low,2U
2026-05-04,SPY,PMH,688.6200,month,high,2D
2026-05-04,SPY,PML,629.2800,month,low,2D
2026-05-04,SPY,PQH,697.8400,quarter,high,3
2026-05-04,SPY,PQL,629.2800,quarter,low,3
2026-05-04,SPY,PWH,714.4700,week,high,2U
2026-05-04,SPY,PWL,709.0100,week,low,2U
2026-05-04,SPY,PYH,691.6600,year,high,2U
2026-05-04,SPY,PYL,481.8000,year,low,2U
2026-05-05,SPY,CDO,713.1700,day,open,2U
2026-05-05,SPY,CMO,653.9000,month,open,2U
2026-05-05,SPY,CWO,713.1700,week,open,2U
2026-05-05,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up
2026-05-05,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up
2026-05-05,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up
2026-05-05,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up
2026-05-05,SPY,PDH,714.4700,day,high,2U
2026-05-05,SPY,PDL,709.0100,day,low,2U
2026-05-05,SPY,PMH,688.6200,month,high,2D
2026-05-05,SPY,PML,629.2800,month,low,2D
2026-05-05,SPY,PQH,697.8400,quarter,high,3
2026-05-05,SPY,PQL,629.2800,quarter,low,3
2026-05-05,SPY,PWH,714.4700,week,high,2U
2026-05-05,SPY,PWL,709.0100,week,low,2U
2026-05-05,SPY,PYH,691.6600,year,high,2U
2026-05-05,SPY,PYL,481.8000,year,low,2U
2026-05-06,SPY,CDO,713.1700,day,open,2U
2026-05-06,SPY,CMO,653.9000,month,open,2U
2026-05-06,SPY,CWO,713.1700,week,open,2U
2026-05-06,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up
2026-05-06,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up
2026-05-06,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up
2026-05-06,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up
2026-05-06,SPY,PDH,714.4700,day,high,2U
2026-05-06,SPY,PDL,709.0100,day,low,2U
2026-05-06,SPY,PMH,688.6200,month,high,2D
2026-05-06,SPY,PML,629.2800,month,low,2D
2026-05-06,SPY,PQH,697.8400,quarter,high,3
2026-05-06,SPY,PQL,629.2800,quarter,low,3
2026-05-06,SPY,PWH,714.4700,week,high,2U
2026-05-06,SPY,PWL,709.0100,week,low,2U
2026-05-06,SPY,PYH,691.6600,year,high,2U
2026-05-06,SPY,PYL,481.8000,year,low,2U
2026-05-07,SPY,CDO,713.1700,day,open,2U
2026-05-07,SPY,CMO,653.9000,month,open,2U
2026-05-07,SPY,CWO,713.1700,week,open,2U
2026-05-07,SPY,GAP_H_2026-04-08,671.4600,day,gap_high,gap_up
2026-05-07,SPY,GAP_H_2026-04-24,709.0100,day,gap_high,gap_up
2026-05-07,SPY,GAP_L_2026-04-08,659.6100,day,gap_low,gap_up
2026-05-07,SPY,GAP_L_2026-04-24,686.3000,day,gap_low,gap_up
2026-05-07,SPY,PDH,714.4700,day,high,2U
2026-05-07,SPY,PDL,709.0100,day,low,2U
2026-05-07,SPY,PMH,688.6200,month,high,2D
2026-05-07,SPY,PML,629.2800,month,low,2D
2026-05-07,SPY,PQH,697.8400,quarter,high,3
2026-05-07,SPY,PQL,629.2800,quarter,low,3
2026-05-07,SPY,PWH,714.4700,week,high,2U
2026-05-07,SPY,PWL,709.0100,week,low,2U
2026-05-07,SPY,PYH,691.6600,year,high,2U
2026-05-07,SPY,PYL,481.8000,year,low,2U
