fold,cell,n,hit_rate,gross_exp,net_exp,total_net,max_dd,sharpe
2019-01-01..2020-01-01,5m,8023,0.3833977315218746,-0.0049265237442336456,-0.049926523744233633,-400.56049999998646,-403.54299999996783,-0.22427257142114324
2020-01-01..2021-01-01,5m,9147,0.40789329834918553,0.00037167377282310194,-0.04462832622717689,-408.21529999998705,-409.64324999997115,-0.10132100985976465
2021-01-01..2022-01-01,5m,7681,0.406327301132665,-0.013571501106625238,-0.058571501106625234,-449.8876999999884,-453.618899999968,-0.12171626678085143
2022-01-01..2023-01-01,5m,8290,0.42279855247285886,-0.0023935404101311625,-0.04739354041013117,-392.8924499999874,-420.4198999999649,-0.09231541379718941
2023-01-01..2024-01-01,5m,8476,0.3971212836243511,-0.006654636621046023,-0.051654636621046024,-437.8246999999861,-442.74459999996844,-0.1540822208765718
2024-01-01..2025-01-01,5m,8659,0.4018939831389306,-0.009646650883472095,-0.05464665088347209,-473.18534999998485,-474.93304999996866,-0.14057057788952784
2025-01-01..2026-01-01,5m,8183,0.40816326530612246,-0.010300739337649365,-0.05530073933764936,-452.52594999998473,-453.30909999996993,-0.11468301710858265
2026-01-01..2026-05-23,5m,3679,0.41234030986681164,-0.018521704267462698,-0.06352170426746269,-233.69634999999525,-233.25634999998104,-0.11891381286857983
2019-01-01..2020-01-01,15m,2475,0.381010101010101,-0.015890848484845226,-0.06089084848484523,-150.70484999999195,-153.62634999999133,-0.24104124914595007
2020-01-01..2021-01-01,15m,2536,0.4503154574132492,0.0009312105678269222,-0.044068789432173086,-111.75844999999094,-112.3065999999943,-0.0824373959164548
2021-01-01..2022-01-01,15m,2487,0.4221954161640531,-0.01496328910333392,-0.05996328910333392,-149.12869999999145,-160.59899999999004,-0.10693814370379943
2022-01-01..2023-01-01,15m,2547,0.46878680800942285,0.017237043580686215,-0.02776295641931379,-70.71224999999222,-106.136249999995,-0.047010729316506
2023-01-01..2024-01-01,15m,2665,0.4333958724202627,0.0014785741088214068,-0.0435214258911786,-115.98459999999096,-120.02804999999502,-0.1112649537587067
2024-01-01..2025-01-01,15m,2530,0.4197628458498024,-0.023469209486162237,-0.06846920948616224,-173.22709999999046,-180.86379999998604,-0.15729066669501285
2025-01-01..2026-01-01,15m,2385,0.44234800838574423,-0.024287253668759605,-0.06928725366875961,-165.25009999999168,-167.1192999999835,-0.11804426118916087
2026-01-01..2026-05-23,15m,917,0.4296619411123228,-0.032357906215917366,-0.07735790621591734,-70.93719999999621,-71.57699999999733,-0.13080039310917818
2019-01-01..2020-01-01,30m,996,0.3785140562248996,-0.03256551204818896,-0.07756551204818894,-77.25524999999618,-76.7178499999977,-0.24328717545492298
2020-01-01..2021-01-01,30m,1071,0.4444444444444444,-0.00025331465919358555,-0.04525331465919358,-48.46629999999632,-53.43274999999801,-0.06436825266742655
2021-01-01..2022-01-01,30m,921,0.4245385450597177,-0.028687622149833125,-0.0736876221498331,-67.86629999999629,-72.85104999999797,-0.10215103499849928
2022-01-01..2023-01-01,30m,1003,0.47258225324027914,0.012425124626125009,-0.032574875373874976,-32.6725999999966,-53.782399999997615,-0.03962567951022628
2023-01-01..2024-01-01,30m,958,0.44258872651356995,-0.0057007828809982715,-0.05070078288099827,-48.57134999999634,-60.57969999999748,-0.10292581695729491
2024-01-01..2025-01-01,30m,1131,0.4182139699381079,-0.04373961096374551,-0.08873961096374551,-100.36449999999617,-102.33614999999786,-0.14269302485623808
2025-01-01..2026-01-01,30m,975,0.4430769230769231,-0.012405897435894151,-0.057405897435894124,-55.97074999999677,-64.33504999999847,-0.0778681106083555
2026-01-01..2026-05-23,30m,401,0.4488778054862843,-0.00733541147131905,-0.05233541147131903,-20.98649999999893,-26.368849999999473,-0.06661369211261099
