fold,cell,n,hit_rate,gross_exp,net_exp,total_net,max_dd,sharpe,avg_win,avg_loss,voided
2022-01-01..2023-01-01,5m,3422,0.38223261250730567,2.243352195686866,0.8633521956868669,2954.391213640459,-1066.0866695276857,0.02831357643297484,30.68273370092185,-17.586861148138755,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 93, 'bsm_void': 7089}"
2023-01-01..2024-01-01,5m,3558,0.37296233839235526,1.639074173252329,0.2590741732523297,921.7859084317889,-3720.7471283892323,0.012553756112849186,20.719153307413873,-11.910591900720043,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 42, 'bsm_void': 7368}"
2024-01-01..2025-01-01,5m,5835,0.36966580976863755,0.7188007493209121,-0.6611992506790877,-3858.0976277124764,-6150.1754782798,-0.029403407792462765,22.11646138207412,-14.01938684851722,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 86, 'bsm_void': 5383}"
2025-01-01..2026-01-01,5m,6477,0.38490041685965726,1.4351348952870968,0.05513489528709724,357.10871677452883,-4968.280441817541,0.0020831932400767967,25.047746931173954,-15.584067365121017,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 79, 'bsm_void': 4036}"
2026-01-01..2026-12-31,5m,2823,0.3875309953949699,1.874404940803122,0.4944049408031232,1395.7051478872168,-2987.4384434016574,0.01614707048296419,31.69629445290948,-19.248144004393147,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 185, 'bsm_void': 1698}"
2022-01-01..2023-01-01,15m,1056,0.3787878787878788,2.544483058520319,1.1644830585203199,1229.6941097974577,-1499.535441447786,0.03261327389908469,33.45984182245238,-18.527808870706547,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 29, 'bsm_void': 2102}"
2023-01-01..2024-01-01,15m,1119,0.38248436103663985,1.777145908714422,0.3971459087144222,444.4062718514384,-1610.512262599781,0.016481352258486293,21.778752323753622,-12.846454012612316,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 14, 'bsm_void': 2329}"
2024-01-01..2025-01-01,15m,1729,0.3597455176402545,0.1687460358991312,-1.2112539641008688,-2094.2581039304023,-3273.194524625697,-0.04592303232797846,23.995986993029984,-15.37467209900185,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 24, 'bsm_void': 1506}"
2025-01-01..2026-01-01,15m,1890,0.38571428571428573,1.548944389366996,0.168944389366997,319.3048959036243,-2763.5533267108567,0.005550765921371426,28.578207438399875,-17.669430083281554,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 29, 'bsm_void': 1288}"
2026-01-01..2026-12-31,15m,688,0.3793604651162791,1.6142784306606188,0.2342784306606194,161.18356029450615,-1088.415300689556,0.006793785022702643,32.38354997584594,-19.416681459956173,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 48, 'bsm_void': 465}"
2022-01-01..2023-01-01,30m,405,0.4024691358024691,8.182472011903842,6.802472011903845,2755.001164821057,-566.9869066362667,0.12860545802910578,53.04517909145113,-24.344475318535032,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 13, 'bsm_void': 894}"
2023-01-01..2024-01-01,30m,397,0.34760705289672544,1.2970415139329896,-0.0829584860670104,-32.93451896860313,-1117.1245273472987,-0.0026337097640640452,31.747515680018626,-17.04282503015897,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 6, 'bsm_void': 811}"
2024-01-01..2025-01-01,30m,731,0.3173734610123119,0.3733416511650827,-1.0066583488349168,-735.8672529983241,-2383.5072408047217,-0.024647245000697184,38.71371993838312,-19.47384825391424,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 11, 'bsm_void': 750}"
2025-01-01..2026-01-01,30m,774,0.36175710594315247,2.6685271462664364,1.2885271462664367,997.3200112102221,-1725.9912732847822,0.030463993330991933,42.129518762393865,-21.860213041012273,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 11, 'bsm_void': 535}"
2026-01-01..2026-12-31,30m,320,0.39375,7.657657981768699,6.277657981768699,2008.8505541659836,-606.1376719549967,0.12766829886698625,51.97952212727694,-23.40499605088097,"{'no_iv_snapshot': 0, 'no_underlying_trigger': 0, 'no_rate': 17, 'bsm_void': 207}"
