ticker,kind,dir,horizon,n,hit,base,lift_pp,mean_bps
SPY,gamma_gate_break,CALL,5m,404,48.3,50.5,-2.3,-0.4
SPY,gamma_gate_break,CALL,15m,396,53.0,51.7,1.4,0.3
SPY,gamma_gate_break,CALL,30m,381,57.5,52.4,5.0,1.2
SPY,gamma_gate_break,CALL,60m,369,56.9,53.3,3.6,1.1
SPY,gamma_gate_break,CALL,240m,279,57.0,54.6,2.4,0.2
SPY,gamma_gate_break,CALL,1d,407,86.0,55.2,30.8,269.7
SPY,gamma_gate_break,CALL,5d,403,82.6,61.5,21.2,306.2
SPY,gamma_gate_break,PUT,5m,436,49.1,49.5,-0.4,-0.2
SPY,gamma_gate_break,PUT,15m,430,45.3,48.3,-3.0,-3.2
SPY,gamma_gate_break,PUT,30m,419,43.0,47.6,-4.6,-5.5
SPY,gamma_gate_break,PUT,60m,404,44.8,46.7,-1.9,-4.9
SPY,gamma_gate_break,PUT,240m,308,46.8,45.4,1.4,-3.6
SPY,gamma_gate_break,PUT,1d,444,14.2,44.8,-30.6,-243.5
SPY,gamma_gate_break,PUT,5d,436,22.7,38.5,-15.8,-258.5
SPY,gamma_king_approach,CALL,5m,599,49.7,50.5,-0.8,0.9
SPY,gamma_king_approach,CALL,15m,593,48.1,51.7,-3.6,-1.1
SPY,gamma_king_approach,CALL,30m,591,50.3,52.4,-2.2,-3.4
SPY,gamma_king_approach,CALL,60m,578,49.8,53.3,-3.5,-1.5
SPY,gamma_king_approach,CALL,240m,502,57.0,54.6,2.3,5.4
SPY,gamma_king_approach,CALL,1d,608,82.9,55.2,27.7,206.2
SPY,gamma_king_approach,CALL,5d,598,74.7,61.5,13.3,228.1
SPY,gamma_king_approach,PUT,5m,372,50.8,49.5,1.3,0.4
SPY,gamma_king_approach,PUT,15m,371,52.8,48.3,4.5,0.1
SPY,gamma_king_approach,PUT,30m,369,51.5,47.6,3.9,2.3
SPY,gamma_king_approach,PUT,60m,363,47.7,46.7,0.9,2.0
SPY,gamma_king_approach,PUT,240m,325,48.0,45.4,2.6,2.8
SPY,gamma_king_approach,PUT,1d,371,19.1,44.8,-25.7,-204.5
SPY,gamma_king_approach,PUT,5d,367,26.7,38.5,-11.8,-240.0
IWM,gamma_gate_break,CALL,5m,594,54.2,49.6,4.6,1.9
IWM,gamma_gate_break,CALL,15m,593,55.5,50.6,4.9,2.3
IWM,gamma_gate_break,CALL,30m,582,53.8,51.2,2.6,1.4
IWM,gamma_gate_break,CALL,60m,566,55.7,51.8,3.9,1.6
IWM,gamma_gate_break,CALL,240m,458,54.4,52.3,2.1,3.8
IWM,gamma_gate_break,CALL,1d,596,85.9,53.3,32.6,333.2
IWM,gamma_gate_break,CALL,5d,596,78.7,54.8,23.9,332.1
IWM,gamma_gate_break,PUT,5m,656,48.3,50.4,-2.0,-2.8
IWM,gamma_gate_break,PUT,15m,648,50.5,49.4,1.0,0.2
IWM,gamma_gate_break,PUT,30m,635,51.5,48.8,2.7,0.9
IWM,gamma_gate_break,PUT,60m,615,49.1,48.2,0.9,1.0
IWM,gamma_gate_break,PUT,240m,477,47.4,47.7,-0.3,-6.0
IWM,gamma_gate_break,PUT,1d,661,14.8,46.7,-31.9,-305.9
IWM,gamma_gate_break,PUT,5d,660,20.8,45.2,-24.5,-344.4
IWM,gamma_king_approach,CALL,5m,727,50.5,49.6,0.8,-0.0
IWM,gamma_king_approach,CALL,15m,721,50.3,50.6,-0.2,-2.5
IWM,gamma_king_approach,CALL,30m,711,49.1,51.2,-2.1,-3.3
IWM,gamma_king_approach,CALL,60m,699,50.2,51.8,-1.5,-1.1
IWM,gamma_king_approach,CALL,240m,618,52.4,52.3,0.1,0.7
IWM,gamma_king_approach,CALL,1d,729,85.3,53.3,32.0,319.9
IWM,gamma_king_approach,CALL,5d,725,77.2,54.8,22.5,338.2
IWM,gamma_king_approach,PUT,5m,568,49.8,50.4,-0.5,0.5
IWM,gamma_king_approach,PUT,15m,565,50.6,49.4,1.2,0.8
IWM,gamma_king_approach,PUT,30m,562,52.5,48.8,3.7,2.4
IWM,gamma_king_approach,PUT,60m,546,51.6,48.2,3.4,4.0
IWM,gamma_king_approach,PUT,240m,494,49.4,47.7,1.7,1.8
IWM,gamma_king_approach,PUT,1d,568,16.7,46.7,-30.0,-284.4
IWM,gamma_king_approach,PUT,5d,565,20.7,45.2,-24.5,-320.2
QQQ,gamma_gate_break,CALL,5m,888,51.5,50.5,1.0,0.0
QQQ,gamma_gate_break,CALL,15m,881,50.9,51.6,-0.8,-0.6
QQQ,gamma_gate_break,CALL,30m,866,53.1,52.4,0.7,-0.7
QQQ,gamma_gate_break,CALL,60m,835,53.8,53.4,0.4,-0.5
