strat_combo,n,wt_hit_1d,wt_hit_5d,wt_hit_20d,lift_1d_pp,lift_5d_pp,lift_20d_pp,p_1d,p_5d,p_20d
111_inside_compression,29.0,24.14,44.82,86.21,-28.02,-10.04,28.52,,,
11_inside_compression,318.0,52.52,60.38,63.44,0.36,5.51,5.75,0.8971012764308848,0.04821052992119035,0.03794636748102831
132_bear_continuation,221.0,52.04,57.92,59.24,-0.12,3.05,1.55,0.9720505003283939,0.3617808766792052,0.640933379773714
132_bull_continuation,314.0,52.23,55.41,57.08,0.07,0.55,-0.61,0.9795476898802615,0.8467503704314014,0.8268124924780478
212_bear_continuation,3199.0,53.36,57.46,58.69,1.2,2.59,1.0,0.1734292113429401,0.0032098656126955394,0.25229074779565797
212_bear_reversal,5522.0,52.21,55.02,58.96,0.05,0.15,1.27,0.9380234558103888,0.8195763879086235,0.05610876103963558
212_bull_continuation,4310.0,50.95,54.5,57.12,-1.21,-0.37,-0.57,0.11245736711324716,0.6280208618809402,0.4487847265046203
212_bull_reversal,6094.0,52.46,55.32,57.55,0.3,0.46,-0.14,0.6366651394288334,0.47756039537323014,0.824914889356672
22_bear_continuation,30741.0,52.86,54.11,57.1,0.71,-0.76,-0.59,0.01370563193145724,0.007628445871252998,0.03627273428096789
22_bear_reversal,28555.0,52.5,55.11,57.51,0.34,0.24,-0.18,0.24693532437371757,0.4097698299879906,0.5380943533272387
22_bull_continuation,41304.0,51.8,54.63,57.47,-0.36,-0.24,-0.22,0.14555355956928295,0.33255686825110375,0.3654442279696559
22_bull_reversal,29062.0,51.59,54.97,57.31,-0.56,0.1,-0.38,0.05268499315693553,0.7248575547124263,0.18977218745554203
312_bear_reversal,55.0,50.91,63.64,60.0,-1.25,8.77,2.31,0.8530399900497114,0.19107100762935159,0.7287772786957547
312_bull_reversal,1126.0,53.82,54.16,59.54,1.66,-0.71,1.85,0.26415706453550847,0.6334201412442511,0.20893035123985992
322_bear_continuation,2349.0,55.0,56.73,59.78,2.84,1.86,2.09,0.005821593156629445,0.06964262642211971,0.04033680921101168
322_bull_continuation,2961.0,51.44,52.07,59.25,-0.72,-2.79,1.56,0.4343107571891094,0.00222235584447672,0.08576346751690789
32_bear_reversal,62.0,53.23,62.9,69.36,1.07,8.04,11.67,0.8657820886702461,0.20371651137695723,0.06289667747637884
32_bull_reversal,110.0,49.09,55.46,60.4,-3.07,0.59,2.71,0.5195152729796408,0.9005804995965729,0.5650903876807749
clean_2d_bear,2925.0,54.09,56.72,58.04,1.93,1.86,0.35,0.03643698766917969,0.04405040767703938,0.7016233820080136
clean_2u_bull,2870.0,50.94,53.42,58.39,-1.22,-1.45,0.7,0.19156891094945583,0.11921898096943062,0.4478327821881489
f2d_bull_reversal,577.0,57.89,58.12,56.68,5.73,3.25,-1.01,0.0058433567983922075,0.11638528481122012,0.6233780306657355
f2u_bear_reversal,328.0,51.53,53.96,56.13,-0.63,-0.9,-1.56,0.819968133533626,0.7412558144344621,0.5674141817944847
