ticker,strat_combo,ftfc_direction,vix_tercile,n,mean_1d_bps,std_1d_bps,hit_1d_pct,mean_5d_bps,hit_5d_pct,mean_20d_bps,hit_20d_pct,lift_1d_pp,lift_5d_pp,lift_20d_pp
AAOI,11_inside_compression,,LOW,16,138.36,459.8,62.5,-383.22,43.75,-182.83,31.25,10.34226870640068,-11.11725737363848,-26.44001052502754
AAOI,212_bear_continuation,,HIGH,28,91.1,679.24,67.86,347.79,67.86,486.37,50.0,15.70226870640068,12.992742626361519,-7.690010525027539
AAOI,212_bear_continuation,,LOW,17,67.74,432.51,58.82,776.62,70.59,505.41,47.06,6.662268706400681,15.722742626361523,-10.630010525027537
AAOI,212_bear_continuation,,MID,11,281.49,412.4,72.73,-151.38,36.36,30.13,36.36,20.572268706400685,-18.50725737363848,-21.33001052502754
AAOI,212_bear_reversal,,HIGH,29,169.9,483.9,62.07,483.8,62.07,1214.7,65.52,9.912268706400681,7.20274262636152,7.829989474972457
AAOI,212_bear_reversal,,LOW,29,67.56,525.31,51.72,48.08,51.72,791.39,58.62,-0.4377312935993203,-3.1472573736384817,0.9299894749724587
AAOI,212_bear_reversal,,MID,27,21.63,584.13,44.44,626.37,62.96,1200.01,52.0,-7.717731293599321,8.09274262636152,-5.690010525027539
AAOI,212_bull_continuation,,HIGH,14,-28.31,920.78,50.0,209.81,57.14,1939.94,78.57,-2.157731293599319,2.27274262636152,20.879989474972454
AAOI,212_bull_continuation,,LOW,21,-31.22,534.64,33.33,466.64,52.38,2010.78,61.9,-18.82773129359932,-2.487257373638478,4.20998947497246
AAOI,212_bull_continuation,,MID,19,296.65,932.54,57.89,226.81,42.11,1682.77,57.89,5.732268706400681,-12.757257373638481,0.19998947497246178
AAOI,212_bull_reversal,,HIGH,30,84.97,436.34,53.33,253.59,50.0,761.97,40.0,1.1722687064006792,-4.8672573736384805,-17.69001052502754
AAOI,212_bull_reversal,,LOW,19,-36.21,233.22,47.37,-110.62,47.37,483.15,47.37,-4.787731293599322,-7.497257373638483,-10.320010525027541
AAOI,212_bull_reversal,,MID,21,171.82,437.89,47.62,456.2,57.14,290.41,33.33,-4.537731293599322,2.27274262636152,-24.36001052502754
AAOI,22_bear_continuation,,HIGH,165,-24.34,508.47,46.67,145.62,49.09,623.13,45.45,-5.487731293599317,-5.777257373638477,-12.240010525027536
AAOI,22_bear_continuation,,LOW,118,18.79,500.77,52.54,223.62,52.54,651.94,52.54,0.38226870640068,-2.3272573736384814,-5.15001052502754
AAOI,22_bear_continuation,,MID,140,43.2,502.2,50.71,-6.75,43.48,319.69,40.88,-1.4477312935993183,-11.387257373638484,-16.810010525027536
AAOI,22_bear_reversal,,HIGH,102,71.66,674.85,49.02,228.57,56.86,646.07,54.9,-3.137731293599316,1.9927426263615189,-2.79001052502754
AAOI,22_bear_reversal,,LOW,93,54.09,610.73,50.54,269.95,50.54,537.36,46.24,-1.61773129359932,-4.327257373638481,-11.450010525027537
AAOI,22_bear_reversal,,MID,109,80.22,737.67,48.62,177.98,49.54,536.51,44.04,-3.5377312935993217,-5.327257373638481,-13.65001052502754
AAOI,22_bull_continuation,,HIGH,114,-44.7,810.76,43.86,22.61,45.61,177.32,48.25,-8.29773129359932,-9.257257373638481,-9.440010525027539
AAOI,22_bull_continuation,,LOW,131,-29.22,580.38,45.04,-9.83,43.51,162.66,38.93,-7.11773129359932,-11.357257373638483,-18.76001052502754
AAOI,22_bull_continuation,,MID,159,-35.35,585.16,44.03,75.84,45.57,1133.12,52.9,-8.127731293599318,-9.29725737363848,-4.79001052502754
AAOI,22_bull_reversal,,HIGH,95,114.65,588.5,60.0,327.36,55.79,903.94,62.11,7.842268706400681,0.9227426263615186,4.419989474972461
AAOI,22_bull_reversal,,LOW,93,-5.45,544.24,47.31,246.29,50.54,278.38,44.09,-4.847731293599317,-4.327257373638481,-13.600010525027535
AAOI,22_bull_reversal,,MID,126,8.63,553.82,46.03,120.32,53.6,769.1,50.81,-6.127731293599318,-1.2672573736384791,-6.8800105250275365
AAOI,312_bull_reversal,,HIGH,13,-115.38,213.91,30.77,-27.67,61.54,3706.27,76.92,-21.38773129359932,6.672742626361519,19.229989474972463
AAOI,322_bear_continuation,,HIGH,10,107.87,441.86,60.0,237.83,70.0,1120.33,30.0,7.842268706400681,15.13274262636152,-27.69001052502754
AAOI,322_bear_continuation,,MID,14,54.41,676.6,28.57,284.99,57.14,947.01,57.14,-23.58773129359932,2.27274262636152,-0.5500105250275382
AAOI,322_bull_continuation,,HIGH,12,248.94,600.48,66.67,661.33,58.33,986.39,58.33,14.512268706400683,3.4627426263615178,0.6399894749724595
AAOI,322_bull_continuation,,LOW,17,106.27,846.37,52.94,294.69,58.82,1802.2,58.82,0.7822687064006786,3.9527426263615197,1.1299894749724615
AAOI,322_bull_continuation,,MID,12,96.91,608.32,33.33,-63.0,50.0,126.91,54.55,-18.82773129359932,-4.8672573736384805,-3.1400105250275416
AAOI,clean_2d_bear,,HIGH,14,87.78,363.19,57.14,23.33,50.0,258.37,35.71,4.982268706400681,-4.8672573736384805,-21.980010525027538
AAOI,clean_2d_bear,,LOW,15,61.28,443.81,53.33,-147.66,53.33,-199.24,33.33,1.1722687064006792,-1.5372573736384822,-24.36001052502754
AAOI,clean_2d_bear,,MID,18,-186.35,667.26,27.78,3.22,50.0,100.27,52.94,-24.377731293599318,-4.8672573736384805,-4.750010525027541
AAOI,clean_2u_bull,,HIGH,10,13.97,668.8,50.0,-123.43,60.0,8.87,40.0,-2.157731293599319,5.1327426263615195,-17.69001052502754
AAOI,clean_2u_bull,,LOW,19,16.77,518.14,42.11,156.12,42.11,1473.76,47.37,-10.04773129359932,-12.757257373638481,-10.320010525027541
AAOI,clean_2u_bull,,MID,12,21.93,548.71,50.0,-45.99,41.67,557.47,58.33,-2.157731293599319,-13.197257373638479,0.6399894749724595
AAOI,f2u_bear_reversal,,LOW,11,16.17,519.55,36.36,173.14,63.64,660.15,54.55,-15.79773129359932,8.77274262636152,-3.1400105250275416
AAOI,,,HIGH,177,-15.92,587.06,48.02,175.34,49.15,813.09,48.59,-4.137731293599316,-5.717257373638482,-9.100010525027535
AAOI,,,LOW,187,-0.37,556.36,47.59,19.71,47.06,375.52,44.39,-4.567731293599316,-7.807257373638478,-13.300010525027538
AAOI,,,MID,132,55.48,847.39,43.94,258.01,48.48,1074.67,49.61,-8.217731293599321,-6.387257373638484,-8.08001052502754
AAPL,11_inside_compression,,LOW,10,30.95,56.22,70.0,48.85,70.0,209.31,80.0,17.84226870640068,15.13274262636152,22.30998947497246
AAPL,212_bear_continuation,,HIGH,17,-9.93,196.62,47.06,251.82,70.59,341.03,58.82,-5.097731293599317,15.722742626361523,1.1299894749724615
AAPL,212_bear_continuation,,MID,15,-89.55,125.43,26.67,-135.2,40.0,263.41,66.67,-25.487731293599317,-14.86725737363848,8.979989474972463
AAPL,212_bear_reversal,,HIGH,12,42.72,439.84,50.0,-248.41,33.33,-750.68,41.67,-2.157731293599319,-21.537257373638482,-16.020010525027537
AAPL,212_bear_reversal,,LOW,19,13.52,99.89,63.16,24.73,47.37,69.77,63.16,11.002268706400677,-7.497257373638483,5.469989474972458
AAPL,212_bear_reversal,,MID,16,68.94,186.5,68.75,169.27,87.5,437.8,81.25,16.59226870640068,32.63274262636152,23.55998947497246
AAPL,212_bull_continuation,,HIGH,17,54.88,219.62,64.71,60.05,58.82,-134.84,58.82,12.552268706400675,3.9527426263615197,1.1299894749724615
AAPL,212_bull_continuation,,LOW,20,16.71,73.38,50.0,112.33,80.0,246.92,70.0,-2.157731293599319,25.13274262636152,12.309989474972461
AAPL,212_bull_continuation,,MID,19,15.04,108.45,57.89,-25.97,47.37,143.95,64.71,5.732268706400681,-7.497257373638483,7.019989474972455
AAPL,212_bull_reversal,,HIGH,22,16.26,220.98,59.09,123.39,63.64,195.56,63.64,6.932268706400684,8.77274262636152,5.949989474972462
AAPL,212_bull_reversal,,LOW,20,49.83,117.58,60.0,64.63,60.0,373.97,70.0,7.842268706400681,5.1327426263615195,12.309989474972461
AAPL,212_bull_reversal,,MID,23,12.38,203.75,56.52,86.99,68.18,318.16,63.64,4.362268706400684,13.312742626361526,5.949989474972462
AAPL,22_bear_continuation,,HIGH,185,57.17,274.86,58.38,95.59,52.97,217.53,63.78,6.222268706400683,-1.8972573736384817,6.089989474972462
AAPL,22_bear_continuation,,LOW,74,2.21,155.82,48.65,30.14,56.76,54.41,56.76,-3.5077312935993206,1.8927426263615175,-0.9300105250275408
AAPL,22_bear_continuation,,MID,94,-9.9,164.86,47.87,31.04,50.0,291.81,59.57,-4.287731293599322,-4.8672573736384805,1.8799894749724615
AAPL,22_bear_reversal,,HIGH,126,-12.32,233.67,53.97,35.07,57.94,154.83,58.73,1.8122687064006797,3.072742626361517,1.039989474972458
AAPL,22_bear_reversal,,LOW,95,11.8,126.79,56.84,29.82,57.89,109.49,57.89,4.682268706400684,3.02274262636152,0.19998947497246178
AAPL,22_bear_reversal,,MID,109,-3.43,153.54,46.79,81.16,62.96,327.62,72.64,-5.36773129359932,8.09274262636152,14.949989474972462
AAPL,22_bull_continuation,,HIGH,150,31.52,220.65,54.67,21.12,58.67,44.8,61.33,2.5122687064006826,3.802742626361521,3.6399894749724595
AAPL,22_bull_continuation,,LOW,212,7.29,98.66,54.25,47.25,59.91,193.28,66.98,2.092268706400681,5.042742626361516,9.289989474972465
AAPL,22_bull_continuation,,MID,200,2.48,134.49,49.0,41.63,57.79,219.95,72.16,-3.157731293599319,2.9227426263615186,14.469989474972458
AAPL,22_bull_reversal,,HIGH,123,-20.37,243.62,46.34,-14.83,56.91,62.78,59.35,-5.817731293599316,2.042742626361516,1.6599894749724626
AAPL,22_bull_reversal,,LOW,106,4.19,99.6,50.94,22.54,59.43,169.07,59.43,-1.2177312935993214,4.562742626361519,1.739989474972461
AAPL,22_bull_reversal,,MID,114,42.47,175.01,62.28,73.19,57.89,243.78,66.67,10.122268706400682,3.02274262636152,8.979989474972463
AAPL,322_bear_continuation,,HIGH,13,-68.41,271.65,46.15,9.02,46.15,-317.88,30.77,-6.007731293599321,-8.717257373638482,-26.92001052502754
AAPL,322_bull_continuation,,LOW,28,39.86,83.17,67.86,134.0,71.43,339.26,78.57,15.70226870640068,16.562742626361526,20.879989474972454
AAPL,322_bull_continuation,,MID,12,-42.32,134.47,33.33,9.48,33.33,176.75,58.33,-18.82773129359932,-21.537257373638482,0.6399894749724595
AAPL,32_bull_reversal,,LOW,11,66.54,99.36,72.73,138.38,63.64,407.48,81.82,20.572268706400685,8.77274262636152,24.129989474972454
AAPL,clean_2d_bear,,LOW,11,-12.36,133.24,36.36,103.03,63.64,334.24,72.73,-15.79773129359932,8.77274262636152,15.039989474972465
AAPL,clean_2d_bear,,MID,13,0.15,204.69,69.23,-35.19,46.15,-115.7,53.85,17.072268706400685,-8.717257373638482,-3.8400105250275374
AAPL,clean_2u_bull,,LOW,17,-4.01,100.11,41.18,38.48,58.82,307.07,82.35,-10.97773129359932,3.9527426263615197,24.659989474972456
AAPL,clean_2u_bull,,MID,16,53.27,140.53,56.25,59.02,62.5,144.9,62.5,4.092268706400681,7.6327426263615195,4.809989474972461
AAPL,f2d_bull_reversal,,HIGH,12,90.02,183.83,58.33,117.22,66.67,-18.23,50.0,6.172268706400679,11.802742626361521,-7.690010525027539
AAPL,,,HIGH,122,-52.78,707.3,56.56,-100.81,59.02,-220.27,54.92,4.402268706400683,4.152742626361523,-2.770010525027537
AAPL,,,LOW,149,28.34,145.1,60.4,102.88,63.09,297.06,71.81,8.24226870640068,8.222742626361523,14.119989474972463
AAPL,,,MID,158,-0.33,145.86,49.37,41.9,56.69,286.33,70.32,-2.7877312935993217,1.8227426263615172,12.629989474972454
ABBV,11_inside_compression,,MID,10,-29.6,129.09,50.0,170.12,70.0,327.28,50.0,-2.157731293599319,15.13274262636152,-7.690010525027539
ABBV,132_bull_continuation,,LOW,12,22.33,106.81,50.0,33.89,41.67,-12.28,58.33,-2.157731293599319,-13.197257373638479,0.6399894749724595
ABBV,132_bull_continuation,,MID,10,-26.14,113.29,20.0,102.03,60.0,149.63,55.56,-32.15773129359932,5.1327426263615195,-2.1300105250275365
ABBV,212_bear_continuation,,HIGH,11,68.94,173.56,72.73,261.74,63.64,74.18,63.64,20.572268706400685,8.77274262636152,5.949989474972462
ABBV,212_bear_continuation,,MID,14,-74.04,362.51,57.14,-1.17,71.43,-173.74,57.14,4.982268706400681,16.562742626361526,-0.5500105250275382
ABBV,212_bear_reversal,,HIGH,29,-4.08,207.86,55.17,67.26,58.62,160.68,65.52,3.0122687064006826,3.752742626361517,7.829989474972457
ABBV,212_bear_reversal,,LOW,26,25.38,83.11,65.38,-32.98,53.85,95.56,57.69,13.222268706400676,-1.0172573736384791,-1.0525027541063992e-05
ABBV,212_bear_reversal,,MID,24,-4.3,123.99,45.83,-25.51,47.83,-169.42,47.83,-6.327731293599321,-7.037257373638482,-9.86001052502754
ABBV,212_bull_continuation,,HIGH,15,-2.14,155.67,46.67,13.26,40.0,25.33,40.0,-5.487731293599317,-14.86725737363848,-17.69001052502754
ABBV,212_bull_continuation,,LOW,24,27.76,92.48,50.0,31.18,50.0,256.63,66.67,-2.157731293599319,-4.8672573736384805,8.979989474972463
ABBV,212_bull_continuation,,MID,21,-6.51,116.42,42.86,111.62,71.43,117.46,60.0,-9.29773129359932,16.562742626361526,2.309989474972461
ABBV,212_bull_reversal,,HIGH,30,55.64,121.51,63.33,88.14,70.0,74.21,60.0,11.17226870640068,15.13274262636152,2.309989474972461
ABBV,212_bull_reversal,,LOW,20,3.56,104.33,65.0,55.73,60.0,203.74,50.0,12.84226870640068,5.1327426263615195,-7.690010525027539
ABBV,212_bull_reversal,,MID,22,35.45,192.52,68.18,112.4,54.55,17.18,54.55,16.022268706400688,-0.3172573736384834,-3.1400105250275416
ABBV,22_bear_continuation,,HIGH,122,19.93,204.05,54.92,37.91,51.64,160.72,59.84,2.7622687064006826,-3.22725737363848,2.1499894749724646
ABBV,22_bear_continuation,,LOW,95,10.56,134.84,51.58,-6.51,49.47,211.83,65.26,-0.5777312935993208,-5.397257373638482,7.569989474972466
ABBV,22_bear_continuation,,MID,119,-2.29,138.26,54.62,26.58,56.3,49.69,56.9,2.4622687064006783,1.4327426263615166,-0.7900105250275402
ABBV,22_bear_reversal,,HIGH,115,0.36,165.88,46.96,6.59,49.57,158.9,57.39,-5.197731293599318,-5.29725737363848,-0.3000105250275382
ABBV,22_bear_reversal,,LOW,104,5.24,135.69,50.96,33.51,51.92,116.43,52.88,-1.1977312935993183,-2.947257373638479,-4.810010525027536
ABBV,22_bear_reversal,,MID,104,0.65,155.12,50.0,40.6,63.11,125.52,62.38,-2.157731293599319,8.242742626361519,4.689989474972464
ABBV,22_bull_continuation,,HIGH,145,-0.22,176.24,50.34,-36.02,48.97,-18.83,46.21,-1.8177312935993157,-5.897257373638482,-11.480010525027538
ABBV,22_bull_continuation,,LOW,192,13.54,126.3,59.9,80.96,58.85,272.28,65.1,7.742268706400679,3.982742626361521,7.4099894749724555
ABBV,22_bull_continuation,,MID,149,2.47,169.84,54.36,16.56,53.69,54.5,57.14,2.2022687064006803,-1.1772573736384828,-0.5500105250275382
ABBV,22_bull_reversal,,HIGH,112,9.1,212.64,61.61,7.93,50.0,222.6,61.61,9.45226870640068,-4.8672573736384805,3.9199894749724606
ABBV,22_bull_reversal,,LOW,106,13.21,184.25,50.0,30.2,55.66,215.64,60.38,-2.157731293599319,0.792742626361516,2.6899894749724638
ABBV,22_bull_reversal,,MID,115,2.06,206.27,52.17,27.04,53.51,10.34,53.57,0.01226870640068256,-1.3572573736384825,-4.1200105250275385
ABBV,312_bull_reversal,,LOW,11,-6.05,57.93,45.45,36.36,63.64,536.88,81.82,-6.707731293599316,8.77274262636152,24.129989474972454
ABBV,312_bull_reversal,,MID,10,37.26,134.2,50.0,-167.47,60.0,-83.42,44.44,-2.157731293599319,5.1327426263615195,-13.250010525027541
ABBV,322_bear_continuation,,HIGH,17,30.68,126.57,58.82,-48.07,41.18,76.61,52.94,6.662268706400681,-13.68725737363848,-4.750010525027541
