ticker,strat_combo,ftfc_direction,vix_tercile,n,mean_1d_bps,std_1d_bps,hit_1d_pct,mean_5d_bps,hit_5d_pct,mean_20d_bps,hit_20d_pct
AAOI,11_inside_compression,,LOW,16,138.36,459.80,62.50,-383.22,43.75,-182.83,31.25
AAOI,212_bear_continuation,,HIGH,28,91.10,679.24,67.86,347.79,67.86,486.37,50.00
AAOI,212_bear_continuation,,LOW,17,67.74,432.51,58.82,776.62,70.59,505.41,47.06
AAOI,212_bear_continuation,,MID,11,281.49,412.40,72.73,-151.38,36.36,30.13,36.36
AAOI,212_bear_reversal,,HIGH,29,169.90,483.90,62.07,483.80,62.07,1214.70,65.52
AAOI,212_bear_reversal,,LOW,29,67.56,525.31,51.72,48.08,51.72,791.39,58.62
AAOI,212_bear_reversal,,MID,27,21.63,584.13,44.44,626.37,62.96,1200.01,52.00
AAOI,212_bull_continuation,,HIGH,14,-28.31,920.78,50.00,209.81,57.14,1939.94,78.57
AAOI,212_bull_continuation,,LOW,21,-31.22,534.64,33.33,466.64,52.38,2010.78,61.90
AAOI,212_bull_continuation,,MID,19,296.65,932.54,57.89,226.81,42.11,1682.77,57.89
AAOI,212_bull_reversal,,HIGH,30,84.97,436.34,53.33,253.59,50.00,761.97,40.00
AAOI,212_bull_reversal,,LOW,19,-36.21,233.22,47.37,-110.62,47.37,483.15,47.37
AAOI,212_bull_reversal,,MID,21,171.82,437.89,47.62,456.20,57.14,290.41,33.33
AAOI,22_bear_continuation,,HIGH,165,-24.34,508.47,46.67,145.62,49.09,623.13,45.45
AAOI,22_bear_continuation,,LOW,118,18.79,500.77,52.54,223.62,52.54,651.94,52.54
AAOI,22_bear_continuation,,MID,140,43.20,502.20,50.71,-6.75,43.48,319.69,40.88
AAOI,22_bear_reversal,,HIGH,102,71.66,674.85,49.02,228.57,56.86,646.07,54.90
AAOI,22_bear_reversal,,LOW,93,54.09,610.73,50.54,269.95,50.54,537.36,46.24
AAOI,22_bear_reversal,,MID,109,80.22,737.67,48.62,177.98,49.54,536.51,44.04
AAOI,22_bull_continuation,,HIGH,114,-44.70,810.76,43.86,22.61,45.61,177.32,48.25
AAOI,22_bull_continuation,,LOW,131,-29.22,580.38,45.04,-9.83,43.51,162.66,38.93
