ticker,base_1d,base_5d,base_20d
AAOI,48.39463109629012,50.0977282200917,48.51934139224677
AAPL,53.68711440677967,58.282521186440675,64.55569915254236
ABBV,53.24106231702217,54.419447929736506,57.97414470932665
ACN,53.57029573299536,57.55316434305027,58.82246303337559
ADBE,52.56975344755538,56.339331383201,57.710330129544495
ADI,53.14701955782313,54.04425595238095,56.86535289115646
AKAM,54.357271573604066,56.393637901861254,57.81859560067682
ALAB,50.691981566820274,53.37230414746544,52.194930875576034
AMAT,53.33501076194575,57.34914765389583,61.594842875591894
AMD,51.366362083689154,55.54993168232281,55.85448761742101
AMGN,51.66326041228438,51.88052166596551,50.89344131257889
AMZN,53.95285534062237,56.440824222035324,63.887052144659364
ANET,54.66239676458067,59.00380161770966,62.621396338867605
APH,54.789920168067226,58.62673109243697,63.49436554621849
APP,53.450610619469025,55.42340707964601,56.395592920353984
ARM,50.18990494296578,53.231634980988595,58.841463878327
ASTS,45.92909090909092,49.7517842605156,52.266668928086844
AVGO,53.3843950930626,56.683265651438234,64.08575719120135
AZO,51.79333475661827,53.78067036720752,59.47785226302306
BABA,49.57188784246576,52.222213184931505,51.5597131849315
BE,48.945161111111105,51.445,51.62970555555557
BKNG,53.084049517415025,56.14717163239614,58.11900125891733
CEG,53.16092550790068,56.01540632054176,64.25924379232507
COHR,52.319187579753304,56.19045512547852,57.608102934921305
COIN,46.36454787234042,46.720354609929075,44.25641843971631
COST,54.48078670593185,59.30637778712662,64.19421539755996
CRCL,43.91824324324324,46.85277027027027,46.58878378378379
CRM,51.89122821929452,55.634016149596256,57.4786357841054
CRWV,47.76892857142857,51.81165178571428,47.066428571428574
CSCO,53.22450128976784,56.57702063628548,59.71172398968186
CVS,51.092149454240136,51.15553316540722,50.69770780856423
DASH,51.0712706270627,50.999455445544555,53.45337458745875
DDOG,50.89568679495686,54.03547445255475,54.6265494359655
DELL,51.94252352941176,56.462700000000005,63.07256470588235
DIS,48.71868542629147,50.35378832423351,47.778009239815205
DVN,50.54242677824268,52.13822175732218,52.88475313807531
ETN,53.679792724196275,56.946129441624365,61.626256345177666
GILD,50.31702486304257,50.298706278971764,48.64258744205647
GLW,52.40224159931944,56.284279030199905,58.70164610803912
GOOG,54.44278736842105,58.16493894736843,64.20980210526315
GOOGL,53.885530492898916,57.69820802005013,63.65762322472849
HD,52.171933560476994,54.08994037478705,56.67263202725725
HIMS,47.040139720558884,50.354570858283445,50.82487691284099
HOOD,51.02375609756098,52.86921951219513,50.60238048780488
INTU,53.01555649957519,56.797714528462194,59.637107051826675
IONQ,48.343109600679696,50.46143585386576,47.29148683092609
IREN,47.58729903536978,48.643365487674174,50.5333118971061
IWM,52.94783623249894,54.51886720407298,60.07627492575306
JNJ,52.034266949152546,52.568114406779664,54.83360169491526
JPM,51.782851153039836,56.80770649895178,60.0776394129979
KO,52.63035759360538,54.01810685738325,56.919869583508614
LITE,52.34895471857808,54.86596275920439,56.211256876851465
LLY,53.055479626485564,56.65039473684211,60.293009337860774
LNG,51.98288100208769,53.495544885177445,58.534313152400834
MCD,52.24859722805543,55.39611927761444,58.612230155396894
MCHP,52.22147270418959,53.73626745662295,54.914341938214136
MCK,54.03039658848614,55.480754797441364,58.60563752665245
MELI,53.01292869269949,54.20359932088286,57.19336162988115
META,52.143474949899804,56.524300601202405,61.96371142284569
MPWR,54.46458758503401,58.26643282312925,63.54033163265306
MRVL,51.58831295843521,53.95281581092095,58.24159739201304
MSFT,53.664458469055376,58.886689739413676,63.85237785016287
MSTR,50.39803264964421,50.15734616994559,52.527902888237755
MU,52.746607529208134,54.78091302466465,58.99107745564691
NBIS,38.83517962710323,40.209586175534334,45.22556616643929
NET,52.33791054739653,55.39536048064085,59.31129506008011
NU,50.37534908700323,51.999495166487655,57.58867883995703
NVDA,54.728458262350934,59.354165247018734,65.94229982964224
NVO,51.12925010651896,54.624358755858545,57.39352790796762
OKLO,43.87118677042802,51.36538910505836,55.67237354085604
ON,52.46012200252419,54.60358855700463,58.20507782919647
OXY,49.53847187237616,49.40684718723761,49.37837111670865
PDD,49.19684414864115,51.16190793122573,51.26723239046035
PFE,48.70529767040552,50.776988783434,48.460215703192404
PG,52.75829052631578,54.82688842105264,56.19509473684211
PH,52.461379890618424,57.435633151030714,61.32522928060581
PLTR,51.2432477947073,54.7882518043304,56.4696471531676
PWR,53.8723914893617,59.6338340425532,65.5255914893617
PYPL,52.712161016949146,54.768588983050854,56.64453389830508
QCOM,52.214264023618725,53.057886967524254,52.57959510754956
QQQ,56.393175275190515,60.83864521591872,68.33076629974597
RKLB,49.95303086997194,50.63265668849392,54.699672591206735
SATS,50.06371584699453,50.227255149222366,49.1726902059689
SBUX,50.51303586678053,54.02580700256192,55.0902732707088
SHEL,52.844028013582346,53.02551782682513,55.161311544991506
SHOP,52.9439991589571,56.18913372582002,62.55528174936923
SMCI,51.2461216730038,53.16009294465569,53.245230249260665
SNOW,52.35013545816733,50.97877290836654,50.58235856573705
SNPS,54.66210037958667,57.75830451286377,62.77407844791228
SPOT,51.58882415254238,52.88411016949152,54.445651483050845
SPY,54.75109589041097,61.04458904109589,68.62101883561644
STX,53.86924754168449,57.25490808037622,58.269431380932026
TJX,50.99536637018213,54.93341804320203,61.03838627700127
TMUS,52.45754304913902,54.383448131037376,59.123893322133554
TSM,52.26472649572649,56.068948717948714,61.878602564102565
TXN,53.05407090986757,55.74541648868005,57.8216659547202
UBER,48.83406633906633,51.73981572481572,50.57486486486487
V,54.785847492747614,58.37501450476585,62.147625362619145
VST,51.46230030554343,55.88701003928416,57.42449148843299
WMT,54.030652452025585,55.182076759061836,60.66920682302772
