feature,importance_gain,fold
vix_close_lag1,3174494664.0,5
vix_close,2924904399.0,5
vix_close_w5_z,2606961366.0,5
vix_close_lag5,2335725114.0,5
vix_close_w20_z,2306070059.0,5
vix_close_lag10,2048713149.0,5
vix_close_w60_mean,1993594339.0,5
vix_close_w60_z,1981434007.0,5
vix_close_lag3,1779738134.0,5
vix_close_w5_mean,1500011054.0,5
vix_close_w20_mean,1052204672.0,5
volatility_20d_w60_mean,1023281730.0,5
price_vs_ema9_lag10,376942203.0,5
price_vs_ema9,360761311.0,5
volatility_20d_w20_mean,350495372.0,5
price_vs_ema9_lag1,309851973.0,5
volatility_20d_xs_rank,291113247.0,5
price_vs_ema20,280297930.0,5
price_vs_ema9_lag3,275772237.0,5
volatility_20d_lag5,274280521.0,5
price_vs_ema20_w60_mean,266901422.0,5
price_vs_ema9_w5_mean,248027747.0,5
volatility_20d_lag10,239238264.0,5
volatility_20d_lag1,236861425.0,5
price_vs_ema9_lag5,236719532.0,5
volatility_20d_lag3,218318605.0,5
price_vs_ema9_w60_mean,208112439.0,5
price_vs_ema20_w5_mean,205372901.0,5
volatility_20d_w5_mean,198590691.0,5
volatility_20d,167303158.0,5
price_vs_ema20_lag1,162589743.0,5
price_vs_ema20_lag3,158526819.0,5
price_vs_ema9_w20_mean,147081560.0,5
rvol_xs_rank,144364207.0,5
price_vs_ema20_w20_mean,134340934.0,5
price_vs_ema20_lag10,132843692.0,5
consecutive_down_lag3,131608230.0,5
volatility_20d_w5_z,129319566.0,5
price_vs_ema20_lag5,111470761.0,5
atr_14_w5_z,110128377.0,5
obv_w5_z,106468405.0,5
macd_histogram_w60_mean,106014660.0,5
bb_pct_lag10,98373003.0,5
rvol_w60_z,87125591.0,5
volatility_20d_w60_z,86734920.0,5
rvol,84198987.0,5
macd_histogram_w5_z,83046207.0,5
stoch_rsi_d_lag10,79264667.0,5
atr_14_w20_z,74046675.0,5
rvol_lag5,71258374.0,5
rvol_lag3,69997797.0,5
stoch_rsi_d_lag5,69871502.0,5
macd_histogram_w20_mean,68673170.0,5
rvol_lag10,68055864.0,5
ma_5,64377588.0,5
bb_pct_lag3,63428077.0,5
atr_14_w60_mean,62096945.0,5
stoch_rsi_d_lag3,61856733.0,5
stoch_rsi_d_w5_z,61018606.0,5
rvol_w20_mean,59839095.0,5
consecutive_up_w20_z,58797606.0,5
price_vs_ema9_w5_z,58582958.0,5
rsi_14_w60_mean,58390731.0,5
volatility_20d_w20_z,57594381.0,5
macd_histogram_lag5,57164424.0,5
ma_20,55875970.0,5
consecutive_down_lag5,55225910.0,5
ema_50,55005494.0,5
rsi_9_lag3,54701696.0,5
macd_w60_mean,54049490.0,5
rvol_lag1,53068404.0,5
stoch_rsi_d_w20_mean,52756351.0,5
macd_signal_w60_z,50607184.0,5
rvol_w5_z,50283476.0,5
obv_w20_z,49749963.0,5
bb_pct_w5_z,48113011.0,5
stoch_rsi_k_w20_z,47646970.0,5
rvol_w20_z,47458596.0,5
bb_width_w60_z,47155210.0,5
consecutive_down_w5_mean,46518611.0,5
price_vs_ema9_w60_z,45986159.0,5
price_vs_ema20_xs_rank,44967391.0,5
stoch_rsi_k_w5_z,44512714.0,5
macd_w5_z,44469250.0,5
strat_combo_id,44461463.0,5
consecutive_down_w20_mean,43771350.0,5
atr_14_w60_z,43678353.0,5
rsi_14_w20_z,43625920.0,5
stoch_rsi_k_lag3,43620420.0,5
rsi_14_lag10,43215450.0,5
bb_pct_lag1,42887660.0,5
stoch_rsi_k_w20_mean,42334060.0,5
consecutive_up_w60_z,42204060.0,5
rsi_14_xs_rank,41493928.0,5
rvol_w60_mean,41422477.0,5
macd_histogram_lag10,41308720.0,5
price_vs_ema20_w5_z,40347132.0,5
rsi_9_w5_z,39728628.0,5
price_vs_ema20_w60_z,39170174.0,5
stoch_rsi_d_w20_z,38540285.0,5
stoch_rsi_k_lag10,37866849.0,5
rvol_w5_mean,37532240.0,5
consecutive_up_w5_z,37102190.0,5
ma_50,35858163.0,5
obv_lag10,35202509.0,5
rsi_9_lag1,35045119.0,5
consecutive_down_w5_z,34908342.0,5
macd_signal_w20_mean,34555671.0,5
ema_9,34313766.0,5
macd_signal_w60_mean,33418031.0,5
stoch_rsi_d_w60_z,33337996.0,5
stoch_rsi_d_w60_mean,32753806.0,5
