fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate,ls_n_days
1,ridge,26142,33630,0.0183,0.0275,0.5087,-1.128,-8.7,0.467,435
1,lasso,26142,33630,0.0187,0.0277,0.5088,-1.135,-8.75,0.46,435
1,lgbm,26142,33630,0.0097,0.0138,0.5028,0.017,0.13,0.503,435
2,ridge,59672,36761,0.0792,0.0322,0.5166,-0.141,-1.83,0.478,435
2,lasso,59672,36761,0.0791,0.0314,0.5163,-0.312,-3.97,0.478,435
2,lgbm,59672,36761,0.057,0.0567,0.5223,-0.027,-0.37,0.469,435
3,ridge,96273,40987,0.0039,-0.0049,0.4954,-1.515,-23.98,0.434,435
3,lasso,96273,40987,0.0046,-0.0048,0.4955,-1.392,-22.39,0.439,435
3,lgbm,96273,40987,0.011,-0.02,0.4883,0.014,0.21,0.49,435
4,ridge,137100,42054,0.0146,0.0107,0.5128,-0.726,-9.44,0.476,435
4,lasso,137100,42054,0.0148,0.0107,0.5124,-0.63,-8.37,0.469,435
4,lgbm,137100,42054,0.014,0.0042,0.5029,-0.319,-4.59,0.503,435
5,ridge,179134,41161,0.0533,0.0306,0.5151,2.064,35.34,0.545,415
5,lasso,179134,41161,0.0548,0.0309,0.515,1.91,32.37,0.547,415
5,lgbm,179134,41161,-0.0332,-0.0392,0.4812,-0.199,-3.16,0.511,415
