feature,importance_gain,importance_split,gain_pct
vix_close,1447.7891063690186,21,93.65
obv,21.4260196685791,2,1.39
bb_width,15.445300102233887,1,1.0
volatility_20d,12.570599555969238,1,0.81
ma_10,11.49940013885498,1,0.74
ma_5,10.461400032043457,1,0.68
rvol,9.799099922180176,1,0.63
stoch_rsi_d,9.539529800415039,1,0.62
macd_signal,7.462900161743164,1,0.48
ma_20,0.0,0,0.0
ma_50,0.0,0,0.0
rsi_30,0.0,0,0.0
rsi_14,0.0,0,0.0
rsi_9,0.0,0,0.0
stoch_rsi_k,0.0,0,0.0
sma_200,0.0,0,0.0
ema_9,0.0,0,0.0
ema_20,0.0,0,0.0
ema_50,0.0,0,0.0
volume_ma_10,0.0,0,0.0
rvol_10,0.0,0,0.0
atr_14,0.0,0,0.0
atr_20,0.0,0,0.0
volatility_30min,0.0,0,0.0
volume_ma_20,0.0,0,0.0
return,0.0,0,0.0
volume_usd,0.0,0,0.0
high_low_spread_pct,0.0,0,0.0
consecutive_up,0.0,0,0.0
consecutive_down,0.0,0,0.0
vwap,0.0,0,0.0
price_vs_vwap,0.0,0,0.0
volatility_day,0.0,0,0.0
volatility_5d,0.0,0,0.0
intraday_return,0.0,0,0.0
macd,0.0,0,0.0
price_vs_ema20,0.0,0,0.0
price_vs_ema9,0.0,0,0.0
bb_upper,0.0,0,0.0
bb_lower,0.0,0,0.0
bb_pct,0.0,0,0.0
at_prev_quarter_high,0.0,0,0.0
macd_histogram,0.0,0,0.0
at_prev_quarter_low,0.0,0,0.0
broke_prev_quarter_high,0.0,0,0.0
gap_pct,0.0,0,0.0
broke_prev_quarter_low,0.0,0,0.0
pre_range_atr,0.0,0,0.0
strat_combo_id,0.0,0,0.0
strat_candle_id,0.0,0,0.0
strat_setup_int,0.0,0,0.0
