feature,mean_abs_shap
vix_close,0.01428726502607346
obv,0.0002871516297272464
rvol,0.00026776033218741687
ma_5,0.00023724835034875455
volatility_20d,0.00018738677922034274
stoch_rsi_d,0.0001842649881149666
bb_width,0.00017055330245387815
ma_10,0.00012990815597245083
macd_signal,7.948073989132203e-05
ma_20,0.0
ma_50,0.0
rsi_30,0.0
rsi_14,0.0
rsi_9,0.0
stoch_rsi_k,0.0
sma_200,0.0
ema_9,0.0
ema_20,0.0
ema_50,0.0
volume_ma_10,0.0
rvol_10,0.0
atr_14,0.0
atr_20,0.0
volatility_30min,0.0
volume_ma_20,0.0
return,0.0
volume_usd,0.0
high_low_spread_pct,0.0
consecutive_up,0.0
consecutive_down,0.0
vwap,0.0
price_vs_vwap,0.0
volatility_day,0.0
volatility_5d,0.0
intraday_return,0.0
macd,0.0
price_vs_ema20,0.0
price_vs_ema9,0.0
bb_upper,0.0
bb_lower,0.0
bb_pct,0.0
at_prev_quarter_high,0.0
macd_histogram,0.0
at_prev_quarter_low,0.0
broke_prev_quarter_high,0.0
gap_pct,0.0
broke_prev_quarter_low,0.0
pre_range_atr,0.0
strat_combo_id,0.0
strat_candle_id,0.0
strat_setup_int,0.0
