ticker,n_train,n_test,y_test_mean,auc,best_iter
AKAM,350,150,0.5533333333333333,0.6220104297788167,12
COHR,350,150,0.6,0.6133333333333333,17
CEG,350,150,0.4666666666666667,0.6087499999999999,35
BE,350,150,0.5133333333333333,0.5942892723714642,1
DVN,350,150,0.5666666666666667,0.5942081447963801,6
SNPS,350,150,0.5466666666666666,0.5928084648493543,11
SATS,349,150,0.5533333333333333,0.5927890667146196,7
ALAB,350,150,0.5533333333333333,0.5889228556015106,2
MSFT,348,150,0.48,0.5862713675213675,15
ARM,350,150,0.5,0.5844444444444444,7
STX,349,150,0.5733333333333334,0.580577761627907,23
DASH,350,150,0.4533333333333333,0.5768472022955524,1
V,349,150,0.48,0.5742521367521367,3
DELL,350,150,0.5266666666666666,0.572561954002496,5
JNJ,348,150,0.52,0.5721153846153846,1
CVS,350,150,0.54,0.5704956163893362,29
COIN,350,150,0.43333333333333335,0.5697737556561087,3
OKLO,349,150,0.4666666666666667,0.5649107142857143,11
SPY,350,150,0.56,0.5594336219336219,9
HD,349,150,0.48,0.5574252136752137,5
MELI,348,150,0.49333333333333335,0.5568100995732576,2
NET,349,150,0.52,0.5563568376068375,3
APP,350,150,0.5133333333333333,0.553282334104252,19
QCOM,350,150,0.5266666666666666,0.5488500623997148,2
AAPL,350,150,0.54,0.5471461799964215,6
LLY,348,150,0.49333333333333335,0.5455192034139402,4
ACN,350,150,0.48,0.5453169515669515,15
PH,349,150,0.52,0.5450498575498576,17
ASTS,350,150,0.5333333333333333,0.5434821428571428,2
CRM,350,150,0.4866666666666667,0.5429638854296387,2
ETN,350,150,0.5333333333333333,0.5408035714285715,4
BKNG,350,150,0.48,0.5339209401709402,4
IREN,349,150,0.48,0.5329415954415955,6
PFE,349,150,0.52,0.5327635327635327,1
META,348,150,0.52,0.5301816239316239,2
MU,350,150,0.54,0.5293433530148506,2
TXN,350,150,0.52,0.5271545584045584,4
GOOG,350,150,0.5,0.5248,17
CRWV,202,87,0.5517241379310345,0.5240384615384615,4
VST,349,150,0.48,0.5231481481481481,2
OXY,349,150,0.5266666666666666,0.5182742021750758,1
DIS,350,150,0.4666666666666667,0.5164285714285713,6
DDOG,350,150,0.4666666666666667,0.5163392857142857,3
AVGO,350,150,0.5066666666666667,0.5160917496443812,1
LITE,348,150,0.6066666666666667,0.5146209722480909,2
BABA,350,150,0.41333333333333333,0.5131964809384164,7
PYPL,349,150,0.46,0.5119878332438719,1
CSCO,350,150,0.6066666666666667,0.5119202831067238,1
AMAT,350,150,0.6,0.51,5
PDD,350,150,0.47333333333333333,0.5095382421108932,7
PWR,349,150,0.58,0.5093960956029921,5
MPWR,348,150,0.5866666666666667,0.5081561583577713,1
IWM,350,150,0.58,0.5080277321656632,1
NVDA,348,150,0.5066666666666667,0.5080014224751067,4
AMGN,350,150,0.5266666666666666,0.5037439828846497,1
GLW,350,150,0.58,0.503101623791279,1
MRVL,350,150,0.52,0.5026709401709402,2
MCD,348,150,0.4666666666666667,0.5008928571428571,3
MCK,350,150,0.5266666666666666,0.5002674273489035,11
ANET,350,150,0.52,0.500267094017094,1
APH,350,150,0.52,0.5001780626780628,1
AMD,350,150,0.5466666666666666,0.5,1
GILD,350,150,0.5133333333333333,0.5,3
WMT,348,150,0.5333333333333333,0.498125,2
LNG,348,150,0.5,0.49768888888888885,1
IONQ,349,150,0.46,0.4974950796206835,3
SNOW,350,150,0.5066666666666667,0.49599928876244664,1
ABBV,350,150,0.4866666666666667,0.4959082013876534,1
AMZN,350,150,0.5666666666666667,0.4951131221719457,1
PG,349,150,0.5066666666666667,0.4937766714082503,2
PLTR,349,150,0.54,0.49132224011451064,1
AAOI,350,150,0.5466666666666666,0.4905846484935438,1
ADI,350,150,0.5533333333333333,0.48921057363783493,1
ADBE,350,150,0.5,0.4885333333333334,1
JPM,348,150,0.5133333333333333,0.48736879558797364,1
TSM,350,150,0.52,0.48548789173789175,3
SHEL,349,150,0.5533333333333333,0.48516453875202303,1
NU,349,150,0.5066666666666667,0.48310810810810806,1
GOOGL,350,150,0.52,0.4829950142450142,1
MSTR,348,150,0.4533333333333333,0.4800932568149211,1
CRCL,170,73,0.5616438356164384,0.4763719512195122,1
TMUS,349,150,0.4866666666666667,0.4737591175947341,2
COST,350,150,0.49333333333333335,0.4733285917496444,1
SHOP,349,150,0.4866666666666667,0.46859989325742746,1
HIMS,350,150,0.38666666666666666,0.4658920539730135,1
HOOD,350,150,0.4866666666666667,0.46566447251378756,23
ON,349,150,0.5333333333333333,0.46196428571428577,1
SBUX,349,150,0.52,0.4588675213675214,1
RKLB,349,150,0.5333333333333333,0.4555357142857143,1
TJX,347,150,0.5133333333333333,0.4534780288204946,2
KO,348,150,0.5066666666666667,0.452524893314367,1
SMCI,349,150,0.4266666666666667,0.4509447674418605,1
INTU,347,150,0.47333333333333333,0.44847566411124984,1
QQQ,350,150,0.5733333333333334,0.44631177325581395,1
SPOT,349,150,0.46,0.4344247629271784,1
AZO,350,150,0.4866666666666667,0.4327521793275218,1
UBER,349,150,0.47333333333333333,0.4268140488500624,1
NVO,349,150,0.44666666666666666,0.41422406042078763,1
MCHP,348,150,0.5066666666666667,0.40584992887624466,1
NBIS,277,120,0.5083333333333333,0.4055293136982495,1
