window_start,window_end,n,hit_pct,baseline_dir_hit_pct,lift_pp,mean_bps,finding
2016-05-10,2018-05-10,104,100.0,99.36,0.64,615.87,"gate_break CALL, 1d (bull-drift)"
2016-11-10,2018-11-10,143,100.0,99.54,0.46,554.6,"gate_break CALL, 1d (bull-drift)"
2017-05-10,2019-05-10,181,100.0,99.66,0.34,546.14,"gate_break CALL, 1d (bull-drift)"
2017-11-10,2019-11-10,232,100.0,99.75,0.25,520.91,"gate_break CALL, 1d (bull-drift)"
2018-05-10,2020-05-10,237,99.16,97.79,1.37,531.07,"gate_break CALL, 1d (bull-drift)"
2018-11-10,2020-11-10,265,98.49,97.15,1.34,551.48,"gate_break CALL, 1d (bull-drift)"
2019-05-10,2021-05-10,287,98.26,96.78,1.48,546.65,"gate_break CALL, 1d (bull-drift)"
2019-11-10,2021-11-10,309,98.06,96.76,1.29,539.86,"gate_break CALL, 1d (bull-drift)"
2020-05-10,2022-05-10,355,96.34,94.97,1.37,479.61,"gate_break CALL, 1d (bull-drift)"
2020-11-10,2022-11-10,358,94.41,92.74,1.67,421.22,"gate_break CALL, 1d (bull-drift)"
2021-05-10,2023-05-10,410,93.41,92.77,0.64,364.95,"gate_break CALL, 1d (bull-drift)"
2021-11-10,2023-11-10,474,91.56,91.61,-0.05,299.62,"gate_break CALL, 1d (bull-drift)"
2022-05-10,2024-05-10,507,91.32,91.0,0.32,255.45,"gate_break CALL, 1d (bull-drift)"
2022-11-10,2024-11-10,554,87.55,88.47,-0.92,202.25,"gate_break CALL, 1d (bull-drift)"
2023-05-10,2025-05-10,632,81.65,80.63,1.01,152.15,"gate_break CALL, 1d (bull-drift)"
2023-11-10,2025-11-10,630,75.87,74.75,1.12,100.13,"gate_break CALL, 1d (bull-drift)"
2024-05-10,2026-05-10,674,68.55,69.88,-1.33,66.81,"gate_break CALL, 1d (bull-drift)"
2016-05-10,2018-05-10,84,0.0,0.0,0.0,-606.34,"gate_break PUT, 1d (anti-pred)"
2016-11-10,2018-11-10,134,0.75,1.06,-0.31,-546.03,"gate_break PUT, 1d (anti-pred)"
2017-05-10,2019-05-10,176,1.14,1.18,-0.04,-528.72,"gate_break PUT, 1d (anti-pred)"
2017-11-10,2019-11-10,214,0.93,0.93,0.0,-526.37,"gate_break PUT, 1d (anti-pred)"
2018-05-10,2020-05-10,218,4.13,4.62,-0.5,-497.05,"gate_break PUT, 1d (anti-pred)"
2018-11-10,2020-11-10,254,6.3,5.83,0.47,-496.48,"gate_break PUT, 1d (anti-pred)"
2019-05-10,2021-05-10,295,6.44,5.54,0.91,-496.5,"gate_break PUT, 1d (anti-pred)"
2019-11-10,2021-11-10,316,6.01,5.34,0.67,-485.19,"gate_break PUT, 1d (anti-pred)"
2020-05-10,2022-05-10,379,4.49,5.66,-1.17,-463.88,"gate_break PUT, 1d (anti-pred)"
2020-11-10,2022-11-10,404,4.95,6.68,-1.73,-424.06,"gate_break PUT, 1d (anti-pred)"
2021-05-10,2023-05-10,426,5.87,7.89,-2.02,-391.62,"gate_break PUT, 1d (anti-pred)"
2021-11-10,2023-11-10,475,6.74,8.39,-1.65,-331.28,"gate_break PUT, 1d (anti-pred)"
2022-05-10,2024-05-10,483,8.07,8.74,-0.66,-281.03,"gate_break PUT, 1d (anti-pred)"
2022-11-10,2024-11-10,529,9.64,11.13,-1.49,-212.91,"gate_break PUT, 1d (anti-pred)"
2023-05-10,2025-05-10,624,19.71,20.42,-0.71,-134.07,"gate_break PUT, 1d (anti-pred)"
2023-11-10,2025-11-10,692,25.29,28.02,-2.73,-94.33,"gate_break PUT, 1d (anti-pred)"
2024-05-10,2026-05-10,765,29.54,32.78,-3.24,-64.14,"gate_break PUT, 1d (anti-pred)"
2016-05-10,2018-05-10,52,46.15,47.74,-1.59,-1.92,"king_approach CALL, 15m"
2016-11-10,2018-11-10,71,39.44,43.19,-3.76,-4.34,"king_approach CALL, 15m"
2017-05-10,2019-05-10,106,45.28,44.41,0.88,-1.2,"king_approach CALL, 15m"
2017-11-10,2019-11-10,164,49.39,48.73,0.66,0.7,"king_approach CALL, 15m"
2018-05-10,2020-05-10,208,45.19,47.07,-1.88,-4.44,"king_approach CALL, 15m"
2018-11-10,2020-11-10,254,48.43,52.22,-3.8,-3.43,"king_approach CALL, 15m"
2019-05-10,2021-05-10,297,47.47,52.84,-5.37,-5.52,"king_approach CALL, 15m"
2019-11-10,2021-11-10,303,47.52,54.19,-6.66,-6.37,"king_approach CALL, 15m"
2020-05-10,2022-05-10,371,49.6,53.33,-3.74,-3.66,"king_approach CALL, 15m"
2020-11-10,2022-11-10,486,48.56,51.14,-2.58,-3.1,"king_approach CALL, 15m"
2021-05-10,2023-05-10,557,49.37,51.46,-2.09,-1.78,"king_approach CALL, 15m"
2021-11-10,2023-11-10,646,49.07,50.27,-1.2,-1.85,"king_approach CALL, 15m"
2022-05-10,2024-05-10,645,51.47,52.38,-0.91,-0.44,"king_approach CALL, 15m"
2022-11-10,2024-11-10,723,52.28,52.68,-0.39,0.25,"king_approach CALL, 15m"
