window_start,window_end,n,hit_pct,baseline_hit_pct,lift_pp,mean_bps,finding
2016-01-04,2018-01-04,13,53.85,62.19,-8.34,170.88,"212_bear_continuation @ HIGH-VIX, 5d"
2016-07-04,2018-07-04,49,73.47,67.28,6.19,273.29,"212_bear_continuation @ HIGH-VIX, 5d"
2017-01-04,2019-01-04,141,65.96,57.13,8.82,194.77,"212_bear_continuation @ HIGH-VIX, 5d"
2017-07-04,2019-07-04,146,65.07,58.28,6.79,175.99,"212_bear_continuation @ HIGH-VIX, 5d"
2018-01-04,2020-01-04,170,64.12,60.6,3.52,161.41,"212_bear_continuation @ HIGH-VIX, 5d"
2018-07-04,2020-07-04,249,64.26,57.77,6.49,245.57,"212_bear_continuation @ HIGH-VIX, 5d"
2019-01-04,2021-01-04,319,65.83,58.98,6.85,268.62,"212_bear_continuation @ HIGH-VIX, 5d"
2019-07-04,2021-07-04,452,67.7,58.36,9.34,268.17,"212_bear_continuation @ HIGH-VIX, 5d"
2020-01-04,2022-01-04,543,65.01,57.91,7.1,242.29,"212_bear_continuation @ HIGH-VIX, 5d"
2020-07-04,2022-07-04,615,58.54,54.13,4.4,113.95,"212_bear_continuation @ HIGH-VIX, 5d"
2021-01-04,2023-01-04,609,55.83,51.57,4.26,67.43,"212_bear_continuation @ HIGH-VIX, 5d"
2021-07-04,2023-07-04,516,51.55,51.89,-0.34,28.85,"212_bear_continuation @ HIGH-VIX, 5d"
2022-01-04,2024-01-04,427,52.22,51.27,0.96,21.13,"212_bear_continuation @ HIGH-VIX, 5d"
2022-07-04,2024-07-04,234,56.84,54.05,2.79,110.37,"212_bear_continuation @ HIGH-VIX, 5d"
2023-01-04,2025-01-04,131,72.52,65.44,7.08,503.87,"212_bear_continuation @ HIGH-VIX, 5d"
2023-07-04,2025-07-04,197,68.53,64.0,4.53,377.83,"212_bear_continuation @ HIGH-VIX, 5d"
2024-01-04,2026-01-04,224,66.52,63.34,3.17,303.14,"212_bear_continuation @ HIGH-VIX, 5d"
2016-01-04,2018-01-04,9,66.67,62.19,4.48,145.21,"clean_2d_bear @ HIGH-VIX, 5d"
2016-07-04,2018-07-04,54,77.78,67.28,10.5,134.67,"clean_2d_bear @ HIGH-VIX, 5d"
2017-01-04,2019-01-04,126,63.49,57.13,6.36,22.68,"clean_2d_bear @ HIGH-VIX, 5d"
2017-07-04,2019-07-04,136,63.97,58.28,5.69,34.43,"clean_2d_bear @ HIGH-VIX, 5d"
2018-01-04,2020-01-04,182,65.38,60.6,4.79,75.79,"clean_2d_bear @ HIGH-VIX, 5d"
2018-07-04,2020-07-04,218,63.3,57.77,5.53,159.55,"clean_2d_bear @ HIGH-VIX, 5d"
2019-01-04,2021-01-04,311,61.41,58.98,2.44,159.94,"clean_2d_bear @ HIGH-VIX, 5d"
2019-07-04,2021-07-04,398,60.55,58.36,2.19,141.02,"clean_2d_bear @ HIGH-VIX, 5d"
2020-01-04,2022-01-04,416,60.34,57.91,2.43,133.01,"clean_2d_bear @ HIGH-VIX, 5d"
2020-07-04,2022-07-04,568,58.45,54.13,4.32,93.19,"clean_2d_bear @ HIGH-VIX, 5d"
2021-01-04,2023-01-04,574,54.53,51.57,2.96,34.32,"clean_2d_bear @ HIGH-VIX, 5d"
2021-07-04,2023-07-04,570,56.49,51.89,4.6,59.02,"clean_2d_bear @ HIGH-VIX, 5d"
2022-01-04,2024-01-04,528,56.06,51.27,4.79,58.57,"clean_2d_bear @ HIGH-VIX, 5d"
2022-07-04,2024-07-04,289,53.98,54.05,-0.07,20.23,"clean_2d_bear @ HIGH-VIX, 5d"
2023-01-04,2025-01-04,177,71.19,65.44,5.75,260.86,"clean_2d_bear @ HIGH-VIX, 5d"
2023-07-04,2025-07-04,146,63.01,64.0,-0.99,196.95,"clean_2d_bear @ HIGH-VIX, 5d"
2024-01-04,2026-01-04,165,63.64,63.34,0.29,200.53,"clean_2d_bear @ HIGH-VIX, 5d"
2016-01-04,2018-01-04,524,53.24,58.72,-5.48,17.22,"322_bull_continuation, 5d (anti-pred)"
2016-07-04,2018-07-04,623,54.09,57.86,-3.77,32.9,"322_bull_continuation, 5d (anti-pred)"
2017-01-04,2019-01-04,670,52.69,56.19,-3.51,22.58,"322_bull_continuation, 5d (anti-pred)"
2017-07-04,2019-07-04,661,52.8,56.93,-4.13,14.11,"322_bull_continuation, 5d (anti-pred)"
2018-01-04,2020-01-04,669,54.11,55.53,-1.42,19.32,"322_bull_continuation, 5d (anti-pred)"
2018-07-04,2020-07-04,672,54.61,55.66,-1.05,15.76,"322_bull_continuation, 5d (anti-pred)"
