ticker,n_days,min_d,max_d
MSFT,6678,1999-11-01,2026-05-20
MRVL,6512,2000-06-30,2026-05-22
META,3521,2012-05-18,2026-05-20
IWM,2530,2016-05-02,2026-05-22
SPY,2530,2016-05-02,2026-05-22
AVGO,2530,2016-05-02,2026-05-22
GOOG,2530,2016-05-02,2026-05-22
NVDA,2530,2016-05-02,2026-05-22
QQQ,2530,2016-05-02,2026-05-22
ADBE,2529,2016-05-03,2026-05-22
ADI,2529,2016-05-03,2026-05-22
AMZN,2529,2016-05-03,2026-05-22
AAOI,2529,2016-05-03,2026-05-22
APH,2529,2016-05-03,2026-05-22
GLW,2529,2016-05-03,2026-05-22
GOOGL,2529,2016-05-03,2026-05-22
ABBV,2529,2016-05-03,2026-05-22
BKNG,2529,2016-05-03,2026-05-22
WMT,2529,2016-05-02,2026-05-21
QCOM,2529,2016-05-03,2026-05-22
PG,2529,2016-05-02,2026-05-21
AAPL,2529,2016-05-03,2026-05-22
JPM,2528,2016-05-02,2026-05-20
SBUX,2528,2016-05-03,2026-05-21
JNJ,2528,2016-05-02,2026-05-20
LLY,2528,2016-05-02,2026-05-20
STX,2528,2016-05-03,2026-05-21
TMUS,2528,2016-05-03,2026-05-21
V,2528,2016-05-03,2026-05-21
KO,2527,2016-05-03,2026-05-20
LNG,2524,2016-05-06,2026-05-20
ANET,2520,2016-05-16,2026-05-22
ACN,2520,2016-05-16,2026-05-22
AKAM,2520,2016-05-16,2026-05-22
AMAT,2520,2016-05-16,2026-05-22
AMD,2520,2016-05-16,2026-05-22
AMGN,2520,2016-05-16,2026-05-22
BABA,2520,2016-05-16,2026-05-22
COHR,2520,2016-05-16,2026-05-22
CSCO,2520,2016-05-16,2026-05-22
CVS,2520,2016-05-16,2026-05-22
DIS,2520,2016-05-16,2026-05-22
DVN,2520,2016-05-16,2026-05-22
ETN,2520,2016-05-16,2026-05-22
GILD,2520,2016-05-16,2026-05-22
MCK,2520,2016-05-16,2026-05-22
MU,2520,2016-05-16,2026-05-22
TSM,2520,2016-05-16,2026-05-22
TXN,2520,2016-05-16,2026-05-22
ON,2519,2016-05-16,2026-05-21
HD,2519,2016-05-16,2026-05-21
SHEL,2519,2016-05-16,2026-05-21
SATS,2519,2016-05-16,2026-05-21
PYPL,2519,2016-05-16,2026-05-21
PWR,2519,2016-05-16,2026-05-21
PH,2519,2016-05-16,2026-05-21
PFE,2519,2016-05-16,2026-05-21
OXY,2519,2016-05-16,2026-05-21
NVO,2519,2016-05-16,2026-05-21
SMCI,2519,2016-05-16,2026-05-21
SHOP,2519,2016-05-16,2026-05-21
LITE,2518,2016-05-16,2026-05-20
INTU,2518,2016-05-16,2026-05-20
TJX,2518,2016-05-16,2026-05-20
MCD,2518,2016-05-16,2026-05-20
MCHP,2518,2016-05-16,2026-05-20
MPWR,2518,2016-05-16,2026-05-20
MELI,2518,2016-05-16,2026-05-20
MSTR,2518,2016-05-16,2026-05-20
CRM,2515,2016-05-23,2026-05-22
COST,2515,2016-05-23,2026-05-22
SNPS,2515,2016-05-23,2026-05-22
AZO,2515,2016-05-23,2026-05-22
VST,2420,2016-10-04,2026-05-21
NBIS,2408,2016-05-16,2026-05-21
SPOT,2046,2018-04-03,2026-05-21
BE,1968,2018-07-25,2026-05-22
PDD,1967,2018-07-26,2026-05-22
DELL,1864,2018-12-21,2026-05-22
UBER,1768,2019-05-10,2026-05-21
HIMS,1682,2019-09-13,2026-05-22
NET,1681,2019-09-13,2026-05-21
DDOG,1678,2019-09-19,2026-05-22
ASTS,1647,2019-11-01,2026-05-22
SNOW,1428,2020-09-16,2026-05-22
PLTR,1417,2020-09-30,2026-05-21
DASH,1369,2020-12-09,2026-05-22
IONQ,1352,2021-01-04,2026-05-21
COIN,1284,2021-04-14,2026-05-22
APP,1283,2021-04-15,2026-05-22
OKLO,1224,2021-07-08,2026-05-21
HOOD,1210,2021-07-29,2026-05-22
RKLB,1191,2021-08-24,2026-05-21
IREN,1131,2021-11-17,2026-05-21
NU,1116,2021-12-09,2026-05-21
CEG,1080,2022-02-02,2026-05-22
ARM,675,2023-09-14,2026-05-22
ALAB,546,2024-03-20,2026-05-22
CRWV,290,2025-03-28,2026-05-22
CRCL,244,2025-06-04,2026-05-22
