ticker,n_bars,min_d,max_d,n_days
NVDA,583056,2024-01-02,2026-05-22,649
AMD,578966,2024-01-02,2026-05-22,649
AAPL,571987,2024-01-02,2026-05-21,648
MSFT,569922,2024-01-02,2026-05-22,649
AMZN,568936,2024-01-02,2026-05-22,649
GOOGL,568352,2024-01-02,2026-05-22,649
META,564299,2024-01-02,2026-05-22,649
TSM,562878,2024-01-02,2026-05-22,649
COIN,559244,2024-01-02,2026-05-22,649
IONQ,558912,2024-01-02,2026-05-22,649
SMCI,556933,2024-01-02,2026-05-22,649
AVGO,553860,2024-01-02,2026-05-22,649
MU,551770,2024-01-02,2026-05-22,649
BABA,543827,2024-01-02,2026-05-22,649
MSTR,536073,2024-01-02,2026-05-22,627
HOOD,532439,2024-01-02,2026-05-22,649
PFE,529159,2024-01-02,2026-05-22,649
NVO,520398,2024-01-02,2026-05-22,649
KO,519552,2024-01-02,2026-05-22,647
RKLB,515237,2024-01-02,2026-05-22,649
ARM,509970,2024-01-02,2026-05-22,649
LLY,496848,2024-01-02,2026-05-22,649
ASTS,484814,2024-01-02,2026-05-22,649
OXY,480003,2024-01-02,2026-05-22,648
QCOM,479725,2024-01-02,2026-05-22,649
UBER,478331,2024-01-02,2026-05-22,650
PYPL,476773,2024-01-02,2026-05-22,649
MRVL,475994,2024-01-02,2026-05-22,649
HIMS,472582,2024-01-02,2026-05-22,649
WMT,470196,2024-01-02,2026-05-22,649
DIS,458685,2024-01-02,2026-05-22,649
ADBE,453197,2024-01-02,2026-05-21,648
OKLO,445109,2024-05-10,2026-05-22,549
SBUX,444586,2024-01-02,2026-05-22,649
APP,443334,2024-01-02,2026-05-22,648
CRM,442634,2024-01-02,2026-05-22,649
VST,429047,2024-01-02,2026-05-22,650
SHOP,428278,2024-01-02,2026-05-22,649
AMAT,425490,2024-01-02,2026-05-21,648
JPM,422922,2024-01-02,2026-05-22,649
ANET,419831,2024-01-02,2026-05-22,649
NU,402209,2024-01-02,2026-05-22,649
JNJ,396340,2024-01-02,2026-05-22,649
V,395878,2024-01-02,2026-05-22,649
BE,394508,2024-01-02,2026-05-22,649
CEG,389414,2024-01-02,2026-05-22,647
PDD,384429,2024-01-02,2026-05-22,555
CSCO,382709,2024-01-02,2026-05-22,649
ALAB,371250,2024-03-20,2026-05-21,584
MCD,363887,2024-01-02,2026-05-22,648
SPOT,358683,2024-01-02,2026-05-22,649
SHEL,355496,2024-01-02,2026-05-22,649
NET,354898,2024-01-02,2026-05-22,649
DDOG,352101,2024-01-02,2026-05-22,649
HD,349278,2024-01-02,2026-05-22,649
TXN,348355,2024-01-02,2026-05-22,649
ON,345693,2024-01-02,2026-05-22,649
NBIS,345339,2024-10-21,2026-05-22,437
COHR,342079,2024-01-02,2026-05-22,649
DVN,336658,2024-01-02,2026-05-22,649
GLW,334371,2024-01-02,2026-05-22,649
CVS,333054,2024-01-02,2026-05-22,649
ETN,325903,2024-01-02,2026-05-22,649
AAOI,323530,2024-01-02,2026-05-21,648
STX,321628,2024-01-02,2026-05-22,645
DASH,315673,2024-01-02,2026-05-22,648
TMUS,312118,2024-01-02,2026-05-22,648
LITE,310333,2024-01-02,2026-05-22,640
MCHP,308097,2024-01-02,2026-05-22,649
INTU,306702,2024-01-02,2026-05-22,649
ADI,305755,2024-01-02,2026-05-21,643
APH,305433,2024-01-02,2026-05-22,649
AMGN,304545,2024-01-02,2026-05-21,648
GILD,304443,2024-01-02,2026-05-22,649
ACN,302917,2024-01-02,2026-05-21,648
ABBV,301618,2024-04-01,2026-05-21,577
TJX,286109,2024-01-02,2026-05-22,649
LNG,278036,2024-01-02,2026-05-22,649
SATS,270836,2024-01-02,2026-05-22,632
CRWV,268958,2025-03-28,2026-05-22,309
AKAM,252251,2024-01-02,2026-05-21,635
MELI,248114,2024-01-02,2026-05-22,649
CRCL,232840,2025-06-05,2026-05-22,262
GOOG,225642,2024-01-02,2026-04-27,272
MCK,223499,2024-01-02,2026-05-22,649
MPWR,220274,2024-01-02,2026-05-22,643
IREN,217500,2024-01-02,2026-04-27,343
BKNG,172517,2024-01-02,2026-05-22,646
AZO,112146,2024-01-02,2026-05-22,649
SNOW,2458,2026-05-20,2026-05-22,3
DELL,1844,2026-05-21,2026-05-22,2
SNPS,1842,2026-05-20,2026-05-22,3
COST,1612,2026-05-21,2026-05-22,2
PLTR,960,2026-04-27,2026-04-27,1
PG,714,2026-04-27,2026-04-27,1
PWR,645,2026-04-27,2026-04-27,1
