ticker,adv_dollar
SPY,42047075218
NVDA,31145434331
QQQ,29958941548
MU,26038497000
MSFT,13845279820
AMD,13189913526
AAPL,12273888713
AMZN,11061162463
META,10242879179
GOOGL,9741122571
IWM,8296751512
AVGO,7930721079
GOOG,6461082988
PLTR,6387744584
LITE,5334408385
TSM,5136048566
MRVL,3850120521
QCOM,3640293350
CRWV,3231371122
LLY,2944951405
MSTR,2775736863
NBIS,2733997354
AMAT,2643953552
JPM,2614166155
STX,2557737802
BE,2349188262
RKLB,2336439141
CRM,2307944111
V,2275742052
HOOD,2252090826
GLW,2223864853
ARM,2165989829
WMT,2147828712
CSCO,2126492007
IREN,2113446815
APP,2002414380
COHR,1972936524
COIN,1944731563
TXN,1884969164
COST,1864595792
AAOI,1806451280
JNJ,1770803068
CRCL,1704485458
ASTS,1555160796
DELL,1484540843
BABA,1466802063
ANET,1434216864
IONQ,1424218364
HD,1407110797
ADI,1378967155
ABBV,1308126212
BKNG,1282123991
APH,1263509139
PG,1232779680
ADBE,1211079409
SHOP,1204202252
INTU,1159468594
UBER,1152489091
TMUS,1121413408
KO,1106518697
ALAB,1096077319
SNOW,1089096019
MCD,1054516661
SMCI,1033318508
ETN,1017899272
ON,1014980358
ACN,996775863
SPOT,972805510
PFE,952069458
NET,940375437
MELI,939520437
CEG,902500892
OXY,887642309
DIS,883193772
AMGN,879602822
MPWR,876183605
DDOG,870721472
MCHP,858729350
OKLO,857491569
MCK,820132274
AZO,773696362
GILD,770977783
DASH,767521906
SNPS,763173321
PWR,755582969
SATS,743905439
AKAM,743480204
TJX,740034659
LNG,734734070
SBUX,734103253
PDD,732543165
HIMS,731868555
SHEL,715932167
VST,694384630
DVN,687972951
NVO,681718244
PYPL,673033974
CVS,668348107
NU,657998872
PH,655520441
