model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.027,0.0244,0.03,0.5159,-0.2838,0.224,0.465
elasticnet,0.0266,0.0259,0.0281,0.514,0.2634,1.82,0.4826
lasso,0.0264,0.0265,0.0277,0.5137,0.3098,1.966,0.4818
lasso_sparse,0.0271,0.0254,0.0288,0.5145,0.3028,1.898,0.4816
lgbm,0.023,0.0099,0.0202,0.5087,1.136,3.852,0.5066
lgbm_shallow,0.0217,0.0122,0.0204,0.5105,0.361,0.862,0.474
pls10,0.0257,0.0236,0.0282,0.5156,-1.489,-3.968,0.4214
pls5,0.0194,0.0176,0.0242,0.5159,-0.4472,-0.598,0.452
ridge,0.0232,0.0321,0.0238,0.5122,0.331,2.202,0.479
ridge_strong,0.0265,0.0265,0.028,0.5139,0.33,2.04,0.483
