fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate
1,ridge,506016,504929,0.0233,0.0134,0.5067,-2.598,-2.86,0.319
1,lasso,506016,504929,0.024,0.0128,0.5063,-2.578,-2.83,0.33
1,lgbm,506016,504929,0.0119,0.008,0.5039,-2.612,-2.77,0.342
2,ridge,1010901,505066,0.0357,0.0076,0.5039,0.825,1.48,0.46
2,lasso,1010901,505066,0.0362,0.0079,0.5038,1.022,1.83,0.455
2,lgbm,1010901,505066,0.0193,0.0009,0.4986,1.392,3.51,0.46
3,ridge,1515868,505893,-0.0005,-0.01,0.4935,4.361,6.34,0.577
3,lasso,1515868,505893,-0.0004,-0.0111,0.4926,4.57,7.0,0.603
3,lgbm,1515868,505893,0.0089,0.0099,0.505,-2.596,-4.05,0.365
4,ridge,2022199,500982,0.0287,0.0099,0.5028,-3.217,-3.25,0.363
4,lasso,2022199,500982,0.0293,0.0093,0.5023,-2.863,-2.89,0.367
4,lgbm,2022199,500982,0.0121,0.0064,0.5008,-5.979,-7.47,0.201
5,ridge,2522577,413235,0.009,0.0075,0.5034,-2.434,-2.86,0.332
5,lasso,2522577,413235,0.0073,0.0078,0.503,-1.658,-1.98,0.363
5,lgbm,2522577,413235,-0.0005,0.0065,0.5009,-3.841,-6.41,0.292
