ticker,prev_strat_candle,strat_candle,n,mean_bps,std_bps,hit_pct
IWM,1,1,395,1.2174141995731458,73.39528518616422,51.89873417721519
IWM,1,2D,1652,-0.0035417900639884,86.64220430730492,52.96610169491526
IWM,1,2U,1916,1.792879262416893,79.57630978653552,52.92275574112735
IWM,1,3,629,7.338138821703935,94.76229450370828,54.8489666136725
IWM,2D,1,1809,2.2415278648235475,82.82149991710651,51.741293532338304
IWM,2D,2D,5627,3.801174652443452,92.1234205734444,52.07037497778567
IWM,2D,2U,3940,-0.0908017369447095,91.72288767900392,51.26903553299492
IWM,2D,3,1064,-0.3228978255712232,97.80737215943093,51.50375939849624
IWM,2U,1,1799,1.80370859652396,77.11075890702175,52.8627015008338
IWM,2U,2D,3981,2.590536772781416,88.06860163183282,52.52449133383572
IWM,2U,2U,6625,1.89168539755332,82.46535323017106,52.12075471698113
IWM,2U,3,1273,2.33799244322833,94.19085844896142,52.16025137470543
IWM,3,1,589,-2.611551628007306,85.05688813986286,51.273344651952456
IWM,3,2D,1179,3.16622857374709,87.64614365106728,51.99321458863444
IWM,3,2U,1197,3.072086932675305,94.61494505535026,52.464494569757726
IWM,3,3,152,-7.171952591253909,98.65288458455052,43.42105263157895
IWM,X,2D,1,-1.816757315287044,,0.0
QQQ,1,1,313,-2.041774661789471,67.29339173182088,54.63258785942492
QQQ,1,2D,1548,6.432428967170706,78.12502020604084,57.10594315245479
QQQ,1,2U,1861,1.6777144575220873,78.32553420147767,54.27189682966147
QQQ,1,3,600,2.6038317262436523,82.71353218830326,56.00000000000001
QQQ,2D,1,1703,2.3907862087566905,80.900175121741,54.844392248972405
QQQ,2D,2D,5250,2.280660379413344,87.35561219238387,53.52380952380953
QQQ,2D,2U,3968,2.319515352239768,78.51829995106421,55.065524193548384
QQQ,2D,3,977,8.133325740008269,95.85575596278068,56.90890481064484
QQQ,2U,1,1732,3.207026935376306,69.82211688994322,55.65819861431871
QQQ,2U,2D,3972,1.9817799472329929,80.69106348527114,55.48841893252769
QQQ,2U,2U,7048,3.531407076839703,75.37362110990048,56.68274687854711
QQQ,2U,3,1344,4.872909472301124,82.35267815360051,57.14285714285714
QQQ,3,1,574,8.653372170186765,81.07321878574831,59.7560975609756
QQQ,3,2D,1127,3.989507239741795,87.85468237081159,56.07808340727596
QQQ,3,2U,1220,5.119365586147973,78.04619395071694,55.9016393442623
QQQ,3,3,144,7.82109361503212,89.33837984491217,56.94444444444444
QQQ,X,2D,1,26.673447157191408,,100.0
SPY,1,1,285,0.3040593005516934,49.14523575599876,52.28070175438596
SPY,1,2D,1500,1.9626860720350088,63.86928541506474,55.8
SPY,1,2U,1773,0.4635458333980122,58.72096484672094,53.97631133671743
SPY,1,3,579,5.601108479991643,65.10983591953608,55.44041450777202
SPY,2D,1,1641,2.513086257590863,63.24777712789784,55.45399146861669
SPY,2D,2D,5391,2.3428229206300624,73.59704367413377,54.92487479131887
SPY,2D,2U,3984,2.335819144159464,63.979478196146886,54.3925702811245
SPY,2D,3,1029,3.3928271904589176,81.681128369912,55.00485908649174
SPY,2U,1,1668,1.9330016390378189,55.32916121252817,55.2757793764988
SPY,2U,2D,4019,2.8466137029297154,65.21255695319684,55.23762129883056
SPY,2U,2U,6921,2.32398709511671,59.06227210993991,56.23464817222945
SPY,2U,3,1342,3.5034927463741594,66.00524846328189,55.14157973174366
SPY,3,1,543,3.4483250848143374,61.17355541804488,56.9060773480663
SPY,3,2D,1134,3.955809791786431,68.04777629999016,54.93827160493827
SPY,3,2U,1272,2.361532086624815,67.54648840041236,55.11006289308176
SPY,3,3,143,-1.729149580929306,79.76607984695914,56.64335664335665
SPY,X,2D,1,-2.497748197527987,,0.0
