ticker,strat_combo,feature,n,pearson,spearman
IWM,111_inside_compression,rsi_9,103,-0.1436,-0.183
IWM,111_inside_compression,rsi_14,103,-0.1866,-0.2006
IWM,111_inside_compression,stoch_rsi_k,103,0.0364,0.062
IWM,111_inside_compression,stoch_rsi_d,103,-0.0054,-0.0027
IWM,111_inside_compression,ema_9,103,0.0306,0.1639
IWM,111_inside_compression,ema_20,103,0.0313,0.1652
IWM,111_inside_compression,ema_50,103,0.0322,0.1672
IWM,111_inside_compression,sma_50,103,0.0333,0.1692
IWM,111_inside_compression,sma_200,102,0.0142,0.1466
IWM,111_inside_compression,macd,103,-0.1393,-0.2077
IWM,111_inside_compression,macd_signal,103,-0.1193,-0.2315
IWM,111_inside_compression,macd_histogram,103,-0.0334,-0.0211
IWM,111_inside_compression,atr_14,103,0.103,0.2909
IWM,111_inside_compression,bb_upper,103,0.0336,0.1645
IWM,111_inside_compression,bb_lower,103,0.0288,0.165
IWM,111_inside_compression,bb_width,103,0.2278,0.273
IWM,111_inside_compression,bb_pct,103,-0.1514,-0.1695
IWM,111_inside_compression,obv,103,-0.1235,0.0395
IWM,111_inside_compression,rvol,103,0.3986,0.2246
IWM,111_inside_compression,rvol_10,103,0.4096,0.1575
IWM,111_inside_compression,vwap,103,0.031,0.163
IWM,111_inside_compression,price_vs_vwap,103,-0.0461,-0.0852
IWM,111_inside_compression,price_vs_ema9,103,-0.1237,-0.1576
IWM,111_inside_compression,price_vs_ema20,103,-0.1457,-0.198
IWM,111_inside_compression,consecutive_up,103,0.1191,0.1106
IWM,111_inside_compression,consecutive_down,103,-0.1,-0.0943
IWM,111_inside_compression,intraday_return,103,0.0612,-0.0289
IWM,111_inside_compression,high_low_spread_pct,103,0.3326,0.2735
IWM,111_inside_compression,vix_close,103,0.2521,0.2852
IWM,111_inside_compression,total_gex,103,-0.2156,-0.2735
IWM,111_inside_compression,total_vex,103,0.0424,-0.138
IWM,111_inside_compression,distance_to_king_pct,103,0.1086,0.1784
IWM,111_inside_compression,distance_to_gate_pct,101,-0.0604,0.0572
IWM,11_inside_compression,rsi_9,1956,0.0057,-0.015
IWM,11_inside_compression,rsi_14,1956,0.0035,-0.0227
IWM,11_inside_compression,stoch_rsi_k,1956,-0.0007,-0.0103
IWM,11_inside_compression,stoch_rsi_d,1956,0.0024,-0.0106
IWM,11_inside_compression,ema_9,1956,-0.018,-0.0369
IWM,11_inside_compression,ema_20,1956,-0.0179,-0.0369
IWM,11_inside_compression,ema_50,1956,-0.018,-0.0368
IWM,11_inside_compression,sma_50,1956,-0.0177,-0.0365
IWM,11_inside_compression,sma_200,1954,-0.02,-0.0394
IWM,11_inside_compression,macd,1956,-0.0098,-0.0425
IWM,11_inside_compression,macd_signal,1956,-0.0084,-0.0433
IWM,11_inside_compression,macd_histogram,1956,-0.0062,-0.0058
IWM,11_inside_compression,atr_14,1956,-0.0075,-0.004
IWM,11_inside_compression,bb_upper,1956,-0.0176,-0.0363
IWM,11_inside_compression,bb_lower,1956,-0.0183,-0.0369
IWM,11_inside_compression,bb_width,1956,0.0204,0.0002
IWM,11_inside_compression,bb_pct,1956,0.0077,-0.0105
IWM,11_inside_compression,obv,1956,-0.0063,-0.0352
IWM,11_inside_compression,rvol,1956,0.0201,0.0278
IWM,11_inside_compression,rvol_10,1956,0.0058,0.0212
IWM,11_inside_compression,vwap,1956,-0.0183,-0.0371
IWM,11_inside_compression,price_vs_vwap,1956,0.0143,-0.0026
IWM,11_inside_compression,price_vs_ema9,1956,-0.0245,-0.0013
IWM,11_inside_compression,price_vs_ema20,1956,-0.025,-0.0206
IWM,11_inside_compression,consecutive_up,1956,0.016,0.0178
IWM,11_inside_compression,consecutive_down,1956,-0.0209,-0.0071
IWM,11_inside_compression,intraday_return,1956,-0.0108,0.0088
IWM,11_inside_compression,high_low_spread_pct,1956,-0.0133,0.0114
IWM,11_inside_compression,vix_close,1956,-0.0474,-0.0271
IWM,11_inside_compression,total_gex,1954,0.0267,0.0109
IWM,11_inside_compression,total_vex,1954,0.0029,0.0404
IWM,11_inside_compression,flip_price,457,0.0631,0.0517
IWM,11_inside_compression,distance_to_king_pct,1954,0.0312,0.0078
IWM,11_inside_compression,distance_to_gate_pct,1909,-0.0012,-0.0226
IWM,132_bear_continuation,rsi_9,1429,0.0414,0.0223
IWM,132_bear_continuation,rsi_14,1429,0.0419,0.0295
IWM,132_bear_continuation,stoch_rsi_k,1429,0.0145,0.0038
IWM,132_bear_continuation,stoch_rsi_d,1429,0.0208,0.0044
IWM,132_bear_continuation,ema_9,1429,0.0153,-0.0098
IWM,132_bear_continuation,ema_20,1429,0.015,-0.01
IWM,132_bear_continuation,ema_50,1429,0.0146,-0.0103
IWM,132_bear_continuation,sma_50,1429,0.0143,-0.0104
IWM,132_bear_continuation,sma_200,1429,0.014,-0.0102
IWM,132_bear_continuation,macd,1429,0.0465,0.0385
IWM,132_bear_continuation,macd_signal,1429,0.0429,0.0425
IWM,132_bear_continuation,macd_histogram,1429,0.0189,0.0015
IWM,132_bear_continuation,atr_14,1429,-0.0603,-0.0144
IWM,132_bear_continuation,bb_upper,1429,0.0146,-0.01
IWM,132_bear_continuation,bb_lower,1429,0.0154,-0.0103
IWM,132_bear_continuation,bb_width,1429,-0.0215,0.0052
IWM,132_bear_continuation,bb_pct,1429,0.0468,0.0254
IWM,132_bear_continuation,obv,1429,-0.0057,-0.0211
IWM,132_bear_continuation,rvol,1429,0.0104,-0.0064
IWM,132_bear_continuation,rvol_10,1429,-0.0047,0.0066
IWM,132_bear_continuation,vwap,1429,0.0149,-0.0101
IWM,132_bear_continuation,price_vs_vwap,1429,0.0723,0.0332
IWM,132_bear_continuation,price_vs_ema9,1429,0.0781,-0.0117
IWM,132_bear_continuation,price_vs_ema20,1429,0.0758,0.008
IWM,132_bear_continuation,consecutive_up,1429,0.0348,-0.0008
IWM,132_bear_continuation,consecutive_down,1429,-0.0454,-0.0145
IWM,132_bear_continuation,intraday_return,1429,0.0331,-0.023
IWM,132_bear_continuation,high_low_spread_pct,1429,-0.1002,-0.0052
IWM,132_bear_continuation,vix_close,1429,-0.1085,-0.0391
IWM,132_bear_continuation,total_gex,1428,0.0662,0.0664
IWM,132_bear_continuation,total_vex,1428,0.0024,0.0148
IWM,132_bear_continuation,flip_price,358,0.1636,0.0812
IWM,132_bear_continuation,distance_to_king_pct,1428,0.0172,0.0058
IWM,132_bear_continuation,distance_to_gate_pct,1391,-0.0034,-0.0146
IWM,132_bull_continuation,rsi_9,1574,-0.0319,-0.0386
IWM,132_bull_continuation,rsi_14,1574,-0.02,-0.0191
IWM,132_bull_continuation,stoch_rsi_k,1574,-0.0393,-0.0481
IWM,132_bull_continuation,stoch_rsi_d,1574,-0.0388,-0.0576
IWM,132_bull_continuation,ema_9,1574,0.017,0.0075
IWM,132_bull_continuation,ema_20,1574,0.017,0.0076
IWM,132_bull_continuation,ema_50,1574,0.0168,0.0072
IWM,132_bull_continuation,sma_50,1574,0.0168,0.0073
IWM,132_bull_continuation,sma_200,1573,0.0154,0.0068
IWM,132_bull_continuation,macd,1574,0.0048,0.0199
IWM,132_bull_continuation,macd_signal,1574,0.0205,0.0242
IWM,132_bull_continuation,macd_histogram,1574,-0.0517,-0.0575
IWM,132_bull_continuation,atr_14,1574,-0.0032,0.0105
IWM,132_bull_continuation,bb_upper,1574,0.0169,0.0079
IWM,132_bull_continuation,bb_lower,1574,0.0173,0.0079
IWM,132_bull_continuation,bb_width,1574,-0.0106,-0.001
IWM,132_bull_continuation,bb_pct,1574,-0.019,-0.0323
IWM,132_bull_continuation,obv,1574,0.0217,0.0122
IWM,132_bull_continuation,rvol,1574,-0.0387,-0.0222
IWM,132_bull_continuation,rvol_10,1574,-0.0446,-0.0232
IWM,132_bull_continuation,vwap,1574,0.0169,0.0074
IWM,132_bull_continuation,price_vs_vwap,1574,-0.016,-0.0049
IWM,132_bull_continuation,price_vs_ema9,1574,-0.0458,-0.0218
IWM,132_bull_continuation,price_vs_ema20,1574,-0.0248,-0.0119
IWM,132_bull_continuation,consecutive_up,1574,-0.0131,-0.0043
IWM,132_bull_continuation,consecutive_down,1574,0.0063,-0.0006
IWM,132_bull_continuation,intraday_return,1574,0.0475,0.0161
IWM,132_bull_continuation,high_low_spread_pct,1574,-0.0292,0.0059
IWM,132_bull_continuation,vix_close,1574,-0.0388,0.0093
IWM,132_bull_continuation,total_gex,1571,-0.0175,-0.0275
IWM,132_bull_continuation,total_vex,1571,-0.0224,-0.0093
IWM,132_bull_continuation,flip_price,327,0.0592,0.0285
IWM,132_bull_continuation,distance_to_king_pct,1571,0.0029,-0.0028
IWM,132_bull_continuation,distance_to_gate_pct,1522,0.029,0.0098
IWM,212_bear_continuation,rsi_9,3749,0.0015,-0.0081
IWM,212_bear_continuation,rsi_14,3749,-0.0051,-0.0108
IWM,212_bear_continuation,stoch_rsi_k,3749,0.0266,0.0262
IWM,212_bear_continuation,stoch_rsi_d,3749,0.0199,0.0211
IWM,212_bear_continuation,ema_9,3749,-0.0195,-0.018
IWM,212_bear_continuation,ema_20,3749,-0.0193,-0.0179
IWM,212_bear_continuation,ema_50,3749,-0.0189,-0.0177
IWM,212_bear_continuation,sma_50,3749,-0.0187,-0.0176
IWM,212_bear_continuation,sma_200,3747,-0.0183,-0.0178
IWM,212_bear_continuation,macd,3749,-0.0379,-0.0114
IWM,212_bear_continuation,macd_signal,3749,-0.0462,-0.0104
IWM,212_bear_continuation,macd_histogram,3749,0.0185,-0.0003
IWM,212_bear_continuation,atr_14,3749,-0.0436,-0.0116
IWM,212_bear_continuation,bb_upper,3749,-0.0193,-0.0176
IWM,212_bear_continuation,bb_lower,3749,-0.0193,-0.0178
IWM,212_bear_continuation,bb_width,3749,-0.0054,0.0053
IWM,212_bear_continuation,bb_pct,3749,0.0069,-0.0018
