feature,gain
vix_close,74460309.59008789
rvol,50676236.30316162
rvol_10,36866484.42150879
atr_14,28417200.056030277
distance_to_gate_pct,27671828.125
macd_signal,26660500.26867676
distance_to_king_pct,26448898.104492188
price_vs_vwap,26168776.12512207
total_vex,18532408.728027344
obv,16893116.774902344
high_low_spread_pct,15598101.913085938
macd,15338526.377563477
macd_histogram,15142483.42211914
sma_200,14928428.438354492
stoch_rsi_k,13631129.020996094
stoch_rsi_d,12761272.216308594
total_gex,12582868.510498049
price_vs_ema20,11256241.477539062
bb_lower,10421946.382080078
bb_width,10373822.15649414
ema_20,10298692.58203125
rsi_14,9528956.275146484
bb_upper,8815117.475097656
ema_50,8104714.808105469
ema_9,7317930.563964844
sma_50,7198366.200256348
vwap,6942617.835449219
rsi_9,6829398.415283203
price_vs_ema9,5563403.513793945
intraday_return,5472352.249755859
bb_pct,5451125.291442871
flip_price,4323411.669921875
dealer_regime_GEX_MID_VEX_HIGH,1351971.4931640625
vex_tercile_MID,1017484.8662109376
dealer_regime_GEX_LOW_VEX_MID,841817.8935546875
consecutive_up,804208.5
dealer_regime_GEX_MID_VEX_MID,795408.9860839844
dealer_regime_GEX_HIGH_VEX_HIGH,741633.1015625
gamma_regime_positive_gamma,648553.701171875
consecutive_down,525194.896484375
gex_tercile_MID,521269.24072265625
strat_candle_2U,520535.4799804688
dealer_regime_GEX_MID_VEX_LOW,479451.900390625
dealer_regime_GEX_LOW_VEX_LOW,401397.103515625
vex_tercile_HIGH,351648.59765625
strat_combo_22_bull_continuation,332782.0
gex_tercile_LOW,300538.998046875
strat_candle_2D,244742.8984375
vex_tercile_LOW,204848.9267578125
strat_combo_none,151798.30078125
