ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,11_inside_compression,GEX_HIGH_VEX_HIGH,37,51.35,35.14,70.27,-11.39,68.91
IWM,11_inside_compression,GEX_HIGH_VEX_LOW,42,54.76,42.86,69.05,-6.26,83.17
IWM,11_inside_compression,GEX_HIGH_VEX_MID,30,73.33,56.67,90.0,47.16,93.1
IWM,212_bear_continuation,GEX_HIGH_VEX_HIGH,30,46.67,30.0,66.67,7.36,66.16
IWM,212_bear_continuation,GEX_HIGH_VEX_LOW,45,51.11,37.78,66.67,-12.03,80.62
IWM,212_bear_continuation,GEX_HIGH_VEX_MID,38,65.79,52.63,78.95,34.26,107.16
IWM,212_bear_continuation,GEX_LOW_VEX_LOW,39,48.72,33.33,64.1,41.72,142.07
IWM,212_bear_continuation,GEX_LOW_VEX_MID,42,47.62,30.95,64.29,-19.08,116.94
IWM,212_bear_continuation,GEX_MID_VEX_HIGH,44,56.82,43.18,72.73,20.15,91.94
IWM,212_bear_continuation,GEX_MID_VEX_LOW,32,53.12,34.38,68.75,20.8,116.65
IWM,212_bear_reversal,GEX_HIGH_VEX_HIGH,67,52.24,41.01,64.96,-7.35,88.35
IWM,212_bear_reversal,GEX_HIGH_VEX_LOW,68,39.71,26.47,51.47,-14.15,96.43
IWM,212_bear_reversal,GEX_HIGH_VEX_MID,36,58.33,41.67,75.0,4.26,110.36
IWM,212_bear_reversal,GEX_LOW_VEX_HIGH,34,55.88,38.24,70.59,17.54,95.63
IWM,212_bear_reversal,GEX_LOW_VEX_LOW,78,53.85,42.31,65.38,9.31,116.84
IWM,212_bear_reversal,GEX_LOW_VEX_MID,54,59.26,46.3,72.22,42.99,132.52
IWM,212_bear_reversal,GEX_MID_VEX_HIGH,69,47.83,37.68,58.73,-23.7,158.04
IWM,212_bear_reversal,GEX_MID_VEX_LOW,36,47.22,30.56,65.35,16.97,150.43
IWM,212_bear_reversal,GEX_MID_VEX_MID,48,58.33,43.75,72.92,16.6,123.59
IWM,212_bull_continuation,GEX_HIGH_VEX_HIGH,33,48.48,30.3,63.64,0.86,60.81
IWM,212_bull_continuation,GEX_HIGH_VEX_LOW,45,46.67,33.33,60.0,-13.79,88.35
IWM,212_bull_continuation,GEX_HIGH_VEX_MID,37,43.24,27.03,59.46,-4.56,95.43
IWM,212_bull_continuation,GEX_LOW_VEX_LOW,45,35.56,22.22,51.11,-30.27,96.79
IWM,212_bull_continuation,GEX_LOW_VEX_MID,40,45.0,30.0,60.0,-0.57,126.08
IWM,212_bull_continuation,GEX_MID_VEX_HIGH,44,52.27,38.64,65.91,15.25,118.29
IWM,212_bull_continuation,GEX_MID_VEX_MID,32,50.0,31.25,67.27,-14.15,116.9
IWM,212_bull_reversal,GEX_HIGH_VEX_HIGH,88,57.95,47.73,68.18,3.02,71.22
IWM,212_bull_reversal,GEX_HIGH_VEX_LOW,86,47.67,38.37,57.59,-0.81,114.98
IWM,212_bull_reversal,GEX_HIGH_VEX_MID,54,66.67,53.7,79.63,9.04,140.31
IWM,212_bull_reversal,GEX_LOW_VEX_HIGH,36,58.33,41.67,75.0,14.45,84.42
IWM,212_bull_reversal,GEX_LOW_VEX_LOW,72,51.39,40.28,62.5,2.24,136.68
IWM,212_bull_reversal,GEX_LOW_VEX_MID,65,50.77,38.46,63.08,-14.09,136.6
IWM,212_bull_reversal,GEX_MID_VEX_HIGH,82,50.0,40.24,62.2,22.14,120.69
IWM,212_bull_reversal,GEX_MID_VEX_LOW,40,52.5,37.5,67.5,-3.61,121.38
IWM,212_bull_reversal,GEX_MID_VEX_MID,60,48.33,35.0,61.67,-9.49,100.6
IWM,22_bear_continuation,GEX_HIGH_VEX_HIGH,253,54.55,47.83,60.29,3.9,86.73
IWM,22_bear_continuation,GEX_HIGH_VEX_LOW,313,49.52,44.09,54.8,-1.47,101.33
IWM,22_bear_continuation,GEX_HIGH_VEX_MID,179,54.75,48.04,61.75,7.93,147.15
IWM,22_bear_continuation,GEX_LOW_VEX_HIGH,161,49.69,42.86,57.14,-2.64,82.0
IWM,22_bear_continuation,GEX_LOW_VEX_LOW,424,49.53,45.05,54.25,-3.34,129.09
IWM,22_bear_continuation,GEX_LOW_VEX_MID,366,52.46,47.54,57.52,9.72,147.39
IWM,22_bear_continuation,GEX_MID_VEX_HIGH,445,50.11,45.62,54.61,-0.92,153.87
IWM,22_bear_continuation,GEX_MID_VEX_LOW,166,54.82,47.88,62.65,7.78,103.06
IWM,22_bear_continuation,GEX_MID_VEX_MID,289,51.56,45.33,57.79,10.13,122.75
IWM,22_bear_reversal,GEX_HIGH_VEX_HIGH,285,54.04,48.07,59.48,2.92,76.35
IWM,22_bear_reversal,GEX_HIGH_VEX_LOW,253,46.25,40.32,53.17,1.02,98.99
IWM,22_bear_reversal,GEX_HIGH_VEX_MID,205,51.22,44.88,58.3,4.27,137.23
IWM,22_bear_reversal,GEX_LOW_VEX_HIGH,134,56.72,48.51,64.93,15.04,90.58
IWM,22_bear_reversal,GEX_LOW_VEX_LOW,300,50.33,44.49,55.84,-2.05,134.11
