model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.034,0.0133,0.0433,0.5213,1.1686,4.742,0.5148
elasticnet,0.0375,0.0152,0.0468,0.5222,1.3138,5.478,0.5286
lasso,0.0373,0.0159,0.0466,0.5221,1.1708,5.092,0.5292
lasso_sparse,0.0383,0.0152,0.0468,0.5225,1.52,6.294,0.533
lgbm,0.0279,0.0194,0.026,0.5146,3.1512,12.684,0.5852
lgbm_shallow,0.0282,0.0183,0.0265,0.5162,2.3662,10.0,0.5624
pls10,0.0314,0.0181,0.0408,0.5206,0.5952,2.458,0.5022
pls5,0.0221,0.0147,0.0294,0.5159,0.2234,0.956,0.484
ridge,0.0366,0.0178,0.0455,0.5218,1.0062,4.6,0.5262
ridge_strong,0.0374,0.0154,0.0465,0.5221,1.3136,5.46,0.5302
