model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.024,0.0339,0.0226,0.513,-2.0424,-5.89,0.4042
elasticnet,0.0202,0.0328,0.0231,0.5125,-2.3266,-7.778,0.3946
lasso,0.0274,0.0383,0.0317,0.5161,-2.379,-8.004,0.391
lasso_sparse,0.028,0.0385,0.0324,0.5159,-1.988,-6.554,0.4006
lgbm,0.0292,0.012,0.0218,0.5126,2.4814,10.276,0.5688
lgbm_shallow,0.0402,0.0212,0.0329,0.5166,2.1216,8.956,0.555
pls10,0.0233,0.0298,0.0233,0.5122,-2.3126,-7.686,0.4006
pls5,0.0229,0.0343,0.0218,0.5114,-1.9314,-4.898,0.4024
ridge,0.0224,0.0349,0.0264,0.5141,-2.425,-8.116,0.3918
ridge_strong,0.0226,0.0338,0.0261,0.5138,-2.2536,-7.582,0.3986
