model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0431,0.0388,0.0443,0.5217,-1.7456,-3.626,0.4038
elasticnet,0.0476,0.0429,0.0465,0.5211,-1.0474,-2.178,0.4226
lasso,0.0469,0.0425,0.0458,0.5208,-1.0676,-2.228,0.4224
lasso_sparse,0.047,0.0427,0.0467,0.5215,-1.2162,-2.506,0.418
lgbm,0.0257,0.0304,0.0317,0.5156,1.6672,4.92,0.5304
lgbm_shallow,0.0284,0.0368,0.0437,0.5202,0.6714,1.506,0.4988
pls10,0.0404,0.0365,0.0413,0.5204,-2.1912,-5.17,0.3886
pls5,0.0282,0.0334,0.0311,0.5157,-2.326,-5.19,0.3892
ridge,0.0453,0.0439,0.0442,0.52,-0.7254,-1.282,0.431
ridge_strong,0.0477,0.043,0.0467,0.5212,-1.064,-2.26,0.4188
