ticker,tf,model,mean_ic,mean_rank_ic,mean_ls_sharpe,mean_ls_bps,mean_ls_win
SPY,15m,bayes_ridge,0.0431,0.0443,-1.7456,-3.626,0.4038
SPY,15m,elasticnet,0.0476,0.0465,-1.0474,-2.178,0.4226
SPY,15m,lasso,0.0469,0.0458,-1.0676,-2.228,0.4224
SPY,15m,lasso_sparse,0.047,0.0467,-1.2162,-2.506,0.418
SPY,15m,lgbm,0.0257,0.0317,1.6672,4.92,0.5304
SPY,15m,lgbm_shallow,0.0284,0.0437,0.6714,1.506,0.4988
SPY,15m,pls10,0.0404,0.0413,-2.1912,-5.17,0.3886
SPY,15m,pls5,0.0282,0.0311,-2.326,-5.19,0.3892
SPY,15m,ridge,0.0453,0.0442,-0.7254,-1.282,0.431
SPY,15m,ridge_strong,0.0477,0.0467,-1.064,-2.26,0.4188
SPY,30m,bayes_ridge,0.0463,0.0504,-0.0888,1.092,0.4518
SPY,30m,elasticnet,0.0536,0.0534,-1.8034,-5.804,0.395
SPY,30m,lasso,0.0517,0.0511,-1.9242,-6.364,0.3882
SPY,30m,lasso_sparse,0.0536,0.0535,-1.8426,-5.938,0.3956
SPY,30m,lgbm,0.0226,0.0293,1.1704,3.95,0.51
SPY,30m,lgbm_shallow,0.0511,0.0454,0.6382,2.57,0.4764
SPY,30m,pls10,0.0484,0.05,0.0972,1.624,0.4572
SPY,30m,pls5,0.0398,0.0445,0.5654,2.536,0.4684
SPY,30m,ridge,0.0532,0.0528,-2.0238,-6.578,0.3874
SPY,30m,ridge_strong,0.0539,0.0539,-1.8132,-5.722,0.3972
SPY,60m,bayes_ridge,0.0559,0.0365,,,
SPY,60m,elasticnet,0.058,0.0384,,,
SPY,60m,lasso,0.0561,0.0361,,,
SPY,60m,lasso_sparse,0.0563,0.0363,,,
SPY,60m,lgbm,0.0511,0.0389,,,
SPY,60m,lgbm_shallow,0.0229,0.0303,,,
SPY,60m,pls10,0.0546,0.0341,,,
SPY,60m,pls5,0.0446,0.0323,,,
SPY,60m,ridge,0.0575,0.0374,,,
SPY,60m,ridge_strong,0.0581,0.0386,,,
IWM,15m,bayes_ridge,0.034,0.0433,1.1686,4.742,0.5148
IWM,15m,elasticnet,0.0375,0.0468,1.3138,5.478,0.5286
IWM,15m,lasso,0.0373,0.0466,1.1708,5.092,0.5292
IWM,15m,lasso_sparse,0.0383,0.0468,1.52,6.294,0.533
IWM,15m,lgbm,0.0279,0.026,3.1512,12.684,0.5852
IWM,15m,lgbm_shallow,0.0282,0.0265,2.3662,10.0,0.5624
IWM,15m,pls10,0.0314,0.0408,0.5952,2.458,0.5022
IWM,15m,pls5,0.0221,0.0294,0.2234,0.956,0.484
IWM,15m,ridge,0.0366,0.0455,1.0062,4.6,0.5262
IWM,15m,ridge_strong,0.0374,0.0465,1.3136,5.46,0.5302
IWM,30m,bayes_ridge,0.0423,0.0543,1.3514,6.368,0.5462
IWM,30m,elasticnet,0.0474,0.061,0.8472,4.156,0.5198
IWM,30m,lasso,0.0474,0.0613,0.6386,3.318,0.514
IWM,30m,lasso_sparse,0.048,0.0616,0.8508,4.26,0.5184
IWM,30m,lgbm,0.0334,0.0259,3.244,15.794,0.5922
IWM,30m,lgbm_shallow,0.036,0.033,2.1386,11.838,0.57
IWM,30m,pls10,0.0384,0.0522,1.5098,7.268,0.5598
IWM,30m,pls5,0.0274,0.0395,0.113,1.004,0.5114
IWM,30m,ridge,0.0472,0.0611,0.6422,3.212,0.5156
IWM,30m,ridge_strong,0.0474,0.0605,1.0132,4.782,0.5268
IWM,60m,bayes_ridge,0.0217,0.0259,,,
IWM,60m,elasticnet,0.0302,0.0372,,,
IWM,60m,lasso,0.03,0.0368,,,
IWM,60m,lasso_sparse,0.0302,0.0372,,,
IWM,60m,lgbm,0.0603,0.0584,,,
IWM,60m,lgbm_shallow,0.039,0.0399,,,
IWM,60m,pls10,0.0228,0.028,,,
IWM,60m,pls5,0.0132,0.024,,,
IWM,60m,ridge,0.0304,0.0372,,,
IWM,60m,ridge_strong,0.0307,0.0375,,,
