ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
IWM,09:45,6hp7l,TIGHT,0.684,0.260,0.029,0.027,TIGHT,0.186
IWM,09:45,c49qf,TIGHT,0.622,0.270,0.060,0.049,TIGHT,0.186
IWM,09:50,6hp7l,TIGHT,0.704,0.223,0.031,0.042,TIGHT,0.407
IWM,09:50,c49qf,TIGHT,0.615,0.267,0.070,0.048,TIGHT,0.407
IWM,09:55,6hp7l,TIGHT,0.648,0.261,0.046,0.044,TIGHT,0.461
IWM,09:55,c49qf,EXPLOSIVE,0.621,0.265,0.065,0.049,TIGHT,0.461
IWM,10:00,6hp7l,TIGHT,0.658,0.212,0.084,0.045,TIGHT,0.410
IWM,10:00,c49qf,EXPLOSIVE,0.613,0.263,0.069,0.054,TIGHT,0.410
IWM,10:05,6hp7l,TIGHT,0.710,0.219,0.032,0.039,TIGHT,0.277
IWM,10:05,c49qf,EXPLOSIVE,0.616,0.262,0.058,0.064,TIGHT,0.277
IWM,10:10,6hp7l,TIGHT,0.703,0.198,0.055,0.043,TIGHT,0.252
IWM,10:10,c49qf,EXPLOSIVE,0.610,0.264,0.071,0.055,TIGHT,0.252
IWM,10:15,6hp7l,TIGHT,0.746,0.181,0.030,0.043,TIGHT,0.447
IWM,10:15,c49qf,EXPLOSIVE,0.610,0.260,0.064,0.066,TIGHT,0.447
IWM,10:20,6hp7l,TIGHT,0.770,0.158,0.029,0.043,TIGHT,0.370
IWM,10:20,c49qf,EXPLOSIVE,0.613,0.262,0.058,0.067,TIGHT,0.370
IWM,10:25,6hp7l,TIGHT,0.728,0.192,0.050,0.031,TIGHT,0.085
IWM,10:25,c49qf,EXPLOSIVE,0.612,0.262,0.065,0.061,TIGHT,0.085
IWM,10:30,6hp7l,TIGHT,0.712,0.209,0.044,0.035,TIGHT,0.114
IWM,10:30,c49qf,EXPLOSIVE,0.615,0.264,0.065,0.055,TIGHT,0.114
IWM,10:35,6hp7l,TIGHT,0.710,0.218,0.035,0.037,TIGHT,0.117
IWM,10:35,c49qf,EXPLOSIVE,0.611,0.265,0.068,0.055,TIGHT,0.117
IWM,10:40,6hp7l,TIGHT,0.719,0.210,0.032,0.039,TIGHT,0.269
IWM,10:40,c49qf,EXPLOSIVE,0.613,0.266,0.060,0.062,TIGHT,0.269
IWM,10:45,6hp7l,TIGHT,0.619,0.286,0.073,0.022,TIGHT,0.234
IWM,10:45,c49qf,TIGHT,0.622,0.270,0.060,0.048,TIGHT,0.234
IWM,10:50,6hp7l,TIGHT,0.703,0.228,0.048,0.021,TIGHT,0.058
IWM,10:50,c49qf,TIGHT,0.625,0.271,0.061,0.043,TIGHT,0.058
IWM,10:55,6hp7l,TIGHT,0.581,0.309,0.062,0.048,NORMAL,0.740
IWM,10:55,c49qf,TIGHT,0.614,0.266,0.072,0.048,NORMAL,0.740
IWM,11:00,6hp7l,TIGHT,0.562,0.347,0.056,0.035,NORMAL,0.621
IWM,11:00,c49qf,TIGHT,0.616,0.267,0.072,0.045,NORMAL,0.621
IWM,11:05,6hp7l,TIGHT,0.614,0.308,0.048,0.030,NORMAL,0.885
IWM,11:05,c49qf,TIGHT,0.618,0.268,0.070,0.044,NORMAL,0.885
IWM,11:10,6hp7l,TIGHT,0.547,0.374,0.048,0.031,NORMAL,0.534
IWM,11:10,c49qf,TIGHT,0.627,0.272,0.071,0.031,NORMAL,0.534
IWM,11:15,6hp7l,TIGHT,0.606,0.305,0.041,0.048,NORMAL,0.565
IWM,11:15,c49qf,TIGHT,0.624,0.270,0.071,0.034,NORMAL,0.565
IWM,11:20,6hp7l,TIGHT,0.587,0.319,0.046,0.047,TIGHT,0.477
IWM,11:20,c49qf,TIGHT,0.626,0.269,0.070,0.034,TIGHT,0.477
IWM,11:25,6hp7l,TIGHT,0.600,0.297,0.069,0.033,TIGHT,0.181
IWM,11:25,c49qf,EXPLOSIVE,0.611,0.265,0.069,0.055,TIGHT,0.181
IWM,11:30,6hp7l,TIGHT,0.594,0.295,0.076,0.035,NORMAL,0.998
IWM,11:30,c49qf,TIGHT,0.615,0.267,0.070,0.049,NORMAL,0.998
IWM,11:35,6hp7l,EXPANDED,0.512,0.201,0.246,0.041,EXPANDED,1.373
IWM,11:35,c49qf,TIGHT,0.617,0.268,0.070,0.045,EXPANDED,1.373
IWM,11:40,6hp7l,EXPANDED,0.533,0.274,0.176,0.017,NORMAL,0.553
IWM,11:40,c49qf,TIGHT,0.630,0.271,0.071,0.029,NORMAL,0.553
IWM,11:45,6hp7l,EXPANDED,0.554,0.225,0.202,0.018,EXPANDED,1.020
IWM,11:45,c49qf,TIGHT,0.625,0.267,0.070,0.039,EXPANDED,1.020
IWM,11:50,6hp7l,EXPANDED,0.534,0.232,0.194,0.041,EXPANDED,1.063
IWM,11:50,c49qf,EXPLOSIVE,0.605,0.260,0.069,0.066,EXPANDED,1.063
IWM,11:55,6hp7l,EXPANDED,0.637,0.136,0.183,0.044,TIGHT,0.108
IWM,11:55,c49qf,EXPLOSIVE,0.617,0.267,0.061,0.054,TIGHT,0.108
IWM,12:00,6hp7l,EXPLOSIVE,0.627,0.146,0.141,0.085,TIGHT,0.000
IWM,12:00,c49qf,EXPLOSIVE,0.596,0.258,0.059,0.087,TIGHT,0.000
IWM,12:05,6hp7l,TIGHT,0.757,0.145,0.054,0.044,TIGHT,0.149
IWM,12:05,c49qf,EXPLOSIVE,0.596,0.258,0.058,0.089,TIGHT,0.149
IWM,12:10,6hp7l,TIGHT,0.735,0.161,0.071,0.034,TIGHT,0.000
IWM,12:10,c49qf,EXPLOSIVE,0.617,0.265,0.069,0.049,TIGHT,0.000
