ticker,session,scored,act_t,act_e,pred_t,pred_e,e_hits,act_t_pct,pred_t_pct
IWM,2026-08-26,74,44,7,21,54,7,59.5,28.0
IWM,2026-08-27,74,64,1,72,3,0,86.5,96.0
IWM,2026-08-28,74,47,2,56,5,2,63.5,74.7
IWM,2026-08-31,74,55,3,48,19,3,74.3,64.0
IWM,2026-09-01,74,66,0,73,2,0,89.2,97.3
IWM,2026-09-02,74,56,2,65,10,2,75.7,86.7
IWM,2026-09-03,74,54,0,64,10,0,73.0,85.3
IWM,2026-09-04,74,42,3,52,19,2,56.8,69.3
IWM,2026-09-08,74,54,10,34,41,10,73.0,45.3
IWM,2026-09-09,74,69,0,74,1,0,93.2,98.7
IWM,2026-09-10,74,53,5,59,16,5,71.6,78.7
IWM,2026-09-11,74,57,6,55,20,5,77.0,73.3
IWM,2026-09-14,74,45,2,51,19,2,60.8,68.0
IWM,2026-09-15,74,56,5,64,11,0,75.7,85.3
IWM,,1036,762,46,788,230,38,73.6,75.0
QQQ,2026-08-26,74,56,4,56,18,4,75.7,74.7
QQQ,2026-08-27,74,63,0,72,1,0,85.1,96.0
QQQ,2026-08-28,74,69,2,74,1,1,93.2,98.7
QQQ,2026-08-31,74,65,1,68,7,1,87.8,90.7
QQQ,2026-09-01,74,64,1,72,3,1,86.5,96.0
QQQ,2026-09-02,74,66,1,72,3,0,89.2,96.0
QQQ,2026-09-03,74,68,0,75,0,0,91.9,100.0
QQQ,2026-09-04,74,56,5,56,19,5,75.7,74.7
QQQ,2026-09-08,74,60,2,70,5,1,81.1,93.3
QQQ,2026-09-09,74,64,0,75,0,0,86.5,100.0
QQQ,2026-09-10,74,68,0,75,0,0,91.9,100.0
QQQ,2026-09-11,74,73,0,74,1,0,98.6,98.7
QQQ,2026-09-14,74,66,2,67,8,2,89.2,89.3
QQQ,2026-09-15,74,60,0,71,4,0,81.1,94.7
QQQ,,1036,898,18,977,70,15,86.7,93.0
SPY,2026-08-26,74,49,5,61,14,4,66.2,81.3
SPY,2026-08-27,74,62,0,73,2,0,83.8,97.3
SPY,2026-08-28,74,67,1,74,1,0,90.5,98.7
SPY,2026-08-31,74,64,0,74,1,0,86.5,98.7
SPY,2026-09-01,74,63,0,75,0,0,85.1,100.0
SPY,2026-09-02,74,63,1,73,2,1,85.1,97.3
SPY,2026-09-03,74,69,0,75,0,0,93.2,100.0
SPY,2026-09-04,74,59,2,69,6,2,79.7,92.0
SPY,2026-09-08,74,61,2,71,4,1,82.4,94.7
SPY,2026-09-09,74,65,0,75,0,0,87.8,100.0
SPY,2026-09-10,74,68,0,75,0,0,91.9,100.0
SPY,2026-09-11,74,71,0,74,0,0,95.9,98.7
SPY,2026-09-14,74,70,0,73,0,0,94.6,97.3
SPY,2026-09-15,74,62,2,73,2,0,83.8,97.3
SPY,,1036,893,13,1015,32,8,86.2,96.7
