direction,combo_size,setup,win_rate,trades,avg_return_bps,confidence,timeframe
Bullish,3,RSI > 70 + StochRSI Oversold + OBV Falling,0.7777777777777778,54,22.476550424938264,Moderate,15m
Bullish,3,RSI > 70 + StochRSI Oversold + ATR Normal,0.7027027027027027,111,18.396887421959704,Good,15m
Bullish,3,RSI > 70 + Above EMA20 + StochRSI Oversold,0.6902654867256637,113,16.578125380337077,Good,15m
Bullish,3,RSI > 70 + StochRSI Oversold + Within OB,0.6902654867256637,113,16.578125380337077,Good,15m
Bullish,3,RSI > 70 + EMA9 > EMA20 + StochRSI Oversold,0.6902654867256637,113,16.578125380337077,Good,15m
Bullish,3,RSI > 70 + StochRSI Oversold + No OB Test,0.6902654867256637,113,16.578125380337077,Good,15m
Bullish,2,RSI > 70 + StochRSI Oversold,0.6902654867256637,113,16.578125380337077,Good,15m
Bullish,3,RSI > 70 + Above EMA9 + StochRSI Oversold,0.6788990825688074,109,16.285201174609533,Good,15m
Bullish,3,RSI < 30 + Above EMA9 + ATR High (>1.5x),0.6774193548387096,31,1.115460511727596,Moderate,
Bullish,3,RSI < 30 + Above EMA9 + StochRSI Neutral,0.6764705882352942,34,0.9391023482729582,Moderate,
Bullish,3,RSI > 70 + RVOL < 0.8 + StochRSI Oversold,0.6666666666666666,75,12.08233522252392,Moderate,15m
Bearish,3,Below EMA20 + EMA9 > EMA20 + StochRSI Overbought,0.6591511936339522,754,0.3233839909905812,High,
Bearish,3,Below VWAP + Above EMA9 + ATR Low (<0.5x),0.6585365853658537,41,0.7540579153225295,Moderate,
Bullish,3,Below EMA9 + Above EMA20 + StochRSI Overbought,0.6444444444444445,90,13.371927449616177,Moderate,15m
Bullish,3,RVOL 0.8-1.5 + ATR High (>1.5x) + Strat 1,0.639344262295082,61,21.49081209126547,Moderate,15m
Bullish,3,Below EMA9 + EMA9 > EMA20 + StochRSI Overbought,0.6382978723404256,141,13.746978400640023,Good,15m
Bullish,3,RVOL < 0.8 + OBV Rising + ATR Low (<0.5x),0.6363636363636364,66,9.353867529622155,Moderate,5m
Bullish,3,RSI < 30 + Strat 3 + Prev 1,0.6351351351351351,74,14.692116282805737,Moderate,15m
Bullish,3,EMA9 > EMA20 + ATR High (>1.5x) + Strat 1,0.6285714285714286,70,20.498160742488196,Moderate,15m
Bullish,3,Below EMA20 + EMA9 > EMA20 + StochRSI Overbought,0.6274509803921569,51,14.408833020093864,Moderate,15m
