direction,combo_size,setup,win_rate,trades,avg_return_bps,confidence,timeframe
Bearish,3,RSI > 70 + Below EMA9 + Prev 2U,0.7419354838709677,31,0.6653440687175473,Moderate,
Bullish,3,Above EMA20 + EMA9 < EMA20 + StochRSI Oversold,0.6795977011494253,696,-0.05706097597300411,High,
Bullish,3,RSI > 70 + RVOL 0.8-1.5 + StochRSI Oversold,0.6727272727272727,55,2.5147167621418265,Moderate,5m
Bullish,3,Below EMA20 + ATR Low (<0.5x) + Within OB,0.6666666666666666,54,26.074749821648894,Moderate,5m
Bearish,3,StochRSI Oversold + OBV Rising + ATR High (>1.5x),0.65,60,4.191061928020544,Moderate,15m
Bullish,2,RSI > 70 + Below EMA9,0.6470588235294118,51,4.079559473339086,Moderate,5m
Bullish,3,RSI > 70 + Below EMA9 + Above EMA20,0.6470588235294118,51,4.079559473339086,Moderate,5m
Bullish,3,RSI > 70 + Below EMA9 + No OB Test,0.6470588235294118,51,4.079559473339086,Moderate,5m
Bullish,3,RSI > 70 + Below EMA9 + Within OB,0.6470588235294118,51,4.079559473339086,Moderate,5m
Bullish,3,RSI > 70 + Below EMA9 + EMA9 > EMA20,0.6470588235294118,51,4.079559473339086,Moderate,5m
Bearish,3,RSI 50-70 + Within OB + OB Test,0.6440677966101694,59,2.7851564112393916,Moderate,5m
Bullish,3,Below EMA20 + RVOL > 1.5 + StochRSI Overbought,0.6438356164383562,146,8.860312459829201,Good,15m
Bullish,3,RSI 30-50 + RVOL > 1.5 + StochRSI Overbought,0.6403508771929824,228,6.567512842243194,Good,15m
Bearish,3,StochRSI Neutral + ATR Normal + OB Test,0.6379310344827587,58,0.6503920170447162,Moderate,5m
Bullish,3,RSI 30-50 + Above EMA20 + RVOL > 1.5,0.6373056994818653,193,7.351266820602404,Good,15m
Bearish,3,StochRSI Neutral + Within OB + OB Test,0.6296296296296297,54,-8.473996998254053,Moderate,5m
Bullish,3,EMA9 > EMA20 + StochRSI Oversold + ATR Low (<0.5x),0.625,56,4.467592718799263,Moderate,5m
Bullish,3,ATR High (>1.5x) + Strat 1 + Prev 2D,0.625,120,9.217343590475464,Good,15m
Bullish,3,Below EMA9 + StochRSI Overbought + Strat 3,0.6195652173913043,92,2.773229502987698,Moderate,15m
Bullish,3,Below EMA9 + StochRSI Overbought + ATR High (>1.5x),0.6195121951219512,205,4.20712796122227,Good,5m
Bullish,3,RSI > 70 + RVOL > 1.5 + ATR High (>1.5x),0.6148148148148148,405,6.385873124426219,Good,5m
Bearish,3,Above EMA9 + ATR High (>1.5x) + Strat 2D,0.6142857142857143,140,8.246921777915045,Good,15m
Bullish,3,Below EMA9 + ATR High (>1.5x) + Strat 1,0.610738255033557,149,6.998428965721591,Good,15m
Bullish,3,RSI > 70 + OBV Falling + Strat 3,0.6105263157894737,95,0.35142476511983933,Moderate,15m
Bullish,3,RSI 30-50 + Below EMA9 + ATR High (>1.5x),0.6092503987240829,627,4.179288167275724,High,15m
Bullish,3,RSI < 30 + RVOL > 1.5 + OBV Rising,0.6090909090909091,110,6.4691524502298305,Good,15m
Bullish,3,StochRSI Neutral + ATR Low (<0.5x) + Prev 2U,0.6086956521739131,69,2.687739853768066,Moderate,5m
Bearish,2,Below EMA20 + Below OB,0.6078431372549019,51,4.904221739098431,Moderate,5m
Bullish,3,EMA9 > EMA20 + ATR High (>1.5x) + Prev 3,0.6078431372549019,51,5.767164256197758,Moderate,15m
Bullish,3,RSI 30-50 + RVOL < 0.8 + ATR High (>1.5x),0.6075268817204301,372,3.00360967714012,Good,15m
Bullish,3,RSI 30-50 + ATR High (>1.5x) + Strat 1,0.6074766355140186,107,4.477747242340714,Good,15m
Bullish,3,RVOL < 0.8 + StochRSI Neutral + ATR High (>1.5x),0.6067653276955602,473,6.856411937374553,Good,15m
Bullish,3,StochRSI Oversold + ATR Low (<0.5x) + Within OB,0.6065573770491803,61,4.196440994825947,Moderate,5m
Bullish,3,RSI 30-50 + OBV Falling + ATR High (>1.5x),0.606425702811245,498,2.897489324984688,Good,15m
Bullish,3,RSI 50-70 + ATR Low (<0.5x) + Prev 2U,0.6049382716049383,81,0.08548459826937052,Moderate,5m
Bearish,3,Above EMA20 + StochRSI Neutral + OB Test,0.6037735849056604,53,-0.5346868654317235,Moderate,5m
Bullish,3,Above EMA9 + OBV Rising + OB Test,0.603448275862069,58,2.712245342876036,Moderate,5m
Bullish,3,Below EMA20 + StochRSI Overbought + Prev 1,0.6030927835051546,194,1.8540599096316652,Good,15m
Bullish,3,EMA9 < EMA20 + RVOL > 1.5 + StochRSI Overbought,0.6018518518518519,432,5.920139258162433,Good,15m
Bullish,3,RSI 30-50 + StochRSI Neutral + ATR High (>1.5x),0.6009771986970684,614,3.8065107862755534,High,15m
Bullish,3,StochRSI Overbought + ATR High (>1.5x) + Prev 2D,0.6,50,2.1980771253660167,Moderate,15m
Bearish,3,RSI < 30 + RVOL < 0.8 + Strat 3,0.6,70,4.561669822164741,Moderate,15m
